d8ef8fe9b6ed3a7d6c74f531e8e15b60ad5e4005333eab3ccddb39e1c30e1c4c,4b3abd6d23f7f9ffd61dd3c49a2bfcf8f55a8919a3f1d29316f5afce69545725,4f92bc8f39e10d68bdcee4bc19a109cb0fa26c8e8bc4ae87317ec249381d925e
"2999180","0.07","1"
"2999101","0.07","2"
"2999167","0.07","3"
"2999168","20","4"
"2999169","40","5"
"2999170","60","6"
"2999171","80","7"
"2999172","9","8"
"2999173","27","9"
"2999174","45","10"
"2999175","63","11"
"2999176","81","12"
"2999182","4.08","13"
"2999102","0.08","14"
"2999103","0.07","15"
"2999102","0.08","16"
"2999184","0.07","17"
"2999183","0.07","18"
"2999185","0.07","19"
"2999186","20","20"
"2999187","40","21"
"2999188","60","22"
"2999189","80","23"
"2999104","20","24"
"2999177","20","25"
"2999105","40","26"
"2999178","40","27"
"2999106","60","28"
"2999179","60","29"
"2999190","0.07","30"
"2999107","15","31"
"2999108","30","32"
"2999109","45","33"
"2999110","60","34"
"2999111","75","35"
"2999112","15","36"
"2999113","30","37"
"2999114","45","38"
"2999115","60","39"
"2999116","75","40"
"2999117","0.07","41"
"2999118","0.08","42"
"2999119","0.09","43"
"2999120","0.1","44"
"2999120","0.1","45"
"2999120","0.1","46"
"2999101","0.07","47"
"2999101","0.07","48"
"2999101","0.07","49"
"2999121","4.08","50"
"2999122","4.09","51"
"2999123","4.1","52"
"2999124","4.08","53"
"2999125","4.09","54"
"2999126","4.1","55"
"2999127","0.08","56"
"2999127","0.08","57"
"2999127","0.08","58"
"2999128","0.08","59"
"2999128","0.08","60"
"2999128","0.08","61"
"2999192","0.08","62"
"2999129","0.08","63"
"2999129","0.08","64"
"2999129","0.08","65"
"2999132","0.5","66"
"2999132","0.5","67"
"2999132","0.5","68"
"2999133","0.5","69"
"2999133","0.5","70"
"2999133","0.5","71"
"2999191","1","72"
"2999134","15","73"
"2999135","30","74"
"2999136","45","75"
"2999137","60","76"
"2999138","75","77"
"2999139","15.01","78"
"2999140","30.01","79"
"2999141","45.01","80"
"2999142","60.01","81"
"2999143","75.01","82"
"2999144","15.02","83"
"2999145","30.02","84"
"2999146","45.02","85"
"2999147","60.02","86"
"2999148","75.02","87"
"2999149","15","88"
"2999150","30","89"
"2999151","45","90"
"2999152","60","91"
"2999153","75","92"
"2999154","15.01","93"
"2999155","30.01","94"
"2999156","45.01","95"
"2999157","60.01","96"
"2999158","75.01","97"
"2999159","15.02","98"
"2999160","30.02","99"
"2999161","45.02","100"
"2999162","60.02","101"
"2999163","75.02","102"
"2999164","0.07","103"
"2999165","0.08","104"
"2999166","0.09","105"
"2999130","0.08","106"
