9fe4b0daba31e0356294382278a1108c61b2d5bccf8fdb41fa4589b53a4e60fc,6499ca8a282ed0d5bcbb8f527f59989322acd10b1758e7101599a49765dbc78c,1caa99e529d4ff8f167a8ec5e4d079a33150d5a427c5958b638848fcf7df3ad8,041ac89ca238cfc7f9de7eeaa4b772e2791f6ffc4771128aa8d4e5f8c2866418,3f6dc96da4a5fe8437032400a9e95193ed3883e8d44073278d39a1412608a552,2e2c3644966bd292f6cabbfb304a470abe8a412b3af08f6abc6df6b43978d955,93380398ab213c4428ffdf56e7da41a7acd4f2d531f42b0f92ed471d0e52b050,dcfb094cd092b097dabfcddc0ee99aec9ed07cf2b2ce555b9507e627463a3aac,3bebd4b75788efd782e73b295aa8aa7a1af892536d05b290d6609f5349f5cdab,d2bd8b50979a0b5905f94b0d1bc8de1bac0d510509f112f787343e52d7c59a89,0c349c2ea26e5900a6925aba151b8834a4a2d7f4de8fb150d69072696ab596a6,1419eacd760d5750534d32014afe3503a7de927a0f77ef734e51b737784f38c8,f600ef2a568fe69ae0c021daf9189e850b8253cea1820f9c6ff9429c904c30cc,cb27e33b12411de31b1872de8c362ff3ed46ca48ba62685a23fbc01aa2632f93
"1","1.47","10001","克蘿茜","2024/01/16 15:59:59","2002","1","2","歡迎光臨♪\n可以利用巡遊幣\n來購物喔！","2023/11/01 16:00:00","1","-470","126401","0"
"2","2.15","10002","克蘿茜","2024/01/16 15:59:59","2002","2","1","這邊有許多很棒的商品\n還請在這裡\n盡情購買喔♪","2023/11/01 16:00:00","1","-470","126401","0"
"1","0","10003","萊拉耶爾","2024/01/16 15:59:59","2002","2","2","歡迎來到商店\n在這裡可以使用巡遊幣\n來進行購物喔","2023/11/01 16:00:00","1","-470","126501","0"
"2","0","10004","萊拉耶爾","2024/01/16 15:59:59","2002","1","1","還請在此商店\n購買東西，\n享受愉快的旅途吧","2023/11/01 16:00:00","1","-470","126501","0"
"1","0","10005","琳德","2024/04/23 15:59:59","2002","2","2","歡迎光臨\n可以利用巡遊幣\n來買東西喔","2024/01/16 16:00:00","2","-470","127702","0"
"2","0","10006","琳德","2024/04/23 15:59:59","2002","2","2","商店內都打掃乾淨了\n作為公主殿下直屬的商店\n這點小事也是理所當然的","2024/01/16 16:00:00","2","-470","127702","0"
"1","0","10007","烏爾姆","2024/04/23 15:59:59","2002","1","1","歡迎來到商店\n可以利用巡遊幣交換物品\n如果可以的話，還請蒞臨使用","2024/01/16 16:00:00","2","-470","127802","0"
"2","6.5","10008","烏爾姆","2024/04/23 15:59:59","2002","2","1","為什麼要來看店…\n算了，我做就是了\n請選擇喜歡的東西吧","2024/01/16 16:00:00","2","-470","127802","0"
"1","0","10009","安涅默涅","2024/07/23 15:59:59","2002","2","1","──歡迎光臨\n要買東西也可以\n只要有足夠的巡遊幣","2024/04/16 16:00:00","3","-470","129602","0"
"2","0","10010","安涅默涅","2024/07/23 15:59:59","2002","2","1","──想看我多笑一點？\n這世上可是有花多少錢也買不到的東西","2024/04/16 16:00:00","3","-470","129602","0"
"1","0","10011","涅妃‧涅羅","2024/07/23 15:59:59","2002","1","1","歡迎光臨\n用巡遊幣在這裡進行交換吧","2024/04/16 16:00:00","3","-470","129701","0"
"2","6.2","10012","涅妃‧涅羅","2024/07/23 15:59:59","2002","2","1","話說回來，\n要花多少錢才能買到你呢？\n──呵呵，開玩笑的","2024/04/16 16:00:00","3","-470","129701","0"
"1","3.1","10013","華音","2024/10/23 15:59:59","2002","3","5","歡、歡迎光臨！\n……唔……本小姐\n竟然要顧店……真是屈辱。","2024/07/16 16:00:00","4","-470","130301","0"
"2","6.15","10014","華音","2024/10/23 15:59:59","2002","3","2","哎呀，你需要我嗎？\n真遺憾，用那點錢\n……就可以買了嗎！？","2024/07/16 16:00:00","4","-470","130301","0"
"1","0","10015","拿娜","2024/10/23 15:59:59","2002","2","2","歡迎光臨～♪\n聽說可以交換\n巡遊幣──？","2024/07/16 16:00:00","4","-470","130401","0"
"2","3.35","10016","拿娜","2024/10/23 15:59:59","2002","2","1","要是給我甜食，\n就給你拿娜撿到的\n松果作為謝禮喔！","2024/07/16 16:00:00","4","-470","130401","0"
"1","0","10017","鳳凰","2025/01/23 15:59:59","2002","1","1","歡迎光臨本店。\n就由本鳳凰\n為大家獻上祝福吧。","2024/10/16 16:00:00","5","-470","130502","0"
"2","3.18","10018","鳳凰","2025/01/23 15:59:59","2002","2","1","我可沒有對外販售\n稱呼小鳳的權利哦？\n這是騎士先生的特別待遇！","2024/10/16 16:00:00","5","-470","130502","0"
"3","0","10019","鳳凰","2025/01/23 15:59:59","2002","4","4","唔啊啊啊！\n又變成這副模樣了！\n拜託捐贈點什麼吧～！","2024/10/16 16:00:00","5","-470","130503","0"
"1","4.9","10020","涅婭","2025/01/23 15:59:59","2002","1","2","你好～♪\n什麼都可以交換～\n小卡里莎除外。","2024/10/16 16:00:00","5","-470","123301","0"
"2","4.8","10021","涅婭","2025/01/23 15:59:59","2002","1","2","順便問一下，\n小騎士要多少盧幣呀？\n說‧真‧的♡","2024/10/16 16:00:00","5","-470","123301","0"
"1","4.922","10022","卡里莎","2025/04/24 15:59:59","2002","3","1","哼，為什麼我得當\n店員……別過來，黃的，\n我可不是商品啊！","2025/01/16 16:00:00","6","-470","133301","0"
"2","9.638","10023","卡里莎","2025/04/24 15:59:59","2002","3","5","一、一定要說不可嗎？\n「……歡迎光臨……」\n可惡，不准笑！","2025/01/16 16:00:00","6","-470","133301","0"
"1","2.88","10024","米亞","2025/04/24 15:59:59","2002","1","2","歡迎光臨商店～\n就由有如涅羅殿下之心腹的\n我來擔任店員～","2025/01/16 16:00:00","6","-470","133401","0"
"2","4.818","10025","米亞","2025/04/24 15:59:59","2002","5","1","我蛻下的空殼\n會有人想要嗎～\n我是在說笑的啦！","2025/01/16 16:00:00","6","-470","133401","0"
"1","1.78","10026","格蕾斯","2025/07/23 15:59:59","2002","2","1","歡迎光臨。\n好啦騎士氏。你想要什麼東西\n當下地獄的伴手禮呢？","2025/04/17 16:00:00","7","-470","133002","0"
"2","6.15","10027","格蕾斯","2025/07/23 15:59:59","2002","1","7","每次購買商品時，\n都會給你小格蕾點數。\n我開玩笑的啦。","2025/04/17 16:00:00","7","-470","133002","0"
"1","4.28","10028","薇歐莉特","2025/07/23 15:59:59","2002","6","2","歡迎光臨。\n……接待客人\n是像這樣子做就可以了嗎？","2025/04/17 16:00:00","7","-470","133102","0"
"2","0","10029","薇歐莉特","2025/07/23 15:59:59","2002","1","1","因為這裡沒有\n潮濕的商品，\n所以請放心選購。","2025/04/17 16:00:00","7","-470","133102","0"
"1","5.53","10030","璐璐伊","2025/10/17 15:59:59","2002","2","1","歡迎光臨，\n需要什麼嗎？\n也有賣章魚燒滴喔！","2025/07/16 16:00:00","8","-470","136902","0"
"2","6.05","10031","璐璐伊","2025/10/17 15:59:59","2002","9","7","那枚硬幣……亮晶晶的，\n會害偶想收集，\n會被罵的……","2025/07/16 16:00:00","8","-470","136902","0"
"1","0","10032","杜蘭","2025/10/17 15:59:59","2002","2","1","既然是公主的朋友，\n以禮款待就是爺爺我的職責。\n來，說說看想要什麼？","2025/07/16 16:00:00","8","-470","137001","0"
