d5ff4a8dd3a82b9057de4f8df6b31d84c564a3a8765d0a1708d3dadc135ab810,e1953d011f8cf964476ef56fbfb7e0eff1b1153122b7db3e94b33403a73f511f,f13bdec00be3f666c5df7457349f4c8c6d3e5553a118ab8ce813e5b514872804,b2380d4a42e67aa3f5e0fd7cc87a87367040cadc9dfa44796f888a73a75dc948,e2341d81f4cf9737f72e754184ce3442079b9182e52335f77d7976160ac21d62,124d0ab988b1052714054104a6e3512cd4ae91c64d69f3ed343415b343891ea3,94f44ef4bb9584cdbbb1c689612736d664bccd4a23af530e529e3f65090b3c38,a67cd655662b5e60c62943fef30dd413bef4bcf370d4ee6d045d7cf8a13e0b26,eae018ba1b7a5d9120920ab43c087c078004698f567b958870133cf3a9121d07,a86837f5825c7269421a2511442e72cd7fe55fe870d3942897bc137b8779f162,940c10f405177145b120918bc5b6eb706a6a486fb23ab8cc0f89d1960524aff8,d14b29871508ed48f74839b47af4cd0b36224ca39a0608fbe2ba6d1a78ad3579,03e7ee52a3336653ba21126f1c5f79fbbc2b883038b94d2bb36bec5af6f81dbf,e4aac41eab6bbbbf2beb3f869c5b621da62b05c3488e0e5fae810cdb26c0d9ca
"塔爾格姆地區","bgm_M32","0","1","20001","1","0","0","201","0","bgm_M32","0","20001101","0"
"塔爾格姆地區","bgm_M32","0","1","20001","0","0","0","201","0","bgm_M32","0","20001201","0"
"馬席納地區","bgm_M98_2","0","1","20002","0","0","0","201","0","bgm_M98","0","20002101","0"
"馬席納地區","bgm_M98_2","0","1","20002","0","0","0","201","0","bgm_M98","0","20002201","0"
"蘭德索爾郊外","bgm_M106","0","1","20003","0","0","0","201","0","bgm_M106","0","20003101","0"
"蘭德索爾郊外","bgm_M106","0","1","20003","0","0","0","201","0","bgm_M106","0","20003201","0"
"塔帕斯海灘 周邊","bgm_M112","0","1","20004","0","0","0","201","0","bgm_M112","0","20004101","0"
"塔帕斯海灘 周邊","bgm_M112","0","1","20004","0","0","0","201","0","bgm_M112","0","20004201","0"
"伊爾席翁的孤島","bgm_M121","0","1","20005","0","0","0","201","0","bgm_M121","0","20005101","0"
"伊爾席翁的孤島","bgm_M121","0","1","20005","0","0","0","201","0","bgm_M121","0","20005201","0"
"王城蘭德索爾","bgm_M128","0","1","20006","0","0","0","201","0","bgm_M128","85","20006101","0"
"王城蘭德索爾","bgm_M128","0","1","20006","0","0","0","201","0","bgm_M128","0","20006201","0"
"蘭德索爾郊外","bgm_M135","0","1","20007","1","0","0","201","0","bgm_M135","0","20007101","0"
"靈界","bgm_M29","208","1","20007","2","80","0","201","1","bgm_M29","0","20007102","202"
"蘭德索爾中央地區","bgm_M135","209","1","20007","3","0","1","201","1","bgm_M135","0","20007103","202"
"蘭德索爾郊外","bgm_M135","0","1","20007","1","0","31","201","0","bgm_M135","0","20007201","0"
"蘭德索爾近郊","bgm_M162","0","1","20008","0","0","0","201","0","bgm_M162","35","20008101","0"
"蘭德索爾近郊","bgm_M162","0","1","20008","0","0","0","201","0","bgm_M162","0","20008201","0"
"咲戀育幼院","bgm_M171","0","1","20009","1","0","11","201","0","bgm_M171","110","20009101","0"
"王城蘭德索爾","bgm_M171","0","1","20009","1","0","0","201","0","bgm_M171","0","20009201","0"
"往神殿的參道","bgm_M182","0","1","20010","1","180","0","201","0","bgm_M182","1","20010101","0"
"往神殿的參道","bgm_M182","0","1","20010","1","0","0","201","0","bgm_M182","0","20010201","0"
"王城蘭德索爾","bgm_M189","0","1","20011","1","0","0","201","0","bgm_M189","0","20011101","0"
"廚房競技場","bgm_M189","0","1","20011","2","0","0","201","0","bgm_M189","110","20011102","0"
"廚房競技場","bgm_M189","0","1","20011","1","0","0","201","0","bgm_M189","0","20011201","0"
"王城蘭德索爾","bgm_M206","0","1","20012","1","0","0","201","0","bgm_M206","115","20012101","0"
"王城蘭德索爾","bgm_M206","0","1","20012","1","0","0","201","0","bgm_M206","0","20012201","0"
"加托羅斯山","bgm_M215","0","1","20013","1","0","0","201","0","bgm_M215","100","20013101","0"
"光之裂縫","bgm_M215","208","1","20013","2","0","11","201","1","bgm_M215","0","20013102","202"
"光之裂縫","bgm_M215","0","1","20013","1","0","0","201","0","bgm_M215","0","20013201","0"
"大江戶町","bgm_M223","0","1","20014","1","0","0","201","0","bgm_M223","120","20014101","0"
"大江戶町","bgm_M223","0","1","20014","1","0","0","201","0","bgm_M223","0","20014201","0"
"晴雨海灘","bgm_M237","0","1","20015","1","0","12","201","0","bgm_M237","98","20015101","0"
"晴雨海灘","bgm_M237","0","1","20015","0","0","0","201","0","bgm_M237","0","20015201","0"
"真步真步王國避暑聖地？","bgm_M245_02","0","1","20016","0","0","0","201","0","bgm_M245","150","20016101","0"
"真步真步王國避暑聖地？","bgm_M245_02","0","1","20016","0","0","0","201","0","bgm_M245","0","20016201","0"
"聖德蕾莎女子學院","bgm_M254","0","1","20017","1","0","0","201","0","bgm_M254","70","20017101","0"
"聖德蕾莎女子學院","bgm_M254","0","1","20017","0","0","0","201","0","bgm_M254","0","20017201","0"
"鬼屋附近地區","bgm_M265_Top","0","1","20018","1","0","0","201","0","bgm_M265","0","20018101","0"
"鬼魂墓地","bgm_M265_Top","0","1","20018","2","0","0","201","1","bgm_M265","0","20018102","202"
"鬼魂墓地","bgm_M265_Top","0","1","20018","1","0","0","201","0","bgm_M265","0","20018201","0"
"艾爾皮斯島 開墾營地一帶","bgm_M273","0","1","20019","0","0","0","201","0","bgm_M273","90","20019101","0"
"艾爾皮斯島 開墾營地一帶","bgm_M273","0","1","20019","0","0","0","201","0","bgm_M273","0","20019201","0"
