f21425bb22acd6a71f915873cd0efcad8df13a500e8aeb2eb0cbd508180f971b,ef2e2e9a1563a6fa8e84c541a70147e1577b005c546f0d686384df600a6fb1fb,4b734279abc02e4c97b4ad134a96f9c6e875bd316bd567aad203676f268c7013,d0f693392bf385844575d0f117b62a9000909568c88336a97a6221452e78b0fd,f5a71c19fde054bf73c536be18d15bc110ed8411fd6297276434045389b3baed,d46ad4e23fc96590f2299d828d792e1b548b22e9fa72ea626c89f2911cb33255,236173fefa85131064d1da7d78fbcea023cecad250ad369e90fb44a82e1a3db1,0ae11b1fab47aabb6b7c483032748c9419cdc492a74306748cbe0a5b51b27649,984d55e30692de160ae3ded1519eabb0fa69988a82624e8390d525b51b3eb862,b50035af24f4490ffc2ce6ec323767526dc1c85b624dfa7d66a3a4d8b27e9c68,594f832bc71eb0ebba630637b31000f2826f49fb9b8f6887aedda3b6de1d693f
"1","8","0","1010100","250","10101","0","1","歐姆蛋","110","1"
"1","9","0","1010101","222","10101","0","1","歐姆蛋","110","1"
"1","10","0","1010102","200","10101","0","1","歐姆蛋","110","1"
"2","9","0","1010200","400","10102","0","1","歐姆蛋","110","1"
"2","10","0","1010201","367","10102","0","1","歐姆蛋","110","1"
"2","11","0","1010202","338","10102","0","1","歐姆蛋","110","1"
"3","10","0","1010300","640","10103","0","1","歐姆蛋","110","1"
"3","11","0","1010301","597","10103","0","1","歐姆蛋","110","1"
"3","12","0","1010302","560","10103","0","1","歐姆蛋","110","1"
"1","9","0","1020100","275","10201","0","1","餃子","115","2"
"1","10","0","1020101","248","10201","0","1","餃子","115","2"
"1","11","0","1020102","225","10201","0","1","餃子","115","2"
"2","10","0","1020200","440","10202","0","1","餃子","115","2"
"2","11","0","1020201","406","10202","0","1","餃子","115","2"
"2","12","0","1020202","377","10202","0","1","餃子","115","2"
"3","11","0","1020300","704","10203","0","1","餃子","115","2"
"3","12","0","1020301","660","10203","0","1","餃子","115","2"
"3","13","0","1020302","621","10203","0","1","餃子","115","2"
"1","8","0","1030100","200","10301","0","1","章魚燒","100","3"
"1","9","0","1030101","175","10301","0","1","章魚燒","100","3"
