984933a10f55c3088c78d44a75f0adb0f18f8295410947e0d1be148dfe595bc8,1d61e2ab56cc1a7254d67164cce57e0052ebd476fbb5938c6067df1b67d6677e,206dfe1ff254fc430fd87d42f1c8fe0c83a67931a553b6df62c6273e51e2fa91,85e2bf4ffe886d28de28038b3afc49a0ae8a6c735b55afbc2fdd83d0d66dc5c8,a88f4c8fee1cd1eff8e01b4b1b325c121c3773c535a5199d0f17a34309347c41,1b1aee6751bd2f2401bfd73d6f49962e07834c153b7d7a03dcf991d09bbfc415,58fbfebb9f6d79b95cb49ca9ba70bb80d1ba8767dc18c2733ca4c3e91b2bde1c,96aa507418610de2ebe2e41bfdd52cd7b86256e8495ab7c50a23ad99727e34b7,f8298919febc2193b2de13839e4be693ed4cc38781d97c01c03b2893a8382c32,354e9210783308ba2a200d51963658a9ccbc93de9d5227a7e50de44d3c4a360f,064bc640814e6dfebee5f1d32aec9dbaaa5f5574da2784502ae78664465057c0
"1","1","1","0","bsm_idle_yamato","0","100","130011","1.3","1001","0"
"130011","3","1","bsm_drama_arm_crossed_loop","","0","0","bsm_drama_arm_crossed","0.2","1002","1"
"vo_minigame_1014","21","1","0","","","0","vo_minigame_1014_top_1000","","1003",""
"130011","11","1","1","1","0","5","弱肉強食很好啊。\n從正面上贏不了的時候，\n也要去想怎樣才能出乎對方預料。","0","1004","0"
"0","91","1","","","","","","","1005",""
"130011","3","1","","","","1","bsm_idle_yamato","0.3","1006",""
"1","1","2","0","bsm_idle_yamato","0","100","130011","1.3","2001","0"
"130011","3","2","","","","1","bsm_drama_thinking","0.2","2002",""
"vo_minigame_1014","21","2","0","","","0","vo_minigame_1014_top_1001","","2003",""
"130011","11","2","1","1","0","6","總有一天\n我也來教若菜，\n戰勝敵人之後\n品嘗的八鹽折的滋味吧。","0","2004","0"
"0","91","2","","","","","","","2005",""
"130011","3","2","","","","1","bsm_idle_yamato","0.3","2006",""
"1","1","3","0","bsm_idle_yamato","0","100","130011","1.3","3001","0"
"130011","3","3","bsm_drama_doya_loop","","0","0","bsm_drama_doya","0.2","3002","1"
"vo_minigame_1014","21","3","0","","","0","vo_minigame_1014_top_1002","","3003",""
"130011","11","3","1","1","0","7","作為維修員，\n布武機的技術好到像神一樣啊……\n她是我妹妹\n真的是太好了。","0","3004","0"
"0","91","3","","","","","","","3005",""
"130011","3","3","","","","1","bsm_idle_yamato","0.3","3006",""
"1","1","4","0","bsm_idle_wakana","0","100","130111","1.3","4001","0"
"130111","3","4","bsm_drama_guts_loop","","0","0","bsm_drama_guts","0.2","4002","1"
"vo_minigame_1014","21","4","0","","","0","vo_minigame_1014_top_2000","","4003",""
"130111","11","4","1","1","0","8","雖然很對不起\n各位參加者……\n但是為了還錢，\n我要贏下這場比賽！","0","4004","0"
"0","91","4","","","","","","","4005",""
"130111","3","4","","","","1","bsm_idle_wakana","0.3","4006",""
"1","1","5","0","bsm_idle_wakana","0","100","130111","1.3","5001","0"
"130111","3","5","","","","1","bsm_drama_wish","0.2","5002",""
"vo_minigame_1014","21","5","0","","","0","vo_minigame_1014_top_2001","","5003",""
"130111","11","5","1","1","0","8","雖然這樣說\n有點那個……\n但是姊姊看起來很開心，\n我也很高興。","0","5004","0"
"0","91","5","","","","","","","5005",""
"130111","3","5","","","","1","bsm_idle_wakana","0.3","5006",""
"1","1","6","0","bsm_idle_wakana","0","100","130111","1.3","6001","0"
"130111","3","6","","","","1","bsm_drama_pazzled","0.2","6002",""
"vo_minigame_1014","21","6","0","","","0","vo_minigame_1014_top_2002","","6003",""
"130111","11","6","1","1","0","7","要怎麼樣\n才能讓布武機\n吃蔬菜呢……\n要、要更強硬一點……？","0","6004","0"
"0","91","6","","","","","","","6005",""
"130111","3","6","","","","1","bsm_idle_wakana","0.3","6006",""
"1","1","7","0","bsm_idle_fubuki","0","100","130211","1.3","7001","0"
"130211","3","7","","","","1","bsm_drama_smile","0.2","7002",""
"vo_minigame_1014","21","7","0","","","0","vo_minigame_1014_top_3000","","7003",""
"130211","11","7","1","1","0","5","對戰對手的工作是～\n替我們\n搬運獎金過來♪\n請多指教囉～♡","0","7004","0"
"0","91","7","","","","","","","7005",""
"130211","3","7","","","","1","bsm_idle_fubuki","0.2","7006",""
"1","1","8","0","bsm_idle_fubuki","0","100","130211","1.3","8001","0"
"130211","3","8","bsm_drama_doya_loop","","","0","bsm_drama_doya","0.2","8002","1"
"vo_minigame_1014","21","8","0","","","0","vo_minigame_1014_top_3001","","8003",""
"130211","11","8","1","1","0","7","倭姊已經\n穩拿第一了啊～♪\n把獎金全部拿走\n也沒關係吧～？","0","8004","0"
"0","91","8","","","","","","","8005",""
"130211","3","8","","","","1","bsm_idle_fubuki","0.2","8006",""
"1","1","9","0","bsm_idle_fubuki","0","100","130211","1.3","9001","0"
"130211","3","9","bsm_drama_laugh_loop","","0","0","bsm_drama_laugh","0.2","9002","1"
"vo_minigame_1014","21","9","0","","","0","vo_minigame_1014_top_3002","","9003",""
"130211","11","9","1","1","0","7","把大哥哥當子彈\n射出去的武器，如何啊～？\n呀哈哈，感覺很弱呢～♡","0","9004","0"
"0","91","9","","","","","","","9005",""
"130211","3","9","","","","1","bsm_idle_fubuki","0.2","9006",""
