ed4db9502e14a0aa0f7c1d71268d216ee95fae75044a17421be2ff844f9f394c,a4d4eaccdefaba5358a81a714b4b8581f6f2a04fbf240825b49cb338f236f38d,a18cbd388dc07b5ae478112b53a825efc63bd0fbb25aba2fca7745815bb7d15e,97c61b639bb9c5b85abbc2aae0d9f85510dd22853af04d3446af3c147c0ac01b,b6388a6fbe5d52541584c3c94dd3b607586e68e147370b0f996dbfd6bb94316b,89b22f286bee91b117b37c67c8898e3de4f2c44f25581a480f6137d97e553521
"100","0","10010","0","1","610010501"
"250","0","10010","0","1","610010502"
"450","0","10010","0","1","610010503"
"440","4","10010","6","2","610010601"
"300","3","10010","3","2","610010602"
"140","2","10010","1","2","610010603"
"20","1","10010","1","2","610010605"
"80","0","10012","0","1","610012501"
"180","0","10012","0","1","610012502"
"280","0","10012","0","1","610012503"
"380","0","10012","0","1","610012504"
"-500","0","10013","0","1","610013501"
"-400","0","10013","0","1","610013502"
"-300","0","10013","0","1","610013503"
"0","0","10015","0","1","610015501"
"10","0","10015","0","1","610015502"
"20","0","10015","0","1","610015503"
"-180","0","10017","0","1","610017501"
"-80","0","10017","0","1","610017502"
"20","1","10021","1","2","610021501"
"140","2","10021","1","2","610021502"
"300","3","10021","1","2","610021503"
"-120","0","10025","0","1","610025501"
"-10","0","10025","0","1","610025502"
"30","0","10025","0","1","610025503"
"-220","0","10027","0","1","610027502"
"10","0","10027","0","1","610027503"
"800","0","10027","0","1","610027504"
"100","0","10027","0","1","610027505"
"-120","0","10029","0","1","610029501"
"-10","0","10029","0","1","610029502"
"30","0","10029","0","1","610029503"
"-120","0","10031","0","1","610031501"
"-40","0","10031","0","1","610031502"
"10","0","10031","0","1","610031503"
"50","0","10031","0","1","610031504"
"-120","0","10033","0","1","610033501"
"-10","0","10033","0","1","610033502"
"30","0","10033","0","1","610033503"
"-80","0","10033","0","1","610033504"
"10","0","10035","0","1","610035501"
"-120","0","10035","0","1","610035502"
"90","0","10035","0","1","610035503"
"-220","0","10035","0","1","610035601"
"10","0","10035","0","1","610035602"
"100","0","10035","0","1","610035603"
"800","0","10035","0","1","610035604"
"80","0","10037","0","1","610037501"
"180","0","10037","0","1","610037502"
"280","0","10037","0","1","610037503"
"380","0","10037","0","1","610037504"
"-120","0","10038","0","1","610038501"
"-40","0","10038","0","1","610038502"
"10","0","10038","0","1","610038503"
"50","0","10038","0","1","610038504"
"-500","0","10039","0","1","610039501"
"-400","0","10039","0","1","610039502"
"-300","0","10039","0","1","610039503"
"-205","0","10040","0","1","610040501"
"122","0","10040","0","1","610040502"
"25","0","10040","0","1","610040503"
"295","0","10040","0","1","610040504"
"0","0","10041","0","1","610041501"
"10","0","10041","0","1","610041502"
"20","0","10041","0","1","610041503"
"-120","0","10042","0","2","610042501"
"-40","0","10042","0","2","610042502"
"10","0","10042","0","2","610042503"
"20","1","10045","1","2","610045501"
"140","2","10045","1","2","610045502"
"300","3","10045","1","2","610045503"
"-275","0","10046","0","1","610046404"
"-45","0","10046","0","1","610046405"
"115","0","10046","0","1","610046406"
"175","0","10046","0","1","610046407"
"-150","0","10048","0","2","610048601"
"-145","0","10048","0","2","610048602"
