f8cd5a077c95424a65dca7d1952cb519558d228720d0252c621cf6eb90329aac,f2dd62053423b744d6e3641d52607d81c7decdb8ef148ae52dba1eb9fbe38eb8,a780f8df808ffb5ab399d3b9adfa06b158ad6f97e7a3808862b488e8ad6af269,5371de2dba3ae15c182b353acea8761a67138c982dd392ce5547655fa2777df1,9a587daf319125163c14351b6aab953fadc5e90b35e729e535b54efc18fff8ba,dd438de9cb9055175474d34026c31a44b66ea201efe34ad9be541a828b9f08a3,254dc7ed1e6426f66703be4d473ef13922008b49ed389913b38bc0102a0ac400
"180010113","1","1","18001001","180010112","180010111","59"
"180010213","2","60","18001001","180010212","180010211","99"
"180010313","3","100","18001001","180010312","180010311","119"
"180010413","4","120","18001001","180010412","180010411","139"
"180010513","5","140","18001001","180010512","180010511","149"
"180010613","6","150","18001001","180010612","180010611","159"
"180010713","7","160","18001001","180010712","180010711","169"
"180010813","8","170","18001001","180010812","180010811","-1"
"180010123","9","1","18001002","180010122","180010121","59"
"180010223","10","60","18001002","180010222","180010221","99"
"180010323","11","100","18001002","180010322","180010321","119"
"180010423","12","120","18001002","180010422","180010421","139"
"180010523","13","140","18001002","180010522","180010521","149"
"180010623","14","150","18001002","180010622","180010621","159"
"180010723","15","160","18001002","180010722","180010721","169"
"180010823","16","170","18001002","180010822","180010821","-1"
"180010133","17","1","18001003","180010132","180010131","59"
"180010233","18","60","18001003","180010232","180010231","99"
"180010333","19","100","18001003","180010332","180010331","119"
"180010433","20","120","18001003","180010432","180010431","139"
"180010533","21","140","18001003","180010532","180010531","149"
"180010633","22","150","18001003","180010632","180010631","159"
"180010733","23","160","18001003","180010732","180010731","169"
"180010833","24","170","18001003","180010832","180010831","-1"
"180010143","25","1","18001004","180010142","180010141","59"
"180010243","26","60","18001004","180010242","180010241","99"
"180010343","27","100","18001004","180010342","180010341","119"
"180010443","28","120","18001004","180010442","180010441","139"
"180010543","29","140","18001004","180010542","180010541","149"
"180010643","30","150","18001004","180010642","180010641","159"
"180010743","31","160","18001004","180010742","180010741","169"
"180010843","32","170","18001004","180010842","180010841","179"
"180010943","33","180","18001004","180010942","180010941","189"
"180011043","34","190","18001004","180011042","180011041","199"
