3af0e30cd0032d88a1d7826bbdf5eaf29d2db947aa79aa7cbb629320f88a6dbd,0e5947e9b391ae8af40b28fdff1c792dcf10a596c1246219cd21f7f9c1cfecfe,1f7988b18f531fd8c106b6390bb3458d95c168f5f5bacc11485d09ebb969a333,5612737fff68c3050834e5785ec87187b247a77db8e88c0b7ec9aed8fd233e5e,438f783c6253cbab5cd6615bfb4c975e3a09ff0da2d2daf0119046e4c9855e86,6873cebfc9dc61228e826b4cdc4a1cf20556f1a2ec89ce6e88401b1c92d11add,7cf7c362c5aa06a1ee1f5beec27f3a25aa1ca05f3502c30c631831c2031fed6d,bbad94063436bc7562da9cb4b5625eaa77570b1653398279bbfbe076a666e500,4a01a80f5dbb81deedf70bebbc29ec46c9a3e5132296bbf33ce7c020b2ac8c37
"0","1101002","1101001","21","0","0","0","0","600"
"600","1101003","1101002","22","0","0","0","0","2400"
"-1500","1","1101003","20","0","0","0","50","1"
"0","1101012","1101011","21","0","0","0","0","900"
"700","1101013","1101012","22","0","0","0","0","2100"
"-1500","1","1101013","20","0","0","0","200","1"
"0","1101022","1101021","21","0","0","0","0","400"
"500","1101023","1101022","22","0","0","0","0","2000"
"-1500","1","1101023","20","0","0","0","350","1"
"0","1101032","1101031","21","0","0","0","0","1000"
"900","1101033","1101032","22","0","0","0","0","1800"
"-1500","1","1101033","20","0","0","0","500","1"
"0","1101042","1101041","21","0","0","0","0","500"
"800","1101043","1101042","22","0","0","0","0","1600"
"-1500","1","1101043","20","0","0","0","750","1"
"2","25","1101101","1","0","2","0","2","1"
"-2000","1","1102001","20","0","0","0","-100","1"
"2","20","1102101","1","0","2","0","10","1"
"0","200000","1102102","10","0","2","0","0","2"
"0","1103002","1103001","21","0","0","0","0","500"
"0","1000","1103002","3","0","2","0","0","0"
"3000","-15","1202001","2","0","2","0","0","3"
"30000","15","1204001","2","0","1","0","0","3"
"30000","10","1205001","2","0","1","0","0","3"
"30000","10","1206001","2","0","1","0","0","3"
"30000","10","1207001","2","0","1","0","0","3"
"3000","15","1208001","2","0","1","0","0","2"
"3000","25","1209001","2","0","1","0","0","1"
"3000","10","1210001","2","0","1","0","0","2"
"0","1210003","1210002","21","0","0","0","0","3000"
"30000","15","1210003","2","0","1","0","0","1"
"3000","-10","1211001","2","0","1","0","0","2"
"0","1211003","1211002","21","0","0","0","0","3000"
"30000","-15","1211003","2","0","2","0","0","1"
"30000","-10","1213001","2","0","2","0","0","1"
"30000","-10","1213002","2","0","2","0","0","2"
"1500","-25","1214001","2","0","2","0","0","3"
"3000","-20","1216001","2","0","2","0","0","3"
"30000","20","1218001","2","0","1","0","0","3"
"30000","15","1219001","2","0","1","0","0","3"
"30000","15","1220001","2","0","1","0","0","3"
"30000","15","1221001","2","0","1","0","0","3"
"3000","20","1222001","2","0","1","0","0","2"
"3000","30","1223001","2","0","1","0","0","1"
"3000","15","1224001","2","0","1","0","0","2"
"0","1224003","1224002","21","0","0","0","0","3000"
"30000","20","1224003","2","0","1","0","0","1"
"3000","-10","1225001","2","0","1","0","0","2"
"0","1225003","1225002","21","0","0","0","0","3000"
"30000","-20","1225003","2","0","2","0","0","1"
"30000","-15","1227001","2","0","2","0","0","1"
"30000","-15","1227002","2","0","2","0","0","2"
"1500","-35","1228001","2","0","2","0","0","3"
"30000","20","1229001","2","0","1","0","0","3"
"3000","20","1230001","2","0","1","0","0","2"
"0","1230003","1230002","21","0","0","0","0","3000"
"30000","50","1230003","2","0","1","0","0","1"
"3000","-25","1232001","2","0","2","0","0","3"
"30000","25","1234001","2","0","1","0","0","3"
"30000","20","1235001","2","0","1","0","0","3"
"30000","20","1236001","2","0","1","0","0","3"
"30000","20","1237001","2","0","1","0","0","3"
"3000","25","1238001","2","0","1","0","0","2"
"3000","35","1239001","2","0","1","0","0","1"
"3000","20","1240001","2","0","1","0","0","2"
"0","1240003","1240002","21","0","0","0","0","3000"
"30000","25","1240003","2","0","1","0","0","1"
"3000","-10","1241001","2","0","1","0","0","2"
"0","1241003","1241002","21","0","0","0","0","3000"
"30000","-25","1241003","2","0","2","0","0","1"
"30000","-20","1242001","2","0","2","0","0","1"
"30000","-20","1242002","2","0","2","0","0","2"
"1500","-75","1244001","2","0","2","0","0","3"
"30000","20","1246001","2","0","1","0","0","3"
"30000","30","1247001","2","0","1","0","0","3"
"0","1247003","1247002","21","0","0","0","0","3000"
"3000","25","1247003","2","0","1","0","0","1"
"3000","75","1248001","2","0","1","0","0","1"
"1500","-90","1249001","2","0","2","0","0","3"
"30000","10","2101001","2","0","1","0","0","2"
"30000","10","2102001","2","0","1","0","0","2"
"3000","-15","2103001","2","0","2","0","0","2"
"3000","-15","2103002","2","0","2","0","0","3"
"3000","-25","2105001","2","0","2","0","0","3"
"30000","25","2107001","2","0","1","0","0","3"
"30000","10","2108001","2","0","1","0","0","3"
"30000","10","2109001","2","0","1","0","0","3"
"30000","10","2110001","2","0","1","0","0","3"
"3000","15","2111001","2","0","1","0","0","2"
"3000","25","2112001","2","0","1","0","0","1"
"3000","10","2113001","2","0","1","0","0","2"
"0","2113003","2113002","21","0","0","0","0","3000"
"30000","25","2113003","2","0","1","0","0","1"
"3000","-10","2114001","2","0","1","0","0","2"
"0","2114003","2114002","21","0","1","0","0","3000"
"30000","-25","2114003","2","0","2","0","0","1"
"30000","-10","2116001","2","0","2","0","0","1"
"30000","-10","2116002","2","0","2","0","0","2"
"1500","-50","2117001","2","0","2","0","0","3"
"0","3301002","3301001","21","0","0","0","0","300"
"30","1","3301002","20","0","0","0","20","2"
"1","0","3301101","1","0","2","0","100","1"
"1","0","3302001","1","0","2","0","40","1"
"1","0","3302002","1","0","2","0","60","1"
"1","0","3303001","1","0","2","0","12","1"
"1","0","3303002","1","0","2","0","28","1"
"1","0","3304001","1","0","2","0","40","1"
"1","0","3304002","1","0","2","0","100","1"
"0","3305011","3305001","21","0","0","0","0","200"
"0","3305012","3305002","21","0","0","0","0","200"
"0","3305013","3305003","21","0","0","0","0","200"
"0","3305014","3305004","21","0","0","0","0","200"
"0","3305015","3305005","21","0","0","0","0","200"
"0","3305016","3305006","21","0","0","0","0","200"
"26","1","3305011","20","30","0","0","15","2"
"29","1","3305012","20","15","0","0","8","2"
"30","1","3305013","20","0","0","0","0","2"
"29","1","3305014","20","-15","0","0","-8","2"
"26","1","3305015","20","-30","0","0","-15","2"
"180","30000","3305016","10","0","1","0","0","1"
"1","0","3305101","1","0","2","0","20","1"
"274","1","3402001","20","0","0","0","29","2"
"0","500000","3402101","11","0","3","0","0","2000"
"0","3403002","3403001","21","0","0","0","0","200"
"0","200000","3403002","10","0","1","0","0","1"
"0","0","4001001","4","0","3","0","0","0"
"0","99999","4001002","1","0","3","0","0","0"
"9","99999","4002001","1","9","3","9","9","9"
