3a0d6c61a8f55d3b17abcaaa300dd2ea96963447ee70dbb15f1c187ce36cdecf,3504823a7090fccd32debe235799a379b6f0dae8aea9c58eedbb862e4030401d,12b7e96884d1b95f71f0a3c656fd1b3cbc2c2adf45bfcef0718adab617d50cba,7e9371e52420212926d86b5db34c1964ab61bf3064c16f9118d87802efbdb0c2,0de81cbcc44a4e70da4bddf7e588e3dd2050d546429cc3cedbd2eb1887c0ea00,ca08975f55e4dda0f9e1bf6f7e6a80ac706f7cc10b5b3971ee907ce8a0b40478,899ed7fd4d3eb82ca610cfb8abac36da1046afcd6165494117791ce59312ad16
"1","1","0","1","0","1","1"
"2","1","0","4","0","2","1"
"3","1","12","5","0","1","1"
"4","1","0","2","0","2","1"
"5","1","0","8","0","1","2"
"1","2","0","1","0","1","1"
"2","2","0","1","0","2","1"
"3","2","0","6","0","1","1"
"4","2","0","1","0","2","1"
"5","2","0","1","0","3","1"
"6","2","11","3","0","1","3"
"7","2","0","1","0","2","1"
"8","2","0","3","0","1","1"
"9","2","0","1","0","1","2"
"1","3","0","1","0","1","1"
"2","3","0","10","0","2","1"
"3","3","0","11","0","1","1"
"4","3","0","5","0","2","1"
"5","3","0","6","0","3","1"
"6","3","0","3","0","3","1"
"7","3","9","3","0","4","2"
"8","3","0","7","0","4","1"
"9","3","0","1","0","4","1"
"10","3","8","9","0","1","3"
"11","3","0","4","0","2","1"
"12","3","0","1","0","1","1"
"13","3","0","3","0","4","1"
"14","3","11","3","0","3","2"
"1","4","10","4","0","1","1"
"2","4","12","12","0","1","1"
"3","4","10","1","0","2","1"
"4","4","4","11","0","1","1"
"5","4","0","1","0","2","1"
"6","4","13","4","0","1","1"
"7","4","6","2","0","2","1"
"8","4","0","8","0","1","1"
"9","4","10","8","0","2","1"
"1","5","10","1","0","1","1"
"2","5","5","11","0","2","1"
"3","5","7","1","0","1","1"
"4","5","12","5","0","2","1"
"5","5","11","1","0","1","1"
"6","5","4","3","0","2","1"
"7","5","12","5","0","2","1"
"8","5","6","2","0","1","1"
"9","5","4","11","0","2","1"
"10","5","8","8","0","1","1"
"11","5","10","4","0","1","1"
"12","5","10","5","0","2","1"
"1","6","7","8","0","1","1"
"2","6","10","4","0","2","1"
"3","6","11","1","0","1","1"
"4","6","8","8","0","2","1"
"5","6","6","11","0","1","1"
"6","6","7","2","0","1","2"
"7","6","4","5","0","1","1"
"8","6","10","4","0","2","1"
"9","6","13","10","0","1","2"
"1","7","7","8","0","1","1"
"2","7","10","12","0","2","1"
"3","7","12","4","0","2","1"
"4","7","7","11","0","1","1"
"5","7","10","1","0","1","1"
"6","7","12","5","0","2","1"
"7","7","11","5","0","2","1"
"8","7","10","8","0","2","1"
"9","7","8","2","0","1","1"
"10","7","7","8","0","1","1"
"11","7","9","4","0","2","1"
"1","8","10","1","0","1","2"
"2","8","10","12","0","2","1"
"3","8","5","12","0","1","1"
"4","8","12","5","0","1","1"
"5","8","10","1","0","2","1"
"6","8","12","5","0","1","1"
"7","8","12","5","0","1","1"
"8","8","10","1","0","2","1"
"9","8","9","8","0","2","1"
"10","8","9","4","0","1","2"
"1","9","8","4","0","1","1"
"2","9","10","5","0","1","1"
"3","9","7","4","0","2","1"
"4","9","8","6","0","2","1"
"5","9","10","1","0","1","1"
"6","9","11","11","0","1","1"
"7","9","6","1","0","1","1"
"8","9","8","5","0","2","1"
"9","9","7","8","0","2","1"
"10","9","6","4","0","1","1"
"1","10","10","11","0","2","1"
"2","10","7","1","0","1","1"
"3","10","8","8","0","1","2"
"4","10","9","5","0","2","1"
"5","10","8","10","0","1","1"
"6","10","7","1","0","1","2"
"7","10","6","2","0","1","2"
"8","10","10","11","0","1","1"
"9","10","10","8","0","2","1"
"1","11","8","9","0","1","1"
"2","11","0","5","0","2","1"
"3","11","12","6","0","2","1"
"4","11","5","1","0","1","1"
"5","11","10","5","0","2","1"
