d1c6e3348bcdaf219bc64a52d0006d1b3ca57b051c7578b88a8b1d3531c64cd2,b232e526328f5282f4f025bff2d6145a1c6768498467629808ce40497f9d9838,a36428140dc5dc5625baf87ba055bd977f855c24dc7b63aff26ebc69493b47fc,209e7e7b3e5690c9901f01e75bca92c5b3f1d32db179151ea9f3e195e4c7a959,5fdddfb7fcfbe4cc113d39bc59915d82f3ba903620d3b132ba71df0f803ce0f9,a506302acbb3fe1181283261c12708c3e7fd4f4dba18ba743711546f48e1bc88,dbf3256849bdc57c0a8b6b480e72d4ddeb3f13645b809e9e61d9f6476217e963,6ebed1c7333d6b2bf526f6fe1ab812b0deacba1677c19244385821a05d2443c2,88f6619e93000aa80f50364886a4ff0e16550f1497104bb6faf64db4d7a42355,9af69f0fefd5c1705c9be13731d7540458d104e401e7d12d4252857bf5157afc,11eaf645a17fdee27e8e47362a7e542ee4fa1dcfdda39e318105be2ef616d46f,b4ffd4f4bf0ef8527a98583fd3ea7e4816d0404f7e735c2efb5fbb50429d05b0,0470957cf040f672a9c6d3287c8d30018dc2bfb9398bc950f7c03fc938dc7243,518e43f88a56812ec8f85edad9f7a2b52255b32d8c82e6cc4a3aaf23b6f6a8bb,05297d42c86fb2d1d3429b450598bd243d803771e638816252df4d7b1006e2e3
"91002","2834","與貪吃佩可的相遇","0","8","10118","0","吉塔去到跳蚤市場，\n遇見了從城裡偷溜出來的貪吃佩可。","1","在藍天下的謁見","5118061","7","2","跳蚤市場會場","40"
"91002","2835","與真步的相遇","0","8","10118","0","吉塔等人在逛跳蚤市場之際，\n出來擺攤的真步叫住他們。","1","未來的騎空團\n吉祥物？","5118062","7","2","跳蚤市場會場","40"
"91002","2837","與秋乃的相遇","0","8","10118","0","吉塔在確認要給騎空團的委託時，\n揚聲高笑的秋乃現身。","1","來自大小姐的\n緊急委託","5118063","7","2","蘭德索爾市中心","40"
"91002","4108402","與純的相遇","0","8","10118","0","吉塔等人在跳蚤市場會場\n看到略顯困擾的純。","1","金黃色的煩惱","5118064","18","2","跳蚤市場會場","40"
"91002","4107402","與香織的相遇","0","8","10118","0","在跳蚤市場一角舉行的格鬥大會──\n香織她人也在那裡……？","1","白熱化！格鬥大會！","5118065","18","2","跳蚤市場會場","40"
"91002","9000227","與妮諾的相遇","0","8","10118","1","正在準備太鼓祭典的大江戶町──\n吉塔遇見看似一臉困擾的妮諾。","1","祭典太鼓是大江戶之花","5118066","16","2","大江戶町","40"
"91002","2101181","與鈴奈的相遇","0","8","10118","0","碧卡拉看到參與活動演出的鈴奈。\n不過，鈴奈看起來好像很困擾的樣子……？","1","受歡迎的人\n總是姍姍來遲","5118067","19","3","跳蚤市場會場","40"
"91002","4109402","與七七香的相遇","0","8","10118","0","碧卡拉等人在街上散步時，\n路過的七七香一臉興奮地靠了過來……？","1","當巫女遇上魔法少女","5118068","18","3","蘭德索爾市中心","40"
"91002","4305402","與凱留＆可可蘿的相遇","0","8","10118","0","碧卡拉因為鼠耳不見了而感到絕望。同一時段，\n凱留和可可蘿撿到了有人掉在路上的東西……","1","老鼠耳朵再次消失","5118069","18","3","跳蚤市場會場","40"
"91002","4101402","與優花梨的相遇","0","8","10118","0","在郊外休息片刻的碧卡拉等人，\n遇見超級好心情的優花梨。","1","為這次的相遇乾杯！","5118070","18","3","蘭德索爾市中心","40"
"91002","4106402","與碧的相遇","0","8","10118","0","碧卡拉擔心著害怕混雜人群的碧，\n開朗地向她搭話……","1","陰陽合奏","5118071","18","3","蘭德索爾市中心","40"
"91002","2836","與忍的相遇","0","8","10118","1","碧卡拉走過跳蚤市場會場，\n正在占卜的忍出聲喊住她。","1","試手氣十戰決勝負！","5118072","7","3","跳蚤市場會場","40"
"0","0","序幕","10145115","0","10118","0","0","0","她們的嶄新日常","5118600","0","1","0","0"
