4add61a2f045d7201b4c4da694e0a8586e75f5c41f9a6f929772d649cf61e1b5,fd0c3c0bddfa3a47cb084c51d54543adf59064f3aadbeb94ef749a28cefda77b,b8e6c594ace4942537c72107446ba1861fed1e935cd2dcc761dbaed65c2994d0,9cab3521f1a55689bd2a7dc37ec8cf102949177bb9cbb87b88b58f442328f3a6,0e05621aa6c15a2c59877e68b3bc2e67d1677655cb4d3a661c29253bf114f48f,3adee1517aa1ac76b32a115f1543f23cbadd76ee4cd1354ad083ff5917cdd5f2,ed65bf4883de98c8a85873282764e28ed70f9c338a685325165cdd66d96a4e9d,e3161c5e85c35026d8c0568eaaf2ec6a7198023d3e76c8e4993b17296888c322
"11011","21_role_tank","0","192801","11011","想讓掩護者\n成為夥伴！","0","掩護者職階的\n隨機印記×2\n＋始源盧幣×200"
"11012","22_role_healer","0","192801","11012","想讓治療者\n成為夥伴！","0","治療者職階的\n隨機印記×2\n＋始源盧幣×200"
"11021","23_role_booster","0","192801","11021","想讓增幅者\n成為夥伴！","0","增幅者職階的\n隨機印記×2\n＋始源盧幣×200"
"11022","24_role_buffer","0","192801","11022","想讓增益者\n成為夥伴！","0","增益者職階的\n隨機印記×2\n＋始源盧幣×200"
"11031","25_role_debuffer","0","192901","11031","想讓減益者\n成為夥伴！","0","減益者職階的\n隨機印記×2\n＋始源盧幣×200"
"11032","26_role_jammer","0","192901","11032","想讓妨礙者\n成為夥伴！","0","妨礙者職階的\n隨機印記×2\n＋始源盧幣×200"
"11041","27_role_attacker","0","192901","11041","想讓攻擊者\n成為夥伴！","0","攻擊者職階的\n隨機印記×2\n＋始源盧幣×200"
"11042","28_role_breaker","0","192901","11042","想讓破防者\n成為夥伴！","0","破防者職階的\n隨機印記×2\n＋始源盧幣×200"
"11051","41_matsuri_guts","0","100501","11051","試試身手吧！","0","挑戰戰鬥格子（NORMAL）\n的敵人\n＋始源盧幣×200"
"11052","42_chris_cool","0","107101","11052","與強敵間的戰鬥令人興奮！","0","挑戰戰鬥格子（EXTREME）\n的敵人\n＋始源盧幣×300"
"11071","71_suzume_sad","2000","102501","11071","小心接近吧","1","50％★2迷宮遺物×1\n50％★3迷宮遺物×1"
"11072","72_ayane_handsup","2000","102301","11072","噗吉\n全力揮～擊☆","1","50％隨機職階的\n自選印記×1\n50％全自選印記×1"
"11073","73_kurumi_wish","0","102101","11073","摸也\n沒關係吧……？","0","50％始源盧幣×1500\n50％始源盧幣×2000"
"11081","82_akino_pointing","0","103201","11081","一定是右吧！","0","50％★1迷宮遺物×1\n50％隨機職階的\n隨機印記×2"
"11082","81_saren_pointing","0","102801","11082","不是左嗎？","0","始源盧幣×1000"
"11091","41_matsuri_guts","0","100501","11091","試試身手吧！","0","挑戰戰鬥格子（NORMAL）\n的敵人\n＋始源盧幣×300"
"11092","42_chris_cool","0","107101","11092","與強敵間的戰鬥令人興奮！","0","挑戰戰鬥格子（EXTREME）\n的敵人\n＋始源盧幣×450"
"11101","31_hiyori_gu","0","100101","11101","石頭──！！！","0","獲勝始源盧幣×3000\n落敗始源盧幣×1000"
"11102","32_rei_choki","0","100301","11102","出剪刀吧","0","獲勝始源盧幣×3000\n落敗始源盧幣×1000"
"11103","33_yui_pa","0","100201","11103","出布好了","0","獲勝始源盧幣×3000\n落敗始源盧幣×1000"
"11111","101_chest_shizuru","0","193001","11111","弟弟，\n這邊這邊♪","0","始源盧幣×2000"
"11112","102_chest_rino","0","193001","11112","哥哥，\n這邊喔♪","0","★1～3迷宮遺物×１"
"11121","111_tomo_run","0","103701","11121","賭上\n御久間流的劍技！","0","始源盧幣×2000"
"11122","112_jun_run","0","104701","11122","這裡就交給\n我們吧！","0","純成為夥伴\n＋全隨機印記×2～4"
"11131","41_matsuri_guts","0","100501","11131","試試身手吧！","0","挑戰戰鬥格子（NORMAL）\n的敵人\n＋始源盧幣×400"
"11132","42_chris_cool","0","107101","11132","與強敵間的戰鬥令人興奮！","0","挑戰戰鬥格子（EXTREME）\n的敵人\n＋始源盧幣×600"
"11171","41_matsuri_guts","0","100501","11171","試試身手吧！","0","挑戰戰鬥格子（NORMAL）\n的敵人\n＋始源盧幣×500"
"11172","42_chris_cool","0","107101","11172","與強敵間的戰鬥令人興奮！","0","挑戰戰鬥格子（EXTREME）\n的敵人\n＋始源盧幣×750"
"13141","51_ruka_fishing","0","105601","13141","來放鬆\n釣個魚吧","0","50％★1迷宮遺物×1\n接著前往下一個活動"
"13151","91_peko_guts","0","105801","13151","大家\n一起來做菜吧♪","0","50％前往下一個活動"
"13161","61_inori_guts","0","106601","13161","那我也上吧！","0","50％始源盧幣×2000\n接著前往下一個活動"
"23141","52_ruka_fishing","0","105601","23141","再挑戰一次！","0","25％★2迷宮遺物×1\n接著前往下一個活動"
"23151","92_peko_guts","0","105801","23151","還遠遠\n沒吃夠☆","1","50％前往下一個活動"
"23152","92_kyaru_sad","0","106001","23152","差不多那樣\n就行了吧？","0","隨機職階的\n隨機印記×2"
"23161","62_inori_guts","2000","106601","23161","今天真走運！","1","50％始源盧幣×4000\n接著前往下一個活動"
"23162","62_ayumi_sad","0","105501","23162","差不多就到這裡吧……","0","挑戰結束"
"33141","53_ruka_fishing","0","105601","33141","最後再來一場！","0","10％★3迷宮遺物×1"
"33151","93_peko_guts","0","105801","33151","嘿嘿～\n再一下就好……","1","50％全自選印記×２"
"33152","93_kyaru_anger","0","106001","33152","不可能\n吃得下這麼多吧！","0","隨機職階的\n自選印記×2"
"33161","63_inori_guts","4000","106601","33161","今天的我\n百戰百勝！","1","50％始源盧幣×8000"
"33162","63_ayumi_worry","0","105501","33162","差不多住手了比較好……","0","挑戰結束"
