1ddc9885c1ad9f545a9383c2d2cd3ada9077bd36d4699d4bc0f09a24c81472de,f6da76faf41a97c97cf5208a57122108ede45ac8b3a4782911dee10735ed4237,f16ce828dd1c37de70b9d7f0069baa46942c2f9287281ddd1e88c3499b6ab01a,a382bd53b4393cb44353d9ac95baff4408b7db5a22e048dfb734061885b09032,1752ca013273bb63356ade978d5f5315cd0b8ccb0582a5862ae022745fefc281,54116bf625ac8d356caf0dac6fbeb5b07b0d99385f7bf5fa970301cb0316c44b,152b6d7407c3a03b7ad1f444e180cb43c7c9fc202377808350c7c0745742d893,f92cae71ac231bb98e17b547d074bc42675a9d090d439d8e40a82f50781895dc
"1005","0","TP提升250","1005","0","2","戰鬥開始時，我方的TP提升250。","1005"
"1006","0","TP提升250","1006","0","2","戰鬥開始時，我方的TP提升250。","1006"
"1007","0","TP提升250","1007","0","2","戰鬥開始時，我方的TP提升250。","1007"
"1008","0","TP提升250","1008","0","2","戰鬥開始時，我方的TP提升250。","1008"
"100501","36000","降低物理攻擊90秒","1005","7469000000000","1","戰鬥開始90秒內，使敵人的物理攻擊力下降。","100501"
"100502","36000","降低物理攻擊90秒","1005","7161000000000","1","戰鬥開始90秒內，使敵人的物理攻擊力下降。","100502"
"100503","36000","降低物理防禦90秒","1005","6930000000000","1","戰鬥開始90秒內，使敵人的物理防禦力下降。","100503"
"100504","36000","降低魔法防禦90秒","1005","6699000000000","1","戰鬥開始90秒內，使敵人的魔法防禦力下降。","100504"
"100505","36000","降低物理攻擊90秒","1005","6468000000000","1","戰鬥開始90秒內，使敵人的物理攻擊力下降。","100505"
"100506","36000","降低物理攻擊90秒","1005","6160000000000","1","戰鬥開始90秒內，使敵人的物理攻擊力下降。","100506"
"100507","36000","降低物理防禦90秒","1005","5929000000000","1","戰鬥開始90秒內，使敵人的物理防禦力下降。","100507"
"100508","36000","降低魔法防禦90秒","1005","5698000000000","1","戰鬥開始90秒內，使敵人的魔法防禦力下降。","100508"
"100509","36000","降低物理攻擊90秒","1005","5390000000000","1","戰鬥開始90秒內，使敵人的物理攻擊力下降。","100509"
"100510","36000","降低物理攻擊90秒","1005","5159000000000","1","戰鬥開始90秒內，使敵人的物理攻擊力下降。","100510"
"100511","36000","降低物理攻擊90秒","1005","4928000000000","1","戰鬥開始90秒內，使敵人的物理攻擊力下降。","100511"
"100512","36000","降低物理攻擊90秒","1005","4620000000000","1","戰鬥開始90秒內，使敵人的物理攻擊力下降。","100512"
"100513","36000","降低物理防禦90秒","1005","4389000000000","1","戰鬥開始90秒內，使敵人的物理防禦力下降。","100513"
"100514","36000","降低魔法防禦90秒","1005","4158000000000","1","戰鬥開始90秒內，使敵人的魔法防禦力下降。","100514"
"100515","36000","降低物理攻擊90秒","1005","3927000000000","1","戰鬥開始90秒內，使敵人的物理攻擊力下降。","100515"
"100516","36000","降低物理攻擊90秒","1005","3619000000000","1","戰鬥開始90秒內，使敵人的物理攻擊力下降。","100516"
"100517","36000","降低物理防禦90秒","1005","3388000000000","1","戰鬥開始90秒內，使敵人的物理防禦力下降。","100517"
"100518","36000","降低魔法防禦90秒","1005","3157000000000","1","戰鬥開始90秒內，使敵人的魔法防禦力下降。","100518"
