f3a0b822fb2c35fec7c5381edb2d8bce283507d6bcb3dad835af69c1f6145d72,207aa556166fe6a79b578b93ca1c00ca225b46695da52b6cce484bc9632c0374,21c64d2508adc4be474df3013b4254893dbd964bfda34d46e01d531aca557f42,7ad2dfad628b4b91d3d3c41181fa60762cab869990902007ed357b7cdfb76aac,32789f1460a8646c8177bfdd3131b2f7b7856d77eea9f310e168b1d67cdc17ea,66696eab6cfabb5743519d5d81487f91f65e4b750a1a0be5b8f8a1ebb8a3b6f2,2f619be96d3bd5f5506bd8e56e8c8142546f24b02f51531324c4ba482d923bba,90d62946bf123a19854599ef0916cf0e8cb2c0ed21626f42e8891f1db8dc8b6d,d02430574a7f992cb50ad7076e9e452faef68160355b8125b688ca2fb28db7f4,bd7b70223cc8f81efd30eddbd6f5f14df55cdab3764b0dad4f810ef167e81bb8,5d372cd32ee2f66cca3c84338c70e46c7b6223dbcab54fe3fc740d2f4b32e695,44816c7ab3b1644036568aa7070806bc4fd8fc0b8ffc0dc6ef176ddc89377cd8,91f76259641f555b9e9d66f37322596a11b01278291cd4108a539f385a79b952,045b9470f70d591490a4860d91c7f97c98eb2ba6d07c27ddfe485c2b3e7e3a00,88e30831f193efd0ab76515aed792bf5aa6047aba1177af2e8d98daf55eed126,e05f5d77f59bb797ccfa743095e86ca6b3bf8f6c1cb4e18e36f23a186d6ddb24,f7fc82bff83614cf2a3a3155927c020fece7c36c90fd60c96a26182a1c20b706,b42b367901556c07727aae46a4c960624bbac23f3979457fc440ce18579abff4,e3c0046e228e70c8c4bf2b9b9dd76ed629fa32bd7081bf78721f2e09e9eb632c,f3260f7aa35c3bc5d8141153973a70b648de2e1d0fc893f6b39c4072fbb2960f,aca332da1f3f0d4d7041da078f71a6bcac1622daf575395abd88ccbb2e955581,4c6f1020107b13b9dfbf288e0bd8fb21258f3c00374c621c86d8d92f8c2664b7,ef2e039af8c5e4de6e57051d426ebf352320a3c7c5025a76af0d7df37149a70b,3fe1f4f8860ecb9246f3fb41b9da5fabbf000d092304f161259c2080a48b4730,3f459923b7f8dad6fba4a2a16ea82050493e3a4786760f51c3de7eb34d32826a,2e362faa8a53d4016361ba4ebbe51216efeecf99ca4d2c78543e90744910376e
"181001001","182100","2030/12/17 14:59:59","10","81001001","紅焰的深域1-1","10","25011","0","10","100160","215","0","81001","0","90","0","810010011","2024/06/14 16:00:00","25021","281001001","10","25","0","0","381001001"
"181001002","182100","2030/12/17 14:59:59","10","81001002","紅焰的深域1-2","10","25011","0","10","100160","215","0","81001","0","90","0","810010021","2024/06/14 16:00:00","25021","281001002","10","100","0","200","381001002"
"181001003","182100","2030/12/17 14:59:59","10","81001003","紅焰的深域1-3","10","25011","0","10","100160","215","0","81001","0","90","0","810010031","2024/06/14 16:00:00","25021","281001003","10","175","0","400","381001003"
"181001004","182100","2030/12/17 14:59:59","10","81001004","紅焰的深域1-4","10","25011","0","10","100160","215","0","81001","0","90","0","810010041","2024/06/14 16:00:00","25021","281001004","10","50","0","550","381001004"
"181001005","182100","2030/12/17 14:59:59","10","81001005","紅焰的深域1-5","10","25011","0","10","100160","215","0","81001","0","90","0","810010051","2024/06/14 16:00:00","25021","281001005","10","125","0","750","381001005"
"181001006","182100","2030/12/17 14:59:59","10","81001006","紅焰的深域1-6","10","25011","0","10","100170","215","0","81001","0","90","0","810010061","2024/06/14 16:00:00","25021","281001006","10","200","0","950","381001006"
"181001007","182100","2030/12/17 14:59:59","10","81001007","紅焰的深域1-7","10","25011","0","10","100160","215","0","81001","0","90","0","810010071","2024/06/14 16:00:00","25021","281001007","10","25","0","1100","381001007"
"181001008","182100","2030/12/17 14:59:59","10","81001008","紅焰的深域1-8","10","25011","0","10","100160","215","0","81001","0","90","0","810010081","2024/06/14 16:00:00","25021","281001008","10","100","0","1300","381001008"
"181001009","182100","2030/12/17 14:59:59","10","81001009","紅焰的深域1-9","10","25011","0","10","100160","215","0","81001","0","90","0","810010091","2024/06/14 16:00:00","25021","281001009","10","175","0","1500","381001009"
"181001010","182100","2030/12/17 14:59:59","10","81001010","紅焰的深域1-10","10","25011","0","10","81001","215","0","81001","0","90","0","810010101","2024/06/14 16:00:00","25021","281001010","10","50","0","1750","381001010"
"181001011","182100","2030/12/17 14:59:59","20","81001011","紅焰的深域2-1","10","25011","0","10","100160","215","0","81001","0","90","0","810010111","2024/06/14 16:00:00","25021","281001011","10","25","0","2000","381001011"
"181001012","182100","2030/12/17 14:59:59","20","81001012","紅焰的深域2-2","10","25011","0","10","100160","215","0","81001","0","90","0","810010121","2024/06/14 16:00:00","25021","281001012","10","100","0","2200","381001012"
"181001013","182100","2030/12/17 14:59:59","20","81001013","紅焰的深域2-3","10","25011","0","10","100160","215","0","81001","0","90","0","810010131","2024/06/14 16:00:00","25021","281001013","10","175","0","2400","381001013"
"181001014","182100","2030/12/17 14:59:59","20","81001014","紅焰的深域2-4","10","25011","0","10","100160","215","0","81001","0","90","0","810010141","2024/06/14 16:00:00","25021","281001014","10","50","0","2550","381001014"
"181001015","182100","2030/12/17 14:59:59","20","81001015","紅焰的深域2-5","10","25011","0","10","100160","215","0","81001","0","90","0","810010151","2024/06/14 16:00:00","25021","281001015","10","125","0","2750","381001015"
"181001016","182100","2030/12/17 14:59:59","20","81001016","紅焰的深域2-6","10","25011","0","10","100170","215","0","81001","0","90","0","810010161","2024/06/14 16:00:00","25021","281001016","10","200","0","2950","381001016"
"181001017","182100","2030/12/17 14:59:59","20","81001017","紅焰的深域2-7","10","25011","0","10","100160","215","0","81001","0","90","0","810010171","2024/06/14 16:00:00","25021","281001017","10","25","0","3100","381001017"
"181001018","182100","2030/12/17 14:59:59","20","81001018","紅焰的深域2-8","10","25011","0","10","100160","215","0","81001","0","90","0","810010181","2024/06/14 16:00:00","25021","281001018","10","100","0","3300","381001018"
"181001019","182100","2030/12/17 14:59:59","20","81001019","紅焰的深域2-9","10","25011","0","10","100160","215","0","81001","0","90","0","810010191","2024/06/14 16:00:00","25021","281001019","10","175","0","3500","381001019"
"181001020","182100","2030/12/17 14:59:59","20","81001020","紅焰的深域2-10","10","25011","0","10","81001","215","0","81001","0","90","0","810010201","2024/06/14 16:00:00","25021","281001020","10","50","0","3750","381001020"
"181001021","182100","2030/12/17 14:59:59","30","81001021","紅焰的深域3-1","10","25011","0","10","100160","215","0","81001","0","90","0","810010211","2024/06/14 16:00:00","25021","281001021","10","25","0","4000","381001021"
