dcde854d6e38f4c5bbe9c2c1c0dd82b5df0b1463abd704aa8bd2cc5a2e96bc6b,7d104f525ac52cb424dadefd3e6d440856c2c0abf93063a44b03a9e2fb1300af,fd28260845a77101a78f38e135e5d1b7c04904dd3842d1974a41773c0099652a
"20114","180701","118301"
"20115","180701","118301"
"20116","180701","118401"
"20117","180701","118401"
"20118","180701","118401"
"20123","180801","120501"
"20124","180801","120401"
"20125","180801","120601"
"20126","180801","120401"
"20127","180801","120501"
"20128","180801","120601"
"30157","180801","120601"
"20129","180901","121801"
"20130","180901","121801"
"20131","180901","121701"
"20132","180901","121801"
"20133","180901","121701"
"20134","180901","121701"
"20135","180901","121701"
"20148","181001","124301"
"20149","181001","124301"
"20150","181001","124401"
"20151","181001","124401"
"20167","181101","128101"
"20168","181101","128101"
"20169","181101","128101"
"20170","181101","128101"
"20171","181101","128201"
"20172","181101","128201"
"20175","181101","128101"
