d3f181401868ccc7d06581e00ace686e34b2ad454c063cfe37cf055c0b92b5cb,692ad15ab775c6a52b11b30f92fffdc7dd1f2830917dbcc74ae7e08a1df2790f,31a552c60b1ebae3860761fbb2085ae3d6e959c4bcf984391f1ab21bab700e98,0e682713b6b0962d208ecfbe3db0999b9023be92537d7733a38294b69c52c254,5e670278c687efdd170d86407217717a97a567d0e4dceaebd7dcc2c70fb6ec4c,4ecf2a9d60b3eb72944296659c4d4f5b2a1b25103e14a6b93d10f944053443e6,dac91c3aecaf183ce8b219061278a64b695df58122fb49af517334e7362f16ce,12fa46ad41569a29f390b57a6177bd3e5499b49824e0a5aa5ae75587d3764644,de59e1825e2d57185e5f2dd9e5d021cbfef354327f6a5db01e822a5b3f89f038,08c3e8e2b7058e7b8080ee67679f627538b41c6205f952906109ddf318646e12
"0","7001","0","10062","0","0","卯月和凜的回憶","0","1","10062103"
"0","7002","0","10062","0","0","new generations的回憶","0","2","10062107"
"0","7003","0","10062","0","0","卯月與未央的回憶","0","4","10062107"
"0","7004","0","10062","0","0","美食殿堂的回憶","0","6","10062111"
"0","7005","0","10062","0","0","凜與未央的回憶","0","7","10062111"
"0","7006","0","10062","0","0","new generations的回憶","0","8","10062111"
"0","7007","0","10062","0","0","new generations與美食殿堂的回憶","0","9","10062115"
"0","7008","0","10062","0","0","美食殿堂的回憶","0","10","10062115"
"0","7009","0","10063","0","0","new generations與美食殿堂的回憶","0","14","10063111"
"0","7102","0","10062","0","0","new generations的回憶","0","3","10062107"
"0","7103","0","10062","0","0","美食殿堂的回憶","0","5","10062107"
"0","7104","0","10062","0","0","new generations與美食殿堂的回憶","0","11","10062115"
"0","7105","0","10063","0","0","new generations與美食殿堂的回憶","0","12","10063111"
"0","7106","0","10063","0","0","new generations與美食殿堂的回憶","0","13","10063111"
"2405","7201","1","10062","7","1","","0","15","10062103"
