fa98616cf71b0f0680352ac6eb27f8fab6d6b8bdbe5880b5ad74da6bc7a5fb74,efa0048f251249567ce0a105b588f2c6db3d98da1ccda1db49879f492c272020,8936ed008de271a8bddb6bc6842b075f9a501ce1039e10071184d5fcabc782c7,6007fd3d9f30efd0bc3439329754e03636bc86d3c2f26b588b7b2dc0404e9fcb,2ccb0778ee7fa7561603f1bf3eb47c8464b1cd4e530d839567c428a05b1a8591,da78ff28fff3ab816cc8040f48e37557629ef8ba6b0faaa8c07049818dcde60e,b255b55d191023a6d75f15dca805d5dd753abe84d3406def49f6fdae7efddaf6,13a6e6e128fb9264ff5b0263a9d7b4f6b8d80c9d83596d75be60c789596b95af,4df3640d49fc2de996042e988c6abba215b4d9192d4def2cadfe7e1736baa1c8,6bb6a79cff394a492997ad67afcce0dae5250953d8e125426a7f545198edab35,bdf81f32215eb3a2e41147e76c48ec619708adbfb333aee28d4e8fd32fa651d2,d19dc3f71c73d8b0b361d0a7f49add5c87238b18dc1089f07356c5c498f1037c,79788a8d5a8bf4a9f661cc98de46915499973ad5d234d5757e968bc1dce2cd98,6f0a31d7e7785b6279c8852bb3b009c0619b0050ef5c53bb9521c1a075612aca,bbbc67763f08d8ee7afc9a09a76db988d8c7a894674e9b8be6ebc3fe4a6a07d1,e911cc62007b1912b9c5d68c462a7b786f518be2e5d7bc3d62872d70fe3e9e3f,fd931fc59ef93f444c8cbab8666a4649e825d1dab132eca924ab9fb17949df7e,dbeb982276d177916c1907af7bfc93d8444054d403e25673e5f6a60245ab66ef,1e710873f41e47b2abed5120fe3b999a9fadce9251237d84f450cec036a5b204,737e86bd60ee4b6c896b26619fc2d390311f5937ff3a18fcfda320a9346b3976,7a74b0584dc02a69d7d5dbaa979b12b3cc4b5b39dee58f9921d0063552f6afb2,faf380bce6623e47cb6f73fd7cd935e3ebce0220281b5b40ab455a0e5e4ff515,3c6bacb4c9bb354817207030f2a069cd746aac0b4ddb960dcab573074fb8ae87,cd02bb85027eed335cceb2ec365f28120f1e94fde2eafafd9a117dc951a3ca11
"1002","7","10010101","1002","0","0","0","0","0","0","0","1001","1","0","0","0","1","0","1","3","0","0","1001","100101"
"1002","10","10020101","1002","0","0","0","0","1001","0","0","1001","1","0","1","0","1","1","1","3","0","0","1001","100201"
"1","8","10030101","1","0","0","0","0","0","0","0","1","1","0","1002","0","1001","0","1002","4","0","0","1001","100301"
"1","4","10030102","0","0","0","0","0","0","0","0","0","1002","0","0","0","0","0","1","1","0","0","1001","100301"
"1002","7","10040101","1001","0","0","0","0","0","0","0","1001","1","0","0","0","1","0","1","3","0","0","1001","100401"
"1002","7","10050101","1002","0","0","0","0","0","0","0","1001","1","0","0","0","1","0","1","3","0","0","1001","100501"
"1001","9","10060101","1002","0","0","0","0","0","0","0","1001","1","0","1","0","1","1001","1","3","0","0","1002","100601"
"1","9","10070101","1002","0","0","0","0","0","0","0","1","1","0","1001","0","1","1002","1001","6","0","0","1","100701"
"1001","10","10080101","1","0","0","0","0","1002","0","0","1","1001","0","1001","0","1002","1","1","3","0","0","1002","100801"
"1001","7","10090101","1001","0","0","0","0","0","0","0","1001","1","0","0","0","1","0","1001","3","0","0","1","100901"
"1002","10","10100101","1","0","0","0","0","1","0","0","1001","1002","0","1","0","1","1002","1","3","0","0","1001","101001"
"1001","7","10110101","1001","0","0","0","0","0","0","0","1002","1","0","0","0","1","0","1","3","0","0","1002","101101"
"1002","7","10120101","1002","0","0","0","0","0","0","0","1001","1","0","0","0","1","0","1","3","0","0","1001","101201"
"1001","7","10130101","1","0","0","0","0","0","0","0","1","1001","0","0","0","1002","0","1","3","0","0","1002","101301"
"1001","6","10140101","1001","0","0","0","0","0","0","0","0","1","0","0","0","1002","0","1","3","0","0","1002","101401"
"1001","7","10150101","1001","0","0","0","0","0","0","0","1002","1","0","0","0","1","0","1","3","0","0","1002","101501"
"1002","7","10160101","1002","0","0","0","0","0","0","0","1001","1","0","0","0","1","0","1","3","0","0","2001","101601"
"1002","9","10170101","1","0","0","0","0","0","0","0","1001","1001","0","1","0","1","1001","1","5","0","0","1001","101701"
