ca0f91b5c4ac8f4c3e5594ce4b50de53424709fcbd1b3fdd15fbad8852720b8d,3c424fda20699929f4eca7e10dedd2d83de5696f0c363e3e9a2a3e6e2690813f,bf95630c417d31867ff8fdaa721123afa078ce90a99b3f72026a0dc335e1cd0f,49e8c1ab7dbb0f2b242a22af30bac133837f927a81e745944cca08b5365beb94,57c53266987b511994207a9c0d67b3312cc90eef985720909fd5b207f6aa0815,ca510242e642686a9319feda30000b6f8f47cd179bac3c9776dafeef3c95c8ae,e00fe426af47b20bb6a1d746a55f4968b5231af3f55022f5fbf6934cf794e788,097fe25a1b9e0a14cc70673cb72111f34e0ba2f4674a84abf229143ce7599fa4,9948a97169b9ace4b631abbee3c6b6fb71709c74f611fb315c132db33501f042,1f2e77c53e777a2926faba7fc85f4038e20992575327b8dee8b17c65d4032a24,deeb6f3efb6e0656dee1c815b46c1fd85bfdef98103b68484b7c32a15ddd0a41,65ec5deddb7768d370db746ca4b60ec6dcb9082a42f49901e4d7b47b5862cd6b
"4","1","100700101","1007001","0","1","0.8","0","0","0","0","0"
"2","2","100700102","1007001","vo_svd_0101","0","0","0","0","0","vo_svd","0"
"1","3","100700103","1007001","0","0","0","300","1","0","0","1.684"
"4","4","100700104","1007001","0","1","1.949","0","0","0","0","0"
"1","5","100700105","1007001","0","0","0","327","2","15","0","1.363"
"4","6","100700106","1007001","0","1","3.027","0","0","0","0","0"
"2","7","100700107","1007001","vo_svd_0102","0","0","0","0","0","vo_svd","0"
"1","8","100700108","1007001","0","0","0","441","3","0","0","1.69"
"4","9","100700109","1007001","0","1","1.7","0","0","0","0","0"
"1","10","100700110","1007001","0","0","0","478","4","0","0","1.446"
"4","11","100700111","1007001","0","1","1.722","0","0","0","0","0"
"1","12","100700112","1007001","0","0","0","478","5","0","0","1.245"
"4","13","100700113","1007001","0","1","0.417","0","0","0","0","0"
"1","14","100700114","1007001","0","0","0","478","5","478","0","0.864"
"4","15","100700115","1007001","0","1","2.482","0","0","0","0","0"
"2","16","100700116","1007001","vo_svd_0103","0","0","0","0","0","vo_svd","0"
"1","17","100700117","1007001","0","0","0","420","6","0","0","2.352"
"4","18","100700118","1007001","0","1","1.694","0","0","0","0","0"
"1","19","100700119","1007001","0","0","0","268","7","0","0","0.953"
"4","20","100700120","1007001","0","1","2.5","0","0","0","0","0"
"4","1","100700201","1007002","0","1","0.8","0","0","0","0","0"
"2","2","100700202","1007002","vo_svd_0201","0","0","0","0","0","vo_svd","0"
"1","3","100700203","1007002","0","0","0","237","1","0","0","0.865"
"4","4","100700204","1007002","0","1","1.516","0","0","0","0","0"
"1","5","100700205","1007002","0","0","0","314","2","0","0","1.013"
"4","6","100700206","1007002","0","1","0.973","0","0","0","0","0"
"1","7","100700207","1007002","0","0","0","314","2","314","0","0.755"
"4","8","100700208","1007002","0","1","2.018","0","0","0","0","0"
"2","9","100700209","1007002","vo_svd_0202","0","0","0","0","0","vo_svd","0"
"1","10","100700210","1007002","0","0","0","76","3","0","0","0.541"
"4","11","100700211","1007002","0","1","0.517","0","0","0","0","0"
"1","12","100700212","1007002","0","0","0","330","3","76","0","0.992"
"4","13","100700213","1007002","0","1","0.792","0","0","0","0","0"
"1","14","100700214","1007002","0","0","0","0","4","0","0","0.751"
"4","15","100700215","1007002","0","1","1.887","0","0","0","0","0"
"2","16","100700216","1007002","vo_svd_0203","0","0","0","0","0","vo_svd","0"
"1","17","100700217","1007002","0","0","0","160","4","0","0","1.482"
"4","18","100700218","1007002","0","1","0.858","0","0","0","0","0"
"1","19","100700219","1007002","0","0","0","268","4","160","0","1.255"
"4","20","100700220","1007002","0","1","2.752","0","0","0","0","0"
"2","21","100700221","1007002","vo_svd_0204","0","0","0","0","0","vo_svd","0"
"1","22","100700222","1007002","0","0","0","336","5","0","0","1.827"
"4","23","100700223","1007002","0","1","1.654","0","0","0","0","0"
"1","24","100700224","1007002","0","0","0","364","6","0","0","1.773"
"4","25","100700225","1007002","0","1","2.5","0","0","0","0","0"
"4","1","100700301","1007003","0","1","0.8","0","0","0","0","0"
"2","2","100700302","1007003","vo_svd_0301","0","0","0","0","0","vo_svd","0"
"1","3","100700303","1007003","0","0","0","232","1","0","0","1.205"
"4","4","100700304","1007003","0","1","1.739","0","0","0","0","0"
"1","5","100700305","1007003","0","0","0","355","1","232","0","1.278"
"4","6","100700306","1007003","0","1","0.687","0","0","0","0","0"
"1","7","100700307","1007003","0","0","0","0","2","0","0","0.735"
"4","8","100700308","1007003","0","1","2.357","0","0","0","0","0"
"2","9","100700309","1007003","vo_svd_0302","0","0","0","0","0","vo_svd","0"
"1","10","100700310","1007003","0","0","0","364","2","0","0","1.542"
"4","11","100700311","1007003","0","1","1.9","0","0","0","0","0"
"1","12","100700312","1007003","0","0","0","336","3","0","0","1.82"
"4","13","100700313","1007003","0","1","1.754","0","0","0","0","0"
"1","14","100700314","1007003","0","0","0","255","4","0","0","1.133"
"4","15","100700315","1007003","0","1","2.697","0","0","0","0","0"
"2","16","100700316","1007003","vo_svd_0303","0","0","0","0","0","vo_svd","0"
"1","17","100700317","1007003","0","0","0","336","5","0","0","1.827"
"4","18","100700318","1007003","0","1","2.182","0","0","0","0","0"
"1","19","100700319","1007003","0","0","0","275","6","0","0","1.186"
"4","20","100700320","1007003","0","1","2.842","0","0","0","0","0"
"2","21","100700321","1007003","vo_svd_0304","0","0","0","0","0","vo_svd","0"
"1","22","100700322","1007003","0","0","0","336","7","0","0","2.067"
"4","23","100700323","1007003","0","1","1.844","0","0","0","0","0"
"1","24","100700324","1007003","0","0","0","364","8","0","0","2.068"
"4","25","100700325","1007003","0","1","2.5","0","0","0","0","0"
"4","1","100700401","1007004","0","1","0.8","0","0","0","0","0"
"2","2","100700402","1007004","vo_svd_0401","0","0","0","0","0","vo_svd","0"
"1","3","100700403","1007004","0","0","0","180","1","0","0","1.105"
"4","4","100700404","1007004","0","1","1.504","0","0","0","0","0"
"1","5","100700405","1007004","0","0","0","313","1","180","0","0.62"
"4","6","100700406","1007004","0","1","0.554","0","0","0","0","0"
"1","7","100700407","1007004","0","0","0","122","2","0","0","0.728"
"4","8","100700408","1007004","0","1","2.154","0","0","0","0","0"
"2","9","100700409","1007004","vo_svd_0402","0","0","0","0","0","vo_svd","0"
"1","10","100700410","1007004","0","0","0","334","2","122","0","1.051"
"4","11","100700411","1007004","0","1","0.915","0","0","0","0","0"
"1","12","100700412","1007004","0","0","0","91","3","0","0","0.927"
"4","13","100700413","1007004","0","1","1.701","0","0","0","0","0"
"1","14","100700414","1007004","0","0","0","360","3","91","0","0.905"
"4","15","100700415","1007004","0","1","0.816","0","0","0","0","0"
"1","16","100700416","1007004","0","0","0","329","4","0","0","1.249"
"4","17","100700417","1007004","0","1","1.252","0","0","0","0","0"
"1","18","100700418","1007004","0","0","0","268","5","0","0","0.987"
"4","19","100700419","1007004","0","1","2.864","0","0","0","0","0"
"2","20","100700420","1007004","vo_svd_0403","0","0","0","0","0","vo_svd","0"
"1","21","100700421","1007004","0","0","0","336","6","0","0","2.056"
"4","22","100700422","1007004","0","1","1.844","0","0","0","0","0"
"1","23","100700423","1007004","0","0","0","364","7","0","0","1.963"
"4","24","100700424","1007004","0","1","2.5","0","0","0","0","0"
"4","1","100700501","1007005","0","1","0.8","0","0","0","0","0"
"2","2","100700502","1007005","vo_svd_0501","0","0","0","0","0","vo_svd","0"
"1","3","100700503","1007005","0","0","0","329","1","0","0","1.741"
"4","4","100700504","1007005","0","1","2.972","0","0","0","0","0"
"2","5","100700505","1007005","vo_svd_0502","0","0","0","0","0","vo_svd","0"
"1","6","100700506","1007005","0","0","0","320","2","0","0","1.539"
"4","7","100700507","1007005","0","1","1.258","0","0","0","0","0"
"1","8","100700508","1007005","0","0","0","320","2","320","0","0.762"
"4","9","100700509","1007005","0","1","2.583","0","0","0","0","0"
"2","10","100700510","1007005","vo_svd_0503","0","0","0","0","0","vo_svd","0"
"1","11","100700511","1007005","0","0","0","336","3","0","0","1.131"
"4","12","100700512","1007005","0","1","1.924","0","0","0","0","0"
"1","13","100700513","1007005","0","0","0","336","4","0","0","1.131"
"4","14","100700514","1007005","0","1","1.924","0","0","0","0","0"
"1","15","100700515","1007005","0","0","0","329","5","0","0","1.868"
"4","16","100700516","1007005","0","1","3.266","0","0","0","0","0"
"2","17","100700517","1007005","vo_svd_0504","0","0","0","0","0","vo_svd","0"
"1","18","100700518","1007005","0","0","0","275","6","0","0","1.269"
"4","19","100700519","1007005","0","1","2.653","0","0","0","0","0"
"2","20","100700520","1007005","vo_svd_0505","0","0","0","0","0","vo_svd","0"
"1","21","100700521","1007005","0","0","0","336","7","0","0","2.056"
"4","22","100700522","1007005","0","1","1.844","0","0","0","0","0"
"1","23","100700523","1007005","0","0","0","364","8","0","0","1.965"
"4","24","100700524","1007005","0","1","2.5","0","0","0","0","0"
"4","1","100700601","1007006","0","1","0.8","0","0","0","0","0"
"2","2","100700602","1007006","vo_svd_0601","0","0","0","0","0","vo_svd","0"
"1","3","100700603","1007006","0","0","0","336","1","0","0","1.875"
"4","4","100700604","1007006","0","1","3.353","0","0","0","0","0"
"2","5","100700605","1007006","vo_svd_0602","0","0","0","0","0","vo_svd","0"
"1","6","100700606","1007006","0","0","0","336","2","0","0","1.734"
"4","7","100700607","1007006","0","1","1.665","0","0","0","0","0"
"1","8","100700608","1007006","0","0","0","201","3","0","0","1.035"
"4","9","100700609","1007006","0","1","1.893","0","0","0","0","0"
"1","10","100700610","1007006","0","0","0","354","3","201","0","0.821"
"4","11","100700611","1007006","0","1","0.664","0","0","0","0","0"
"1","12","100700612","1007006","0","0","0","367","4","0","0","1.361"
"4","13","100700613","1007006","0","1","1.108","0","0","0","0","0"
"1","14","100700614","1007006","0","0","0","259","5","0","0","1.269"
"4","15","100700615","1007006","0","1","3.112","0","0","0","0","0"
"2","16","100700616","1007006","vo_svd_0603","0","0","0","0","0","vo_svd","0"
"1","17","100700617","1007006","0","0","0","336","6","0","0","2.056"
"4","18","100700618","1007006","0","1","1.844","0","0","0","0","0"
"1","19","100700619","1007006","0","0","0","364","7","0","0","1.965"
"4","20","100700620","1007006","0","1","2.5","0","0","0","0","0"
"4","1","100700701","1007007","0","1","0.8","0","0","0","0","0"
"2","2","100700702","1007007","vo_svd_0701","0","0","0","0","0","vo_svd","0"
"1","3","100700703","1007007","0","0","0","147","1","0","0","0.926"
"4","4","100700704","1007007","0","1","1.549","0","0","0","0","0"
"1","5","100700705","1007007","0","0","0","345","1","147","0","1.457"
"4","6","100700706","1007007","0","1","1.228","0","0","0","0","0"
"1","7","100700707","1007007","0","0","0","0","2","0","0","0.762"
"4","8","100700708","1007007","0","1","2.221","0","0","0","0","0"
"2","9","100700709","1007007","vo_svd_0702","0","0","0","0","0","vo_svd","0"
"1","10","100700710","1007007","0","0","0","120","2","0","0","0.969"
"4","11","100700711","1007007","0","1","0.747","0","0","0","0","0"
"1","12","100700712","1007007","0","0","0","336","2","120","0","1.785"
"4","13","100700713","1007007","0","1","1.932","0","0","0","0","0"
"1","14","100700714","1007007","0","0","0","35","3","0","0","0.385"
"4","15","100700715","1007007","0","1","0.5","0","0","0","0","0"
"1","16","100700716","1007007","0","0","0","336","3","35","0","1.436"
"4","17","100700717","1007007","0","1","2.164","0","0","0","0","0"
"1","18","100700718","1007007","0","0","0","356","4","0","0","1.928"
"4","19","100700719","1007007","0","1","1.673","0","0","0","0","0"
"1","20","100700720","1007007","0","0","0","259","5","0","0","1.269"
"4","21","100700721","1007007","0","1","3.156","0","0","0","0","0"
"2","22","100700722","1007007","vo_svd_0703","0","0","0","0","0","vo_svd","0"
"1","23","100700723","1007007","0","0","0","336","6","0","0","2.077"
"4","24","100700724","1007007","0","1","1.841","0","0","0","0","0"
"1","25","100700725","1007007","0","0","0","364","7","0","0","1.965"
"4","26","100700726","1007007","0","0","2.5","0","0","0","0","0"
"4","1","100700801","1007008","0","1","0.8","0","0","0","0","0"
"2","2","100700802","1007008","vo_svd_0801","0","0","0","0","0","vo_svd","0"
"1","3","100700803","1007008","0","0","0","356","1","0","0","2.027"
"4","4","100700804","1007008","0","1","3.309","0","0","0","0","0"
"2","5","100700805","1007008","vo_svd_0802","0","0","0","0","0","vo_svd","0"
"1","6","100700806","1007008","0","0","0","336","2","0","0","1.879"
"4","7","100700807","1007008","0","1","3.041","0","0","0","0","0"
"2","8","100700808","1007008","vo_svd_0803","0","0","0","0","0","vo_svd","0"
"1","9","100700809","1007008","0","0","0","336","3","0","0","1.848"
"4","10","100700810","1007008","0","1","1.437","0","0","0","0","0"
"1","11","100700811","1007008","0","0","0","168","4","0","0","0.796"
"4","12","100700812","1007008","","1","2.532","0","0","0","","0"
"2","13","100700813","1007008","vo_svd_0804","0","0","0","0","0","vo_svd","0"
"1","14","100700814","1007008","0","0","0","299","5","0","0","1.002"
"4","15","100700815","1007008","0","1","2.164","0","0","0","0","0"
"1","16","100700816","1007008","0","0","0","115","6","0","0","1.574"
"4","17","100700817","1007008","0","1","2.164","0","0","0","0","0"
"1","18","100700818","1007008","0","0","0","280","6","115","0","1.269"
"4","19","100700819","1007008","0","1","2.5","0","0","0","0","0"
"4","1","100700901","1007009","0","1","0.8","0","0","0","0","0"
"2","2","100700902","1007009","vo_svd_0901","0","0","0","0","0","vo_svd","0"
"1","3","100700903","1007009","0","0","0","356","1","0","0","2.285"
"4","4","100700904","1007009","0","1","2.031","0","0","0","0","0"
"1","5","100700905","1007009","0","0","0","215","2","0","0","1.362"
"4","6","100700906","1007009","0","1","2.479","0","0","0","0","0"
"2","7","100700907","1007009","vo_svd_0902","0","0","0","0","0","vo_svd","0"
"1","8","100700908","1007009","0","0","0","356","3","0","0","2.004"
"4","9","100700909","1007009","0","1","1.804","0","0","0","0","0"
"1","10","100700910","1007009","0","0","0","185","4","0","0","2.026"
"4","11","100700911","1007009","0","1","2.473","0","0","0","0","0"
"1","12","100700912","1007009","0","0","0","338","4","185","0","0.518"
"4","13","100700913","1007009","0","1","0.556","0","0","0","0","0"
"1","14","100700914","1007009","0","0","0","336","5","0","0","2.021"
"4","15","100700915","1007009","0","1","1.713","0","0","0","0","0"
"1","16","100700916","1007009","0","0","0","250","6","0","0","1.513"
"4","17","100700917","1007009","0","1","1.981","0","0","0","0","0"
"2","18","100700918","1007009","vo_svd_0903","0","0","0","0","0","vo_svd","0"
