d79727cdf6a350d4c70d0d7aec2678bb9960e0cf7aa27e6aa51647001dd893ea,f9e5f48a97a7dc94b6c3f23267f2f49b04d0dd241cc55db262fa9c45739fe56a,90ed96559fdd5cd7afa024d6234174bfe9ab33aed44c72c8e6310bd7267fb711,aae86cf7bf6178fbe370646840d571e9c3b278e7b2d20f6eaaff2bb54a2190c0,afd388fdf2489d088336ea0f0b32bea4b3148ee99c4f8f108f589f8e2c7d1a87,93311ec5dfb31e9947c84765dd9b0f01fa4410431e45c0586f02ded1f51c8301,0f67de0d9dfac08a0e24f83329f70703c2097a234a1d3cc46f0dec2e9dfc012a,0b713e3a27f0e18d6d0db2f53d69c7a575c61317cb311d7af4bb2c7db62662b5,8c6c03731f69d8b99d03e50027defda37b2d74a45f155d877e5bc267a92cbc55,3d4ce48da7f2c8dc72baff5aebafe7fe10e9cf8a505d4c14eaad997127d203c4,fc7fc6923ab3a3239b16087e74b3a82a357e24a672793e5d81bfe79dbb0efacd
"1","167","100","-224","1","1001","1.65","1","1","129811","drama_idle"
"1","-49","100","-224","1","1002","1.65","1","0","129911","drama_idle"
"129811","","1","","1","1003","0.2","3","","drama_idle",""
"129911","drama_talk_arm_crossed_loop","0","1","1","1004","0.2","3","0","drama_talk_arm_crossed_in",""
"vo_minigame_1013","0","0","","1","1005","","21","","vo_minigame_1013_top_talk_1_000",""
"129911","1","5","0","1","1006","0","11","0","既然魔物會\n源源不絕地湧出，\n戰鬥就不缺對手。\n不如說正好當作訓練。","0"
"0","","","","1","1007","","91","","",""
"129911","","1","","1","1008","0.2","3","","drama_idle_arm_crossed",""
"129811","drama_talk_doya_loop_smile","0","1","1","1009","0.2","3","0","drama_talk_doya_in_smile",""
"vo_minigame_1013","0","0","","1","1010","","21","","vo_minigame_1013_top_talk_1_001",""
"129811","1","5","0","1","1011","0","11","0","哈哈……\n被這樣對待，\n就算是魔物我也覺得\n有點同情它們了啊～","0.3"
"0","","","","1","1012","","91","","",""
"129811","","1","","1","1013","0.2","3","","drama_idle_arm_crossed",""
"129911","drama_talk_smile_loop","0","1","1","1014","0.2","3","0","drama_talk_smile_in",""
"vo_minigame_1013","0","0","","1","1015","","21","","vo_minigame_1013_top_talk_1_002",""
"129911","1","4","0","1","1016","0","11","0","如果能有助於訓練，\n它們也會感到光榮吧。\n嘻嘻……我好像聽見\n喜悅的叫聲了。","0.5"
"0","","","","1","1017","","91","","",""
"129911","","1","","1","1018","0.2","3","","drama_idle",""
