dd225e208eec5329698aa8f3f4f9ea59337e5b1cb824f9de16e98222f4360c7a,f9318ce7880a2e4cdff5e078a0cbf152aa4c8c13262151f6bff4993202e21cb4,b5b5f6b4601d4c567c9aa2e7cf8bc0497bf0abef7ff1e502a16f2722df96ed1d,aa88570c9f3e03b2a33e40a048acccbb7e27acab5fbc3865ca1026a4e79357dd,fe4066ac979e4ea6e92b16e58c0c3cd156e99f0c3f58f7a0966d112f6d17123e,5977c694cd36f05e8f07279ba693018e153d42748a4f4ea16fc85f68f49e5d62,cd052ea4c2a5277eb3235c2394ec98edcbeefe8ae7b17a3b3d529b293284a775,623695e1cf319c2f536d05e8e66633b512136f164ea8dc2c16beaef9ac358553,24db54b60da07ff1cd283629e973464eb0ccc83b21311ea3f3ff38c003a1ac6d,2ee9114c5c197043806172f96580d6fc74d6e0990e8d48619a15260253c89da2
"1","出現必有折扣的商店，最大折扣50%（1樣商品免費）","","1","萊拉耶爾","10001","1001","0","","126501"
"2","取得最大1000里程","","2","莫妮卡","10001","1002","0","","105301"
"1","取得{0}個料理","","3","克蘿茜","1","1003","0","","126401"
"3","重新擲{0}次骰子","重新擲{0}次骰子\n（還剩{1}次）","4","茉莉","1","1004","0","重新擲{0}次骰子，\n若無法重擲，則獲得里程","100501"
"2","重新擲{0}次骰子","重新擲{0}次骰子\n（還剩{1}次）","4","七七香","2","1005","0","重新擲{0}次骰子，\n若無法重擲，則獲得里程","101301"
"2","同時投擲數字為{0}的骰子\n並可在骰子之間做選擇","同時投擲數字為{0}的骰子\n並可在骰子之間做選擇","5","真琴","4","1006","0","","104301"
"3","同時投擲數字為{0}的骰子\n並可在骰子之間做選擇","同時投擲數字為{0}的骰子\n並可在骰子之間做選擇","5","惠理子","3","1007","0","","102701"
"1","追加投擲骰子\n直到數字合計為{0}以上","追加投擲骰子\n直到數字合計為{0}以上","6","杏奈","7","1008","0","","100901"
"1","出現必有折扣的商店，最大折扣50%（1樣商品免費）","","1","深月","10001","1009","0","","105101"
"2","取得最大1000里程","","2","伊緒","10001","1010","0","","101801"
"2","可以選擇使用骰子的\n正面或背面","可以選擇使用骰子的\n正面或背面","8","涅妃‧涅羅","0","1011","0","","129701"
"3","重新擲{0}次骰子","重新擲{0}次骰子\n（還剩{1}次）","4","鈴奈","1","1012","0","重新擲{0}次骰子，\n若無法重擲，則獲得里程","101601"
"2","重新擲{0}次骰子","重新擲{0}次骰子\n（還剩{1}次）","4","流夏","2","1013","0","重新擲{0}次骰子，\n若無法重擲，則獲得里程","105601"
"3","同時投擲數字為{0}的骰子\n並可在骰子之間做選擇","同時投擲數字為{0}的骰子\n並可在骰子之間做選擇","5","美美","3","1014","0","","102001"
"1","追加投擲骰子\n直到數字合計為{0}以上","追加投擲骰子\n直到數字合計為{0}以上","6","安涅默涅","7","1015","0","","129601"
"2","骰子擲出{0}時，\n可以讓對手休息{1}個回合","骰子擲出{0}時，可以讓對手休息{1}個回合","10","禊","1","1016","1","","100401"
"3","骰子擲出{0}時，\n前進+{1}","骰子擲出{0}時，\n前進+{1}","13","琳德","2","1017","1","","127701"
"2","骰子擲出{0}時，\n可以讓對手休息{1}個回合","骰子擲出{0}時，\n可以讓對手休息{1}個回合","10","烏爾姆","1","1018","1","","127801"
"1","出現必有折扣的商店，最大折扣50%（1樣商品免費）","","1","美冬","10001","1019","0","","104801"
"2","重新擲{0}次骰子","重新擲{0}次骰子\n（還剩{1}次）","4","純","2","1020","0","重新擲{0}次骰子，\n若無法重擲，則獲得里程","104701"
"1","追加投擲骰子\n直到數字合計為{0}以上","追加投擲骰子\n直到數字合計為{0}以上","6","美咲","7","1021","0","","105001"
"1","取得最大2000里程","","2","秋乃","10002","1022","0","","103201"
"1","取得{0}張抽獎券","","12","庫露露","1","1023","0","","130901"
"1","取得{0}個料理","","3","鈴莓","1","1024","0","","102501"
"2","可以選擇使用骰子的\n正面或背面","可以選擇使用骰子的\n正面或背面","8","雪","0","1025","0","","100801"
"2","同時投擲數字為{0}的骰子\n並可在骰子之間做選擇","同時投擲數字為{0}的骰子\n並可在骰子之間做選擇","5","涅婭","4","1026","0","","123301"
"1","出現必有折扣的商店，最大折扣50%（1樣商品免費）","","1","珠希","10001","1027","0","","104601"
"2","重新擲{0}次骰子","重新擲{0}次骰子\n（還剩{1}次）","4","蘭法","2","1028","0","重新擲{0}次骰子，\n若無法重擲，則獲得里程","118101"
"1","追加投擲骰子\n直到數字合計為{0}以上","追加投擲骰子\n直到數字合計為{0}以上","6","優花梨","7","1029","0","","103401"
"1","取得最大2000里程","","2","克蕾琪塔","10002","1030","0","","118001"
"1","取得{0}張抽獎券","","12","咲戀","1","1031","0","","102801"
"1","取得{0}個料理","","3","優衣","1","1032","0","","100201"
