1282c6e2f330bdcd7c1c2af3e63466c5a3a479d5de7d41a7672ef08400edcd97,905ee7a36cc0c37a7adf0e9f6a5a0a57c4a012026edbf7bb05c3e040f79cebb3,eb9f3468f6a641c4a36b2302bbeb5587291060c22ff328accce1bdea80ef0da0,5bf4dcb1722cd4d94ceddcab22bddcb5bcb50fde673442d61d39c8de3769e7b3,00979bcb855672c2be64e19b8d2780af5c68cb1dc6bbf47b4f6b5e5a468f81d9,f65648f2fe3c9af1d8d163b382c27de4a470329ef80d7cba243f320fe2779320,86ebf34814fe317f042ad1880ee6486a73fde346f72c3ef0d4bfa4dff915d75d,407d87edd6598adb38755d16b8d6580448ccd9e3ab05557355ee162c35b03457,5d671a82de6daba846f56972dfbd09a64d5ac51975eab39031aa74d22db7332d,4a2aa6be7ae54b29527d333352ec6eb2232bc66227013178594427d208b6f89d,a6fda022d8bb0f849759802dfb44975fb36e8583792b19b3ba3d9a4c2309248c,088df9fe67f98eacf95af46dcc4fcaa6f971c90121b0ea7f74df0cee5187ff40
"92407110","1","0","90","924071100","92407120","500000000","924073101","924072101","1","1","92407"
"92407120","2","92407110","90","924071200","92407130","1000000000","924073102","924072102","1","2","92407"
"92407130","3","92407120","90","924071300","92407140","1500000000","924073103","924072103","1","3","92407"
"92407140","4","92407130","90","924071400","0","0","924073104","924072104","1","3","92407"
"92407210","1","0","90","924072100","92407220","500000000","924073201","924072201","1","1","92407"
"92407220","2","92407210","90","924072200","92407230","1000000000","924073202","924072202","1","2","92407"
"92407230","3","92407220","90","924072300","92407240","1500000000","924073203","924072203","1","3","92407"
"92407240","4","92407230","90","924072400","0","0","924073204","924072204","1","3","92407"
"92407310","1","0","90","924073100","92407320","500000000","924073301","924072301","1","1","92407"
"92407320","2","92407310","90","924073200","92407330","1000000000","924073302","924072302","1","2","92407"
"92407330","3","92407320","90","924073300","92407340","1500000000","924073303","924072303","1","3","92407"
"92407340","4","92407330","90","924073400","0","0","924073304","924072304","1","3","92407"
"92408110","1","0","90","924081100","92408120","500000000","924083101","924082101","1","1","92408"
"92408120","2","92408110","90","924081200","92408130","1000000000","924083102","924082102","1","2","92408"
"92408130","3","92408120","90","924081300","92408140","1500000000","924083103","924082103","1","3","92408"
"92408140","4","92408130","90","924081400","0","0","924083104","924082104","1","3","92408"
"92408210","1","0","90","924082100","92408220","500000000","924083201","924082201","1","1","92408"
"92408220","2","92408210","90","924082200","92408230","1000000000","924083202","924082202","1","2","92408"
"92408230","3","92408220","90","924082300","92408240","1500000000","924083203","924082203","1","3","92408"
"92408240","4","92408230","90","924082400","0","0","924083204","924082204","1","3","92408"
"92408310","1","0","90","924083100","92408320","500000000","924083301","924082301","1","1","92408"
"92408320","2","92408310","90","924083200","92408330","1000000000","924083302","924082302","1","2","92408"
"92408330","3","92408320","90","924083300","92408340","1500000000","924083303","924082303","1","3","92408"
"92408340","4","92408330","90","924083400","0","0","924083304","924082304","1","3","92408"
"92409110","1","0","90","924091100","92409120","500000000","924093101","924092101","1","1","92409"
"92409120","2","92409110","90","924091200","92409130","1000000000","924093102","924092102","1","2","92409"
"92409130","3","92409120","90","924091300","92409140","1500000000","924093103","924092103","1","3","92409"
"92409140","4","92409130","90","924091400","0","0","924093104","924092104","1","4","92409"
"92409210","1","0","90","924092100","92409220","500000000","924093201","924092201","1","1","92409"
"92409220","2","92409210","90","924092200","92409230","1000000000","924093202","924092202","1","2","92409"
"92409230","3","92409220","90","924092300","92409240","1500000000","924093203","924092203","1","3","92409"
"92409240","4","92409230","90","924092400","0","0","924093204","924092204","1","4","92409"
"92409310","1","0","90","924093100","92409320","500000000","924093301","924092301","1","1","92409"
"92409320","2","92409310","90","924093200","92409330","1000000000","924093302","924092302","1","2","92409"
"92409330","3","92409320","90","924093300","92409340","1500000000","924093303","924092303","1","3","92409"
"92409340","4","92409330","90","924093400","0","0","924093304","924092304","1","4","92409"
"92410110","1","0","90","924101100","92410120","500000000","924103101","924102101","1","1","92410"
"92410120","2","92410110","90","924101200","92410130","1000000000","924103102","924102102","1","2","92410"
"92410130","3","92410120","90","924101300","92410140","1500000000","924103103","924102103","1","3","92410"
