24fcf52afe7e1b32b3b5b020ae66e9fb0fa3a6007f6c46990397102863a6f3b2,b4b48e31323b6ed09c9f07e9152cbb02cb6e092a6fda57d03e275c4d3901a4e0,9b3fd2d2f8fda4e249aa3b54e64ca847a1dd89921dc1a6a6966b87ec66fa65ea,b2122aca528e2b547314ae4e798996cb70c99e4def3094b1926b841e8d15b9fa,3d7466881bf901d0f95a149f1e7563cd1873b3fbe83025bcac033dfb913106ca,39c731f6b9abc3368ebb9eb731b3c9966811726e3b00296520d496561b562d24,95ec0299803d625dd31a6315533528e2f3984cf8fc26a541a8d036dcdc3d74dd,94ca7eb62fba4f89307d11333efd15d106c5d45b591b4a00502cc50de34aade0,3d751dd1ec1b851d0b47aa9a30039d1221c8690c9d4de86e1fa1b3dcd10bc930,b6100e1bf7187229cf458e76e05debdb7d162afd26119723df21a84ec681a055,5e2781c70181a6523ac73709e732c032b767d2f8426ea51e319c9640f619765a,be2f3a20bc34a785f596a3e683e2f98498159fa72d09bd38b7dfb049414012c8,9af47ccf134db5078a14794cf87f3bae08ccb24368a6b866487b01d918782b20,5d8d51181a6b049c4bf66233b5ec06b94316dd5bb7c73b234b4cdea8718338b1,c2991633ec2304fd7221cde4b2b17ec584328fcfe79ae92ca13747e1cf8bcaf7,08fb1fc17107376895cb3dcf12978f86a01596704e227df5d418bd9e971cece4,af039ca8866bcefaef82222f8feb4d81c497a7e2b699068586540520efb1b172,300e8be7e2845e49fe0462090e54ed5d42a2520a2bfaa0c0309702b361b89dec,56ca91bdb98bab4345ff65c1291b8d511e9a8101f43e5dd38589dcdf3ffa7281
"0","0","94002","0","5000","1","0","0","0","12","2","0","0","0","10000","0","幫忙靜流時獲得 10000pt","0","0"
"0","0","94002","0","10000","2","0","0","0","12","2","0","0","0","20000","0","幫忙靜流時獲得 20000pt","0","0"
"0","0","91002","0","50","3","0","0","0","8","2","5","0","23001","30000","0","幫忙靜流時獲得 30000pt","0","2"
"0","0","94002","0","5000","4","0","0","0","12","1","0","0","0","10000","0","幫忙惠理子時獲得 10000pt","0","0"
"0","0","94002","0","10000","5","0","0","0","12","1","0","0","0","20000","0","幫忙惠理子時獲得 20000pt","0","0"
"0","0","91002","0","50","6","0","0","0","8","1","5","0","23001","30000","0","幫忙惠理子時獲得 30000pt","0","2"
"0","0","94002","0","15000","7","0","0","0","12","0","0","0","0","70000","0","幫忙兩人合計獲得 70000pt","0","0"
"0","0","94002","0","20000","8","0","0","0","12","0","0","0","0","80000","0","幫忙兩人合計獲得 80000pt","0","0"
"0","0","94002","0","25000","9","0","0","0","12","0","0","0","0","90000","0","幫忙兩人合計獲得 90000pt","0","0"
"0","0","94002","0","30000","10","0","0","0","12","0","0","0","0","100000","0","幫忙兩人合計獲得 100000pt","0","0"
"0","0","94002","0","35000","11","0","0","0","12","0","0","0","0","110000","0","幫忙兩人合計獲得 110000pt","0","0"
"0","0","94002","0","40000","12","0","0","0","12","0","0","0","0","120000","0","幫忙兩人合計獲得 120000pt","0","0"
"0","0","94002","0","45000","13","0","0","0","12","0","0","0","0","130000","0","幫忙兩人合計獲得 130000pt","0","0"
"0","0","94002","0","50000","14","0","0","0","12","0","0","0","0","150000","0","幫忙兩人合計獲得 150000pt","0","0"
"2","0","1113","0","1","15","0","0","0","7","0","150","23001","91002","200000","10","幫忙兩人合計獲得 200000pt","0","8"
