477e6323bfa0450332acfea084924a86f67e0b526bfeef42db75df6bdd7f09bb,7843eedf757e1787f634458e5c7d32972cc4d076b60c5bc1af3c1cc417042b53,c4caa57dbeacf3d86fab5dd914a7a8e52bd2f7e81d0352c89ab19b85212abf4e,f8a10bdbad5da26fb8f9bb1ce69316dbe6d2f3282f7d532a9b69e4a2b2b2a961,7799dd23de9c4b7912862dd90adeb298139b358c11ad80ab6d3100905c4c2e5c
"93001","97501","800","6","97501001"
"94002","97501","3000000","12","97501002"
"90005","97501","60","2","97501003"
"25001","97501","15","2","97501004"
"140001","97501","20","4","97501005"
"23001","97501","300","2","97501006"
"20004","97501","80","2","97501007"
"105011","97502","1","4","97502001"
"105161","97502","1","4","97502002"
"105221","97502","1","4","97502003"
"105071","97502","1","4","97502004"
"105041","97502","1","4","97502005"
"105131","97502","1","4","97502006"
"105191","97502","1","4","97502007"
"105101","97502","1","4","97502008"
"105251","97502","1","4","97502009"
"105581","97502","1","4","97502010"
"105551","97502","1","4","97502011"
"105611","97502","1","4","97502012"
"105311","97502","1","4","97502013"
"105341","97502","1","4","97502014"
"105281","97502","1","4","97502015"
"105371","97502","1","4","97502016"
"105401","97502","1","4","97502017"
"105521","97502","1","4","97502018"
"105012","97502","1","4","97502019"
"105222","97502","1","4","97502020"
"105042","97502","1","4","97502021"
"105102","97502","1","4","97502022"
"105072","97502","1","4","97502023"
"105162","97502","1","4","97502024"
"105192","97502","1","4","97502025"
"105132","97502","1","4","97502026"
"105252","97502","1","4","97502027"
"105552","97502","1","4","97502028"
"105612","97502","1","4","97502029"
"105582","97502","1","4","97502030"
"105522","97502","1","4","97502031"
"105431","97502","1","4","97502032"
"105282","97502","1","4","97502033"
"105372","97502","1","4","97502034"
"105342","97502","1","4","97502035"
"105312","97502","1","4","97502036"
"105043","97502","1","4","97502037"
"105073","97502","1","4","97502038"
"105133","97502","1","4","97502039"
"105013","97502","1","4","97502040"
"105223","97502","1","4","97502041"
"105193","97502","1","4","97502042"
"105103","97502","1","4","97502043"
"105253","97502","1","4","97502044"
"105163","97502","1","4","97502045"
"105553","97502","1","4","97502046"
"105583","97502","1","4","97502047"
"105613","97502","1","4","97502048"
"105283","97502","1","4","97502049"
"105491","97502","1","4","97502050"
