3c55b6d51af1ae74a5501b6615b965a067ac4d549ea2bf9261487ad50a590026,d3d4359749fb2ae1db6cd997b53d4d9f63736d7ec7b64ff5f9eb1d199756c0af,60baac0340dd9d7cd5c61d3439e0c3527dfef0ae1dbeb5090c4ab5ede0cd16ea,b86e28c17f08eb4d767d563840e77148e0af4b3155d567e4e7eda1d3d81e0e6f,48af7528f8f3f92f72526c8b8814bdcf5b57f33f7a95c739e1d95e75b133f261,d505d528869d350c88b7f25dbd764daf987b46907374f7adb15a2fd6b4958c79,1d7385c2ed29706942d30032ff0af3b46cd9aa375f87538d1d0ba1afb85a6372,5700b4652782b1295354134dcc6b568506e236214fe13270db1b78a569f4d68e,202e36875865df201031cdade6061514722579773698dbfab0dd3968f44c1f42,5b947d844cd29360f73489c6f205c97e3a1751c7e6d8d073478118900356b862,bedeec15aa3c93cb8f9af0a1ee84957e5ecad45c8afbc700d23e0d86efc97acb
"1","72","-194","118511","100","1","1.65","1","1001","taq_karin_idle","1"
"","0","","vo_minigame_1009_top_001","0","21","","vo_minigame_1009","1002","","1"
"0","0","0","有準備獎品喔，\n請好好加油吧♪\n","8","11","0","118511","1003","0","1"
"","","","taq_karin_talk_normal","1","3","0.2","118511","1004","","1"
"","","","","","91","","1003","1005","","1"
"","","","taq_karin_idle","1","3","0.2","118511","1006","","1"
"1","72","-194","118511","100","1","1.65","1","2001","taq_karin_idle","2"
"","0","","vo_minigame_1009_top_002","0","21","","vo_minigame_1009","2002","","2"
"0","0","0","這會考驗\n大家的知職喔。","8","11","0","118511","2003","0","2"
"","","","taq_karin_talk_thinking","1","3","0.2","118511","2004","","2"
"","","","","","91","","2003","2005","","2"
"","","","taq_karin_idle","1","3","0.2","118511","2006","","2"
"1","72","-194","118511","100","1","1.65","1","3001","taq_karin_idle","3"
"","0","","vo_minigame_1009_top_003","0","21","","vo_minigame_1009","3002","","3"
"0","0","0","這世上還有很多\n我們不知道的事。\n","8","11","0","118511","3003","0","3"
"","","","taq_karin_talk_surprise","1","3","0.2","118511","3004","","3"
"","","","","","91","","3003","3005","","3"
"","","","taq_karin_idle","1","3","0.2","118511","3006","","3"
"1","72","-194","118511","100","1","1.65","1","4001","taq_karin_idle","4"
"","0","","vo_minigame_1009_top_004","0","21","","vo_minigame_1009","4002","","4"
"0","0","0","不曉得答案時\n可以試著憑直覺。\n","8","11","0","118511","4003","0","4"
"","","","taq_karin_talk_normal2","1","3","0.2","118511","4004","","4"
"","","","","","91","","4003","4005","","4"
"","","","taq_karin_idle","1","3","0.2","118511","4006","","4"
"1","72","-194","118511","100","1","1.65","1","5001","taq_karin_idle","5"
"","0","","vo_minigame_1009_top_005","0","21","","vo_minigame_1009","5002","","5"
"0","0","0","大家齊心協力\n朝向全題答對\n努力吧♪","7","11","0","118511","5003","0","5"
"","","","taq_karin_talk_joy3","1","3","0.2","118511","5004","","5"
"","","","","","91","","5003","5005","","5"
"","","","taq_karin_idle","1","3","0.2","118511","5006","","5"
