2908cd22b054dd163b7e440a42378cdfc94362d501b190db3f677ad45eb3f661,7d41dc6611e47dca88d8cc3ceea0585eb7b01992d2919d10953b3d50a95dacba,ff6ed6ad94d3ca13d623dca23a31b758693fd4b5570894827b4bf726600ea9f8,ae5ecb7472c70203c87d9aee586247182812eedbe39bad5b6d5e59e6f909c796,f6c26d31ca5afbdefc057577e15a8c145a55acbf897d9e3a18b7d92cd8d307a9,211d39ebc79ee63906487cf890eedeb4ca441739cbec6819b0144c9af700df61,012602ef585d28a818599bea90dc2f3deb1f421e7ec49b2efb448a685d7e68b1,216e025b189f65f0fce2e880b3844dfe713f9d324197868d4ddd428865fbc335,cf553b2927363a0bbe15e6365a948a96d897c9c8d9d95784974842bc511492e8
"","21600","","2","2","1","1","1","23001"
"","19800","","2","3","1","1","2","23001"
"","18000","","2","3","1","1","3","23001"
"","16200","","2","3","1","1","4","23001"
"","14400","","2","4","1","1","5","23001"
"","12960","","2","4","1","1","6","23001"
"","11520","","2","5","1","1","7","23001"
"","10080","","2","6","1","1","8","23001"
"","8640","","2","7","1","1","9","23001"
"","7200","","2","8","1","1","10","23001"
"","5760","","2","10","1","1","11","23001"
"","5040","","2","12","1","1","12","23001"
"","4320","","2","14","1","1","13","23001"
"","7200","","2","16","1","2","14","23001"
"","5400","","2","18","1","2","15","23001"
"","5040","","2","18","1","2","16","23001"
"","4800","","2","18","1","2","17","23001"
"","4500","","2","20","1","2","18","23001"
"","4320","","2","20","1","2","19","23001"
"","6000","","2","24","1","3","20","23001"
"","5700","","2","48","1","3","21","23001"
"","5400","","2","48","1","3","22","23001"
"","5220","","2","51","1","3","23","23001"
"","4980","","2","54","1","3","24","23001"
"","4800","","2","54","1","3","25","23001"
"","4500","","2","60","1","3","26","23001"
"","4320","","2","60","1","3","27","23001"
"","4200","","2","63","1","3","28","23001"
"","5400","","2","64","1","4","29","23001"
"","5220","","2","68","1","4","30","23001"
"","5040","","2","72","1","4","31","23001"
"","4920","","2","72","1","4","32","23001"
"","4800","","2","72","1","4","33","23001"
"","21600","","6","80","2","20","1","93001"
"","21600","","6","96","2","24","2","93001"
"","21600","","6","112","2","28","3","93001"
"","21600","","6","120","2","30","4","93001"
"","21600","","6","128","2","32","5","93001"
"","21600","","6","136","2","34","6","93001"
"","21600","","6","144","2","36","7","93001"
"","21600","","6","152","2","38","8","93001"
"","21600","","6","160","2","40","9","93001"
"","21600","","6","168","2","42","10","93001"
"","21600","","6","176","2","44","11","93001"
"","21600","","6","184","2","46","12","93001"
"","21600","","6","192","2","48","13","93001"
"","21600","","6","200","2","50","14","93001"
"","21600","","6","208","2","52","15","93001"
"","21600","","6","216","2","54","16","93001"
"","21600","","6","224","2","56","17","93001"
"","21600","","6","232","2","58","18","93001"
"","21600","","6","240","2","60","19","93001"
"","21600","","6","248","2","62","20","93001"
"","21600","","6","256","2","64","21","93001"
"","21600","","6","264","2","66","22","93001"
"","21600","","6","272","2","68","23","93001"
"","21600","","6","280","2","70","24","93001"
"","21600","","6","288","2","72","25","93001"
"","21600","","6","296","2","74","26","93001"
"","21600","","6","304","2","76","27","93001"
"","21600","","6","312","2","78","28","93001"
"","21600","","6","320","2","80","29","93001"
"","21600","","6","328","2","82","30","93001"
"","21600","","6","336","2","84","31","93001"
"","21600","","6","340","2","85","32","93001"
"","21600","","6","344","2","86","33","93001"
"","14400","","2","3","3","1","1","20001"
"","9600","","2","5","3","1","2","20001"
"","7200","","2","7","3","1","3","20001"
"","5400","","2","10","3","1","4","20001"
"","3600","","2","15","3","1","5","20001"
"","9600","","2","6","3","1","6","20002"
"","7200","","2","8","3","1","7","20002"
"","4800","","2","12","3","1","8","20002"
"","3600","","2","16","3","1","9","20002"
"","2700","","2","20","3","1","10","20002"
"","10800","","2","6","3","1","11","20003"
"","9000","","2","8","3","1","12","20003"
"","7200","","2","12","3","1","13","20003"
"","5400","","2","16","3","1","14","20003"
"","3600","","2","20","3","1","15","20003"
