be17ef11682e9911477d99fc7e130f994d36aee259f13b86d28769105d4e79d7,6b127410f07c269747b6fc6ef204aae08a5924b1747681e2054150224ed3ae88,3f0528ceb295b84fbf72d415a427d3eaa7319483fd72c96f1e0f67b69cf40721,6fd66e4002f49ee4d33b51fb388135255f96411d14b12901f8973badb7b5f3f2,e274ce938b75494ed4bf180085576780d13386b687e310029eb013b56c1dd2c0,4fb5d8a699687d7d588dc95a5b8cd72bc6af4aecc04ebe84ef648ac64e9b0826,05e10bb0eb03ba21d85523f3b9f4d7e55d5c7c05d497aa846b086df46d98c7e8,1fdee62d6fe38a189053e6844f96d55faa67e522014f8308634a11b7f0ca56cb,f364d7d6d6200430e256dd01d7c7be62b43335e8e0b5b3c7e69a04444db4f172,449d10b8e596430ad9e97e4ad837d3e8acd9459c984549e1afaa2c2e1c4e7de8,6c1131ddd4161b4b9662ba7f8d5726866571dc86e6fc109d81ac85e1ce943629,acde23cea0c517f044b3e890c767d3c857434ba9eaa8bde650144453b9338c96
"0","1","0","2","104","1","4","0","0","11041","101","0"
"1","2","0","3","14","2","2","0","0","10141","201","0"
"2","3","0","2","103","3","2","0","0","11031","301","0"
"3","4","0","1","102","4","1","0","0","11021","401","0"
"4","5","0","2","104","5","4","0","0","11041","501","0"
"5","6","0","3","1","6","1","0","0","10011","601","0"
"6","7","0","4","101","7","3","0","0","11011","701","0"
"7","8","0","3","100","8","1","0","0","11001","801","0"
"8","9","0","2","104","9","4","0","0","11041","901","0"
"9","10","0","3","1","10","2","0","0","10011","1001","0"
"10","11","0","4","51","11","1","0","0","10511","1101","0"
"11","12","0","3","52","12","2","0","0","10521","1201","0"
"12","13","0","2","104","13","4","0","0","11041","1301","0"
"13","14","0","1","103","14","1","0","0","11031","1401","0"
"14","15","0","2","102","15","1","0","0","11021","1501","0"
"15","16","0","3","1","16","1","0","0","10011","1601","0"
"16","17","0","2","104","17","4","0","0","11041","1701","0"
"17","18","0","3","50","18","2","0","0","10501","1801","0"
"18","19","0","4","101","19","3","0","0","11011","1901","0"
"19","20","0","3","100","20","2","0","0","11001","2001","0"
"20","21","0","2","104","21","4","0","0","11041","2101","0"
"21","22","0","1","1","22","3","0","0","10011","2201","0"
"22","23","0","3","100","23","2","0","0","11001","2301","0"
"23","24","0","2","101","24","2","0","0","11011","2401","0"
"24","25","0","3","104","25","4","0","0","11041","2501","0"
"25","26","0","4","50","26","3","0","0","10501","2601","0"
"26","27","0","3","52","27","3","0","0","10521","2701","0"
"27","28","0","1","50","28","1","0","0","10501","2801","0"
"28","29","0","2","104","29","4","0","0","11041","2901","0"
"29","30","0","1","51","30","3","0","0","10511","3001","0"
"30","31","0","2","100","31","2","0","0","11001","3101","0"
"31","32","0","3","101","32","1","0","0","11011","3201","0"
"32","33","0","4","104","33","4","0","0","11041","3301","0"
"33","34","0","3","100","34","3","0","0","11001","3401","0"
"34","35","0","2","104","35","4","0","0","11041","3501","0"
"35","36","0","3","103","36","2","0","0","11031","3601","0"
"36","37","0","2","102","37","1","0","0","11021","3701","0"
"37","38","0","1","50","38","2","0","0","10501","3801","0"
"38","39","0","3","102","39","3","0","0","11021","3901","0"
"39","40","0","4","104","40","4","0","0","11041","4001","0"
"40","41","0","3","100","41","1","0","0","11001","4101","0"
"41","42","0","2","52","42","3","0","0","10521","4201","0"
"42","43","0","1","104","43","4","0","0","11041","4301","0"
"43","44","0","2","103","44","1","0","0","11031","4401","0"
"44","45","0","1","104","45","4","0","0","11041","4501","0"
"45","46","0","3","101","46","3","0","0","11011","4601","0"
"46","47","0","4","102","47","1","0","0","11021","4701","0"
"47","48","0","2","104","48","4","0","0","11041","4801","0"
"48","49","0","3","103","49","2","0","0","11031","4901","0"
"49","50","0","2","104","50","4","0","0","11041","5001","0"
"50","51","0","1","101","51","2","0","0","11011","5101","0"
"51","52","0","2","102","52","3","0","0","11021","5201","0"
"52","53","0","3","104","53","4","0","0","11041","5301","0"
"53","54","0","4","52","54","1","0","0","10521","5401","0"
"54","55","0","3","103","55","3","0","0","11031","5501","0"
"55","56","0","4","104","56","4","0","0","11041","5601","0"
"56","57","0","2","100","57","1","0","0","11001","5701","0"
"57","58","0","3","101","58","3","0","0","11011","5801","0"
"58","59","0","4","103","59","2","0","0","11031","5901","0"
"59","60","0","3","104","60","4","0","0","11041","6001","0"
"60","61","0","1","102","61","1","0","0","11021","6101","0"
"61","62","0","2","50","62","3","0","0","10501","6201","0"
"62","63","0","1","104","63","4","0","0","11041","6301","0"
"63","64","0","2","103","64","2","0","0","11031","6401","0"
"64","65","0","3","102","65","1","0","0","11021","6501","0"
"65","66","0","2","104","66","4","0","0","11041","6601","0"
"66","67","0","3","52","67","1","0","0","10521","6701","0"
"67","68","0","2","102","68","2","0","0","11021","6801","0"
"68","69","0","4","104","69","4","0","0","11041","6901","0"
"69","70","0","3","103","70","2","0","0","11031","7001","0"
"70","71","0","2","101","71","3","0","0","11011","7101","0"
"71","72","0","3","100","72","2","0","0","11001","7201","0"
"72","73","0","1","104","73","4","0","0","11041","7301","0"
"73","74","0","1","103","74","1","0","0","11031","7401","0"
"74","75","0","3","102","75","3","0","0","11021","7501","0"
"75","76","0","4","50","76","1","0","0","10501","7601","0"
"76","77","0","3","104","77","4","0","0","11041","7701","0"
"77","78","0","2","101","78","2","0","0","11011","7801","0"
"78","79","0","3","100","79","3","0","0","11001","7901","0"
"79","80","0","2","104","80","4","0","0","11041","8001","0"
"80","81","0","1","52","81","3","0","0","10521","8101","0"
"81","82","0","2","101","82","1","0","0","11011","8201","0"
"82","83","0","4","50","83","3","0","0","10501","8301","0"
"83","84","0","3","103","84","1","0","0","11031","8401","0"
"84","85","0","2","104","85","4","0","0","11041","8501","0"
"85","86","0","3","100","86","2","0","0","11001","8601","0"
"86","87","0","2","102","87","2","0","0","11021","8701","0"
"87","88","0","1","103","88","2","0","0","11031","8801","0"
"88","89","0","3","104","89","4","0","0","11041","8901","0"
"89","90","0","2","102","90","1","0","0","11021","9001","0"
"90","91","0","3","104","91","4","0","0","11041","9101","0"
"91","92","0","4","50","92","3","0","0","10501","9201","0"
"92","93","0","3","104","93","4","0","0","11041","9301","0"
"93","94","0","2","102","94","1","0","0","11021","9401","0"
"94","95","0","2","103","95","2","0","0","11031","9501","0"
"95","96","0","3","104","96","4","0","0","11041","9601","0"
"96","97","0","2","104","97","4","0","0","11041","9701","0"
"97","98","0","2","101","98","2","0","0","11011","9801","0"
"98","99","0","3","104","99","4","0","0","11041","9901","0"
"99","100","0","1","102","100","1","0","0","11021","10001","0"
"100","101","0","3","103","101","3","0","0","11031","10101","0"
"101","102","0","4","104","102","4","0","0","11041","10201","0"
"102","103","0","2","50","103","3","0","0","10501","10301","0"
