975149f63d21509dea4a705c76dbb4107b3977118721e05758f09a23633a0fc2,27fa61e64e16a69593f9dcf01060ab05b214500dea6e3eb2834feb8292ae5cd4,b65053c2544a3f084ceec927b29c5847881347438496058d589cb8248e5a7133,e7b28a2dc044107c9c7d44e925ce74fe4dac5ab6ad57bff262b05f3b3125ce82,355425205a84f6cb04d3a6dd61e94c0adc643c9567216481208b58e83575d97b,50a046a562adcdeb15ea4b8832fdbb6d2e0ed8666a09f4897511941dec46a021,b38391e0ff0121434f316a3c4d2fef388c2f63b7a49fbf5fa44e5c3a4f401eb2,3e486c96e4ea07b2e07ca7638a8b2587a988dc7ce602898426e01efdd859111d,059c9dfe002df648cebc2f3d7db185dae17c7487bd7c7e8bfcb5941d171275d8,9f354a82fab14dee01aac3287908295d35a214ffdffa9b03a9417ee670092910,f770981680695282839e43c70667e91299a8f13ce8dd21a4139c51b4e78272c9,b194e006dbc70f73992ced8c8252bc4538f33c1aa0216e13c0b4c1396a365443,a61a425dff1e4db89d86611e5eeecbf9c7f6fdf3f2302848a0cf4947014d12e4
"1","0","270","0","0","200100","3.5","擲岩猴","0","800","【物理】遠距離攻擊\n能夠投擲大石頭，從遠處\n攻擊的猴子魔物。","0","200100"
"1","0","270","0","0","200100","3.5","擲岩猴","0","360","【物理】遠距離攻擊\n能夠投擲大石頭，從遠處\n攻擊的猴子魔物。","0","200101"
"1","0","270","0","0","200200","3","氣球鳥","0","800","【恢復】範圍恢復\n能用膨起的肚子中累積的魔力，\n來恢復同伴的鳥型魔物。","0","200200"
"2","0","270","0","0","200300","3.5","守門者","0","200","【魔法】範圍攻擊\n敞開地獄之門，並吐出會使人火傷的熱炎，\n是魔界的守衛。","0","200300"
"2","0","270","0","0","200300","3.5","守門者","0","350","【魔法】範圍攻擊\n敞開地獄之門，並吐出會使人火傷的熱炎，\n是魔界的守衛。","0","200301"
"2","0","270","0","0","200300","3.5","守門者","0","500","【魔法】範圍攻擊\n敞開地獄之門，並吐出會使人火傷的熱炎，\n是魔界的守衛。","0","200302"
"1","0","270","0","0","200400","2.5","狼人","0","350","【物理】近距離攻擊\n以尖銳的利爪敵人撕裂，\n一種野狼的魔物。","0","200400"
"1","0","270","0","0","200400","2.5","狼人","0","100","【物理】近距離攻擊\n以尖銳的利爪敵人撕裂，\n一種野狼的魔物。","0","200401"
"1","0","270","0","0","200500","3","狂野角鹿","0","200","【物理】近距離攻擊\n巨大的雙角除了攻擊也能防禦，\n是鹿型的魔物。","16","200500"
"1","0","270","0","0","200501","3","冰雪角鹿","0","200","【物理】近距離攻擊\n住在高山深處，厚實的毛皮下，\n擁有強壯的身體，是一種馴鹿的魔物。","16","200501"
"1","0","750","0","0","200503","3","狂野角鹿","0","580","","16","200503"
"1","0","750","0","0","200503","3","狂野角鹿","0","350","","16","200504"
"1","0","600","0","0","200503","3","狂野角鹿","0","120","","16","200505"
"1","0","800","0","0","200506","3","冰雪角鹿","0","200","【物理】近距離攻擊\n住在高山深處，厚實的毛皮下，\n擁有強壯的身體，是一種馴鹿的魔物。","16","200506"
"1","0","270","0","0","200600","1.5","鼠妖","0","250","【物理】近距離攻擊\n威力雖然不高，但能迅捷地進行多次\n攻擊，是鼠型的魔物。","11","200600"
