a106fdca7f7d92e093905a70ca7480e9d84199743ba11661e695537b4825a4c0,1b79b20829e208a772cb378d3f23c043f46a164ac3811f7323d635ee77f2bb43,11a171a574ae5cf92b93ec4769e8e13ccccf660328ae093f8a2951221aa65ebf,6915a6da45ca70406dd20bf19d1c90d2aac03b8f17b6e19afc07e623e1d76830,d15cf358723b203c2021bb103bbdc4ef75710faa3a922164438a96e38bdc9d35
"2021/08/02 16:00:00","27003","519","2021/08/20 15:59:59","27001"
"2022/02/01 16:00:00","27004","550","2022/02/22 15:59:59","27001"
"2022/05/02 16:00:00","27005","571","2022/05/23 15:59:59","27001"
"2022/08/01 16:00:00","27006","572","2022/08/20 15:59:59","27005"
"2023/01/20 16:00:00","27007","575","2023/02/10 15:59:59","27001"
"2023/05/11 16:00:00","27008","609","2023/05/26 15:59:59","27001"
"2023/08/01 16:00:00","27009","616","2023/08/20 15:59:59","27005"
"2023/09/01 16:00:00","27010","626","2023/09/26 15:59:59","27009"
"2024/02/07 16:00:00","27011","632","2024/02/25 15:59:59","27001"
"2024/05/01 16:00:00","27013","641","2024/05/22 15:59:59","27012"
"2024/08/15 16:00:00","27014","649","2024/09/03 15:59:59","27005"
"2024/10/01 00:00:00","27015","656","2024/10/31 23:59:59","27012"
"2025/02/01 00:00:00","27016","664","2025/02/27 23:59:59","27012"
"2025/05/01 00:00:00","27018","674","2025/05/25 23:59:59","27012"
"2025/08/01 00:00:00","27019","698","2025/08/19 23:59:59","27018"
"2025/08/01 00:00:00","27020","697","2025/08/19 23:59:59","27012"
"2025/10/01 00:00:00","27021","719","2025/10/31 23:59:59","27012"
