17461604ff50e9f41b4fa4189a71eb606a8254e33719f3ab068029a8442d5e92,b36f041243795a53e51983d21dee47dafdb9815bb91718592c99df3077ec0ace,a55d68c651b38935a8b4c4952d8e8ce92aa909de59383d5d92962dd275dd54ac,baf4ff81abb709928f1b136c41db8fda1cc6d66fce67fa61427372fd39efda57,ae5277730f6801b701c5ab89dafdf2708c52a6b26484218b8fe8d887e3193b13,1aea3e1c1fa069458942cb94e11041c718a2bfaf11bce5545e302e9ee626df1d,6195539e15a996562d5a0355e5535a841f7b5a53aeda0c123a5f7f1ef8891a24,59781574e9f9660aff728bfa82882f870e3f5592bc253ed44a151f3d108bf87b,19a1617e048526ded2a25e677482f55c41dda1364a72c4b4cde9f9d36718db2c,058581a1021e7538b678ae63cfb93429e255b97cfe1512271de0aba889249db1,7c1c615761abf92d418a6f19c760c130fe115ae0ee6b8b756450b6e3037c10fd,67a988df298f0ec67f0e0d0c63b1ff03391610e3f2a6ec4d11df740ca7650f7b,df24114274c603a258bdafa62bd5168143886ab3912defde3f2a543e4fffae7c,987e5669ae0fdd8f81f93ac55b5aa3ae546fc94f712270bc9c5ce6671f81ae1f,369653beef91086254d36f1ec530a42836d95c5dc8c0710f711df52fab7553f0,aec88d066638b448f36ff0068c011a867c06156d68210427899b65f9cb5b91f5,8bfe299fcd695f2d618dabdd966fe18d7b6ba3b793fc629c6f621351790bb268
"0","1","2","25204","0","0","6","5","4","0","150001","25202","50","50","0","2","0"
"0","1","2","25204","25011","2","9","20","4","100","150001","25202","50","40","0","2","0"
"0","1","2","25204","0","0","12","25","4","0","150002","25202","50","30","0","2","0"
"500","1","2","25204","150002","4","15","30","2","50","25206","25202","20","20","2","2","25011"
"0","2","2","25204","0","0","6","5","4","0","150001","25202","50","50","0","2","0"
"0","2","2","25204","25012","2","9","20","4","100","150001","25202","50","40","0","2","0"
"0","2","2","25204","0","0","12","25","4","0","150002","25202","50","30","0","2","0"
"500","2","2","25204","150002","4","15","30","2","50","25206","25202","20","20","2","2","25012"
"0","3","2","25204","0","0","6","5","4","0","150001","25202","50","50","0","2","0"
"0","3","2","25204","25013","2","9","20","4","100","150001","25202","50","40","0","2","0"
"0","3","2","25204","0","0","12","25","4","0","150002","25202","50","30","0","2","0"
"500","3","2","25204","150002","4","15","30","2","50","25206","25202","20","20","2","2","25013"
"0","4","2","25204","0","0","6","5","4","0","150001","25202","50","50","0","2","0"
"0","4","2","25204","25014","2","9","20","4","100","150001","25202","50","40","0","2","0"
"0","4","2","25204","0","0","12","25","4","0","150002","25202","50","30","0","2","0"
"500","4","2","25204","150002","4","15","30","2","50","25206","25202","20","20","2","2","25014"
"0","5","2","25204","0","0","6","5","4","0","150001","25202","50","50","0","2","0"
"0","5","2","25204","25015","2","9","20","4","100","150001","25202","50","40","0","2","0"
"0","5","2","25204","0","0","12","25","4","0","150002","25202","50","30","0","2","0"
"500","5","2","25204","150002","4","15","30","2","50","25206","25202","20","20","2","2","25015"
