f9cc81c9974af08767ada5d89a561e7ab1a1ef72d369d477e9d68ed13ba57f4b,a52eda4483b798f88e65ec0d88025d71a636a0bcb27af5f7af5d8d8c705996ff,ec59d3ca724f505371bb565f70a0245346bb6ae39fc3ea6b5e85b82ea94ac628,4b98eaba56cd4da103dd60ef31d8d74fe5f3dd9e4efce5bde446b8d46a71a5be,567b293588127e4fe6ef4fe0400421d282f69253a71e1b85be358451ab891010
"1","1","1","0","2700"
"2","2","1","0","3600"
"3","3","1","0","5400"
"4","1","1","1","3600"
"5","2","1","1","5400"
"6","3","1","1","7200"
"7","1","2","0","1800"
"8","2","2","0","2700"
"9","3","2","0","3600"
"10","1","2","1","2700"
"11","2","2","1","4050"
"12","3","2","1","5400"
"13","1","3","0","1800"
"14","2","3","0","2700"
"15","3","3","0","3600"
"16","1","3","1","2700"
"17","2","3","1","4050"
"18","3","3","1","5400"
"19","1","4","0","1800"
"20","2","4","0","2700"
"21","3","4","0","3600"
"22","1","4","1","2700"
"23","2","4","1","4050"
"24","3","4","1","5400"
