a1cec00c2d1959c60565f733f2f331da1862a4aa77a0ac6f0d5387d3ea09d4c0,8f94104f4632db695341255eec9369af6cf882bf57eb40f6fae4f54f9fb6682e,f2b3011b57ea881258cf7b9323c523a0836ab1ba5614912cdeb1c1caa5e32a16,201dbb9c2bfd0d14ea0723169ddc06b8f17e5f46b6fcc8655addd74efc32043f,1f3355007614d4c73c3fef49cc2b9ff85788d907bc1a4ee8e87dbb13c4fc023a,a5b47460178357091368a276525d2bf0c625556a8910603ee3e69f2f4337d8c6,9428dc618e1b6afe75520581972b940b85e9608b7b43bacd20cc4707ef34c30e,a3e6f3630ea8b8b34527c94466aa8ee8d4650fced70b03a2ac1decbcc82eb0f9
"96001","2","1","1","21952","20000","1","1"
"96001","2","1","1","21904","10000","2","1"
"96001","2","1","1","41000","10000","3","1"
"96001","2","1","5","31803","2000","4","5"
"96001","2","1","5","31215","1500","5","5"
"96001","2","1","5","31210","1500","6","5"
"96001","2","1","5","31211","1500","7","5"
"96001","2","1","10","90005","1250","8","5"
"96001","4","1","20","140001","500","9","10"
"96001","2","1","10","25001","500","10","5"
"96001","4","1","5","150003","100","11","5"
"96001","4","1","5","150004","130","12","5"
"96001","4","1","5","150005","150","13","5"
"96001","4","1","5","150006","180","14","5"
"96001","4","1","5","150007","200","15","5"
"96001","4","1","5","150008","230","16","5"
"96001","2","1","5","20004","500","17","100"
"96001","2","1","5","22003","200","18","100"
"96001","2","1","0","20004","1000","19","100"
"96001","2","1","0","22003","400","20","100"
"96002","2","2","1","21952","20000","21","1"
"96002","2","2","1","21904","10000","22","1"
"96002","2","2","1","41000","10000","23","1"
"96002","2","2","5","31233","1500","24","5"
"96002","2","2","5","31229","1500","25","5"
"96002","2","2","5","31225","1500","26","5"
"96002","2","2","10","90005","1250","27","5"
"96002","4","2","20","140001","500","28","10"
"96002","2","2","10","25001","500","29","5"
"96002","4","2","5","150003","100","30","5"
"96002","4","2","5","150004","130","31","5"
"96002","4","2","5","150005","150","32","5"
"96002","4","2","5","150006","180","33","5"
"96002","4","2","5","150007","200","34","5"
"96002","4","2","5","150008","230","35","5"
"96002","2","2","5","20004","500","36","100"
"96002","2","2","5","22003","200","37","100"
"96002","2","2","0","20004","1000","38","100"
"96002","2","2","0","22003","400","39","100"
"96003","2","3","1","21952","20000","40","1"
"96003","2","3","1","21905","10000","41","1"
"96003","2","3","1","41000","10000","42","1"
"96003","2","3","5","31805","2000","43","5"
"96003","2","3","5","31240","1500","44","5"
"96003","2","3","5","31238","1500","45","5"
"96003","2","3","5","31236","1500","46","5"
"96003","2","3","5","90005","2500","47","10"
"96003","4","3","5","140001","2500","48","50"
"96003","2","3","5","25001","500","49","5"
"96003","4","3","5","150003","500","50","30"
"96003","4","3","5","150004","650","51","30"
"96003","4","3","5","150005","750","52","30"
"96003","4","3","5","150006","900","53","30"
"96003","4","3","5","150007","1000","54","30"
"96003","4","3","5","150008","1150","55","30"
"96003","2","3","5","20004","2500","56","500"
"96003","2","3","5","22003","1000","57","500"
"96003","2","3","0","20004","1000","58","100"
"96003","2","3","0","22003","400","59","100"
"96004","2","4","1","21952","20000","60","1"
"96004","2","4","1","21905","10000","61","1"
"96004","2","4","2","41000","10000","62","1"
"96004","2","4","5","31807","2000","63","5"
"96004","2","4","5","31245","1500","64","5"
"96004","2","4","5","31248","1500","65","5"
"96004","2","4","5","31250","1500","66","5"
"96004","2","4","5","31091","1500","67","5"
"96004","2","4","5","90005","2500","68","10"
"96004","4","4","10","140001","2500","69","50"
"96004","2","4","10","25001","1000","70","10"
"96004","4","4","5","150003","500","71","30"
"96004","4","4","5","150004","650","72","30"
"96004","4","4","5","150005","750","73","30"
"96004","4","4","5","150006","900","74","30"
"96004","4","4","5","150007","1000","75","30"
"96004","4","4","5","150008","1150","76","30"
"96004","4","4","5","150009","1300","77","30"
"96004","2","4","5","20004","2500","78","500"
"96004","2","4","5","22003","1000","79","500"
"96004","2","4","0","20004","1000","80","100"
"96004","2","4","0","22003","400","81","100"
"96005","2","5","1","25101","20000","82","1"
"96005","2","5","1","21952","20000","83","1"
"96005","2","5","1","21905","10000","84","1"
"96005","2","5","2","41000","10000","85","1"
"96005","2","5","5","31200","1500","86","5"
