08f2ec8592ebb6158cecb85a96011a96b1c7ad41a356ce4671c83c5c10164499,7d5a385afc5d63f81ab3e0ff984489d8fac10598af920bb6b1cfa97ccda2ed76,1d6364ff6f303ca46bc7bb5ad03c0287ca8da353deebdfe5a88a3ab0e65edfac,d2cbc749c80c3d8382a20716f9118a88d451da4496f2320d179835e35e51f32d,ced1ed9c4fc25c906ce8fd349cb5237913883c0386edcceae6be4794b7fc9a2e,9409f64b4a1159c8cd5c44fe35f10ac372b99003a14d95d19544c51d510c4451,b74b935ed5a5576318f4f8c1170c005c56dc94148d1d9acd57a9c2f3d8034612,b6c6c294af36085a8ab5e1d74a636608102ac8620e10ab906819e52813b3159d,cbd08ca957682bb9c0f4dfdb92204d3204825c36be5b6e9b237897c387bf1f29,7d4b2bf892ddace998f13a2033b31f1a17bae6033f8b42cba14aafcdea8bb28d,f571140d76b18fe02e749648e0c7e7021e56ee32af885a41eb67541cc764a511,a03de3b6804529dcf77dab46277fb21bae8b3ef389f7b1e0485b08048dbf1a15,b9ae35138945be2ef17a1c8912a306cdfe12608404d135ac5e27767e7c4b1e62,2d9c1ef800c5e4e94b48372bb30a75f4c5ea00f6005d95f351d69ecd7ac7a23d,87b37f3095a9ccd72407ff7d92cc115f23b9dda752dca5bf42a4c73d0ea6d43d,12034ae7d1fa3e3ea6c45d27c0b11e47970a8aa8ef1982a91eb9f73e8e08b6c7,0746d46b8b9ab3b9529ab0dfdbded90d93e59d8ffc1f7a81c7e922d19ea9dfdc,a05c518df26afcd871d78705e77a2e8e68ebf6e47a0fbb5dc90f55ae0d7a475a,6a5152cb0f31d0039c5f0a6ae6054683ff8ad9893adba2b1c02e6f6cb6b264ec,ef09dc7720de93ae518aebacc4be750dc35ed67d4e5266893d9b77863bc49421,f5276e382c9055cb67cc52dc212d9e36ef236ccb93fe6f3ad7928192d21b2e95,521d43e8d77071700e48388202506c898a3ac05d5275d50709ae9616446a4107,efafe400b89fad005434b386004982cee374852e466a46fe826c8db9b1123902,6b0dec4369f9df16d2ddcad162009a59d35fc54994e9440405acfefb993cdb9b,11347a3a25877893a390e49c303363a129b0ab625a9ad0ae6533a03431b7b19b,eda3adbfa0af336c580fb496cb6cbbc7471e9a23873418deb57821778c1b797d,6dc93e48fac84794fe7e99db9b68a319b2dbc9e3cfcf834bd9490c3b8835861a,fed7de83e3fca4666ac403e2264be525ca3cd8450621d5aedad8a9963d56ca33,c43c062fa42d7c2caf256717e33fe087c6c3594d5f72c51765a1b78d6fc54055,f1a65302d44e947a548049a0b0c31f8738d519688a7b6b213bbe79afe6fa1096,4cf6cb1eda2d1f382359e5355a16fc4d5caf0c9c38759759c5d5eab683b4b461
"100","33","1","100","0","1","0","100","1000110103","1","0","0","0","0","1000110103","1","1","0","10001101","0","1000110101","0","1000110103","0","0","0","1000110102","0","0","0","34"
"100","100","1","100","1","1","100","100","1000120103","1","1000120105","34","1","33","1000120102","1","1","100","10001201","1","1000120101","100","1000120105","1000120104","1000120105","1000120105","1000120105","1","1","1000120105","100"
"100","33","1","100","0","1","0","100","1000210103","1","0","0","0","0","1000210103","1","1","0","10002101","0","1000210101","0","1000210103","0","0","0","1000210102","0","0","0","34"
"100","100","1","100","1","1","100","100","1000220103","1","1000220105","34","1","33","1000220102","1","1","100","10002201","1","1000220101","100","1000220105","1000220104","1000220105","1000220105","1000220105","1","1","1000220105","100"
"100","33","1","100","0","1","0","100","1000310103","1","0","0","0","0","1000310103","1","1","0","10003101","0","1000310101","0","1000310103","0","0","0","1000310102","0","0","0","34"
"3","100","1","3","1","1","100","100","1000320103","1","1000320105","34","1","33","1000320102","6","6","100","10003201","1","1000320101","100","1000320105","1000320104","1000320105","1000320105","1000320105","1","1","1000320105","100"
"100","33","1","100","0","1","0","100","1000410103","1","0","0","0","0","1000410103","1","1","0","10004101","0","1000410101","0","1000410103","0","0","0","1000410102","0","0","0","34"
"3","100","1","3","1","1","100","100","1000420103","1","1000420105","34","1","33","1000420102","6","6","100","10004201","1","1000420101","100","1000420105","1000420104","1000420105","1000420105","1000420105","1","1","1000420105","100"
"100","100","1","100","1","1","34","100","1000430104","1","1000430104","33","1","100","1000430102","6","1","0","10004301","1","1000430101","100","1000430104","0","1000430104","1000430104","1000430104","1","0","1000430103","100"
"100","33","1","100","0","1","0","100","1000510103","1","0","0","0","0","1000510103","1","1","0","10005101","0","1000510101","0","1000510103","0","0","0","1000510102","0","0","0","34"
"3","100","1","3","1","1","100","100","1000520103","1","1000520105","34","1","33","1000520102","6","6","100","10005201","1","1000520101","100","1000520105","1000520104","1000520105","1000520105","1000520105","1","1","1000520105","100"
"100","100","1","100","1","1","34","100","1000530104","1","1000530104","33","1","100","1000530102","6","1","0","10005301","1","1000530101","100","1000530104","0","1000530104","1000530104","1000530104","1","0","1000530103","100"
"100","33","1","100","0","1","0","100","1000610103","1","0","0","0","0","1000610103","1","1","0","10006101","0","1000610101","0","1000610103","0","0","0","1000610102","0","0","0","34"
"3","100","1","3","1","1","100","100","1000620103","1","1000620105","34","1","33","1000620102","6","6","100","10006201","1","1000620101","100","1000620105","1000620104","1000620105","1000620105","1000620105","1","1","1000620105","100"
"100","100","1","100","1","1","34","100","1000630104","1","1000630104","33","1","100","1000630102","6","1","0","10006301","1","1000630101","100","1000630104","0","1000630104","1000630104","1000630104","1","0","1000630103","100"
"100","33","1","100","0","1","0","100","1000710103","1","0","0","0","0","1000710103","1","1","0","10007101","0","1000710101","0","1000710103","0","0","0","1000710102","0","0","0","34"
"3","100","1","3","1","1","100","100","1000720103","1","1000720105","34","1","33","1000720102","6","6","100","10007201","1","1000720101","100","1000720105","1000720104","1000720105","1000720105","1000720105","1","1","1000720105","100"
"100","100","1","100","1","1","34","100","1000730104","1","1000730104","33","1","100","1000730102","6","1","0","10007301","1","1000730101","100","1000730104","0","1000730104","1000730104","1000730104","1","0","1000730103","100"
"100","33","1","100","0","1","0","100","1000810103","1","0","0","0","0","1000810103","1","1","0","10008101","0","1000810101","0","1000810103","0","0","0","1000810102","0","0","0","34"
"3","100","1","3","1","1","100","100","1000820103","1","1000820105","34","1","33","1000820102","6","6","100","10008201","1","1000820101","100","1000820105","1000820104","1000820105","1000820105","1000820105","1","1","1000820105","100"
"100","100","1","100","1","1","34","100","1000830104","1","1000830104","33","1","100","1000830102","6","1","0","10008301","1","1000830101","100","1000830104","0","1000830104","1000830104","1000830104","1","0","1000830103","100"
"100","33","1","100","0","1","0","100","1000910103","1","0","0","0","0","1000910103","1","1","0","10009101","0","1000910101","0","1000910103","0","0","0","1000910102","0","0","0","34"
"3","100","1","3","1","1","100","100","1000920103","1","1000920105","34","1","33","1000920102","6","6","100","10009201","1","1000920101","100","1000920105","1000920104","1000920105","1000920105","1000920105","1","1","1000920105","100"
"100","100","1","100","1","1","34","100","1000930104","1","1000930104","33","1","100","1000930102","6","1","0","10009301","1","1000930101","100","1000930104","0","1000930104","1000930104","1000930104","1","0","1000930103","100"
"100","33","1","100","0","1","0","100","1001010103","1","0","0","0","0","1001010103","1","1","0","10010101","0","1001010101","0","1001010103","0","0","0","1001010102","0","0","0","34"
"3","100","1","3","1","1","100","100","1001020103","1","1001020105","34","1","33","1001020102","6","6","100","10010201","1","1001020101","100","1001020105","1001020104","1001020105","1001020105","1001020105","1","1","1001020105","100"
"100","100","1","100","1","1","34","100","1001030104","1","1001030104","33","1","100","1001030102","6","1","0","10010301","1","1001030101","100","1001030104","0","1001030104","1001030104","1001030104","1","0","1001030103","100"
"100","100","1","100","1","1","100","100","1001040103","1","1001040106","100","1","100","1001040102","6","1","100","10010401","1","1001040101","100","1001040104","1001040110","1001040108","1001040107","1001040105","1","1","1001040109","100"
"100","33","1","100","0","1","0","100","1001110103","1","0","0","0","0","1001110103","1","1","0","10011101","0","1001110101","0","1001110103","0","0","0","1001110102","0","0","0","34"
"3","100","1","3","1","1","100","100","1001120103","1","1001120105","34","1","33","1001120102","6","6","100","10011201","1","1001120101","100","1001120105","1001120104","1001120105","1001120105","1001120105","1","1","1001120105","100"
"100","100","1","100","1","1","34","100","1001130104","1","1001130104","33","1","100","1001130102","6","1","0","10011301","1","1001130101","100","1001130104","0","1001130104","1001130104","1001130104","1","0","1001130103","100"
"100","100","1","100","1","1","100","100","1001140103","1","1001140106","100","1","100","1001140102","6","1","100","10011401","1","1001140101","100","1001140104","1001140110","1001140108","1001140107","1001140105","1","1","1001140109","100"
"100","33","1","100","0","1","0","100","1001210103","1","0","0","0","0","1001210103","1","1","0","10012101","0","1001210101","0","1001210103","0","0","0","1001210102","0","0","0","34"
"3","100","1","3","1","1","100","100","1001220103","1","1001220105","34","1","33","1001220102","6","6","100","10012201","1","1001220101","100","1001220105","1001220104","1001220105","1001220105","1001220105","1","1","1001220105","100"
"100","100","1","100","1","1","34","100","1001230104","1","1001230104","33","1","100","1001230102","6","1","0","10012301","1","1001230101","100","1001230104","0","1001230104","1001030104","1001230104","1","0","1001230103","100"
"100","100","1","100","1","1","100","100","1001240103","1","1001240106","100","1","100","1001240102","6","1","100","10012401","1","1001240101","100","1001240104","1001240110","1001240108","1001040107","1001240105","1","1","1001240109","100"
"100","33","1","100","0","1","0","100","1001310103","1","0","0","0","0","1001310103","1","1","0","10013101","0","1001310101","0","1001310103","0","0","0","1001310102","0","0","0","34"
"3","100","1","3","1","1","100","100","1001320103","1","1001320105","34","1","33","1001320102","6","6","100","10013201","1","1001320101","100","1001320105","1001320104","1001320105","1001320105","1001320105","1","1","1001320105","100"
"100","100","1","100","1","1","34","100","1001330104","1","1001330104","33","1","100","1001330102","6","1","0","10013301","1","1001330101","100","1001330104","0","1001330104","1001330104","1001330104","1","0","1001330103","100"
"100","100","1","100","1","1","100","100","1001340103","1","1001340106","100","1","100","1001340102","6","1","100","10013401","1","1001340101","100","1001340104","1001340110","1001340108","1001340107","1001340105","1","1","1001340109","100"
"100","33","1","100","0","1","0","100","1001410103","1","0","0","0","0","1001410103","1","1","0","10014101","0","1001410101","0","1001410103","0","0","0","1001410102","0","0","0","34"
"3","100","1","3","1","1","100","100","1001420103","1","1001420105","34","1","33","1001420102","6","6","100","10014201","1","1001420101","100","1001420105","1001420104","1001420105","1001420105","1001420105","1","1","1001420105","100"
"100","100","1","100","1","1","34","100","1001430104","1","1001430104","33","1","100","1001430102","6","1","0","10014301","1","1001430101","100","1001430104","0","1001430104","1001430104","1001430104","1","0","1001430103","100"
