20998754e7049e9a6ddcee2cf80881425eb49ec08a14454fb1e57c6af28db180,314f002286c0a6f861596c451c2a63adf48886d8369b894acb1281f0e4f0e9eb,78e151ac182581c5ad50e2e89322790f75cf1c5b06366804a180bdb03df2250c,ed76839434b75b0a58c18afab44a450aacc0ebe4a37b3f5e529112cf9c500a9d,8f90027f30ee8b8e37e4e248e8a0c5b7651010e048c3f64e4ecb2b47b68c62d0,082890fdb125c723feb0605704cfd7a048f230afce96fe488948d261b6a7e0c6,134f2c55cf0b98a57b8de6d7fcc97b7ff3424373888a1ec222307ab4943c4cf5
"vo_minigame_1004_top_1_000","10001","1","1000101","2","呵呵呵，這樣一來就能報復嘉夜夜和老大了！","vo_minigame_1004"
"vo_minigame_1004_top_1_003","10002","1","1000201","2","接龍之戰，我要找哥哥幫忙。","vo_minigame_1004"
"vo_minigame_1004_top_1_004","10003","2","1000301","1","打手就是不管別人怎樣找碴都來者不拒！看我的！","vo_minigame_1004"
"vo_minigame_1004_top_1_005","10004","2","1000401","1","用石板進行接龍嗎……祈梨那人想的活動真有趣呢。","vo_minigame_1004"
"vo_minigame_1004_top_1_006","10005","2","1000501","1","管它是接龍還是什麼，就給他們回馬槍吧！","vo_minigame_1004"
"vo_minigame_1004_top_1_007","10006","3","1000601","2","咕麼……（我、肚子餓了）","vo_minigame_1004"
"vo_minigame_1004_top_1_008","10007","3","1000701","2","咕麼麼麼麼（接龍真有趣）","vo_minigame_1004"
"vo_minigame_1004_top_1_009","10008","3","1000801","2","咕麼麼麼麼！（祈梨 是好人）","vo_minigame_1004"
"vo_minigame_1004_top_2_010","10009","1","1000901","2","就算對手是嘉夜夜，我也不會手下留情。","vo_minigame_1004"
"vo_minigame_1004_top_2_011","10009","2","1000902","1","好極了！要比的話就要認真的比哦。","vo_minigame_1004"
"vo_minigame_1004_top_2_012","10010","1","1001001","2","嘉夜夜，要道歉就趁現在。","vo_minigame_1004"
"vo_minigame_1004_top_2_013","10010","2","1001002","1","祈梨才是，妳要偷哭的話就趁現在吧？","vo_minigame_1004"
"vo_minigame_1004_top_2_014","10011","1","1001101","2","嘉夜夜，今後可是知性的時代哦？","vo_minigame_1004"
"vo_minigame_1004_top_2_015","10011","2","1001102","1","慢著！不要把我說得像笨蛋一樣！！","vo_minigame_1004"
"vo_minigame_1004_top_2_016","10012","1","1001201","1","來，讓妳見識一下我們的力量！","vo_minigame_1004"
"vo_minigame_1004_top_2_017","10012","3","1001202","2","咕麼！（交給我！）","vo_minigame_1004"
"vo_minigame_1004_top_2_018","10013","1","1001301","1","乖乖，很好，做得好的話，就給你巧克力！","vo_minigame_1004"
"vo_minigame_1004_top_2_019","10013","3","1001302","2","咕麼！（我 喜歡巧克力）","vo_minigame_1004"
"vo_minigame_1004_top_2_023","10014","2","1001401","1","喏，祈梨……妳是不是已經迷失當時的目的了？","vo_minigame_1004"
"vo_minigame_1004_top_2_024","10014","1","1001402","2","我當然記得，就是要打倒嘉夜夜，證明我們的智慧。","vo_minigame_1004"
"vo_minigame_1004_top_2_025","10015","2","1001501","1","就算對手是祈梨，我也不會把勝利讓給妳的！","vo_minigame_1004"
"vo_minigame_1004_top_2_026","10015","1","1001502","2","正合我意，我可不會手下留情哦！","vo_minigame_1004"
"vo_minigame_1004_top_2_027","10016","2","1001601","1","嘿，妳還滿行的嘛！","vo_minigame_1004"
"vo_minigame_1004_top_2_028","10016","1","1001602","2","嘉夜夜也比我想像的還厲害呢！","vo_minigame_1004"
"vo_minigame_1004_top_2_029","10017","2","1001701","1","喂～似龍生物？","vo_minigame_1004"
"vo_minigame_1004_top_2_030","10017","3","1001702","2","咕麼！？（噫！）","vo_minigame_1004"
"vo_minigame_1004_top_2_031","10018","2","1001801","1","哎呀，那時真是不好意思啊哈哈哈！","vo_minigame_1004"
"vo_minigame_1004_top_2_032","10018","3","1001802","2","咕麼麼麼……（嘉夜夜 好可怕）","vo_minigame_1004"
"vo_minigame_1004_top_2_033","10019","2","1001901","1","你啊……還真是一臉呆樣呢。","vo_minigame_1004"
"vo_minigame_1004_top_2_034","10019","3","1001902","2","咕麼……（妳還 敢說我）","vo_minigame_1004"
"vo_minigame_1004_top_2_044","10020","3","1002001","2","咕麼……（肚子餓了 想要巧克力）","vo_minigame_1004"
"vo_minigame_1004_top_2_045","10020","2","1002002","1","怎麼了？睏了嗎？","vo_minigame_1004"
"vo_minigame_1004_top_2_046","10021","3","1002101","2","咕麼麼（這傢伙……好危險）","vo_minigame_1004"
"vo_minigame_1004_top_2_047","10021","2","1002102","1","嗯？　怎麼了？想當我的小弟嗎？","vo_minigame_1004"
"vo_minigame_1004_top_2_048","10022","3","1002201","2","咕麼……（嘉夜夜是 肌肉笨蛋）","vo_minigame_1004"
"vo_minigame_1004_top_2_049","10022","2","1002202","1","喂，你現在在想沒禮貌的事吧？","vo_minigame_1004"
"vo_minigame_1004_top_3_058","10023","2","1002301","1","欸，這個要持續到什麼時候？","vo_minigame_1004"
"vo_minigame_1004_top_3_059","10023","1","1002302","2","到嘉夜夜投降為止！","vo_minigame_1004"
"vo_minigame_1004_top_3_060","10023","3","1002303","2","咕麼麼！（給我投降！）","vo_minigame_1004"
"vo_minigame_1004_top_3_065","10024","3","1002401","2","咕麼！（祈梨 我想要巧克力）","vo_minigame_1004"
"vo_minigame_1004_top_3_066","10024","1","1002402","1","真拿你沒辦法，不可以吃太多哦！","vo_minigame_1004"
"vo_minigame_1004_top_3_067","10024","2","1002403","1","你好像很喜歡伴手禮的巧克力呢。","vo_minigame_1004"
"vo_minigame_1004_top_3_068","10025","3","1002501","2","咕麼！（我不會輸給 嘉夜夜！）","vo_minigame_1004"
"vo_minigame_1004_top_3_069","10025","2","1002502","1","哦？怎麼了？是肚子餓了嗎？","vo_minigame_1004"
"vo_minigame_1004_top_3_070","10025","1","1002503","2","……完全無法溝通。","vo_minigame_1004"
