5ee4f32d094862b1a69475b26302ae81eab3d530ca54fceb3b2b5390dfe2df6e,35b4548266970815e4ae47735be0bae956a60e2bb31a12862e37d0c9abe62a90,75d75f8f1c1020bf203e10f86f1e8650667453fca757d49b1e21c450a0a4824e,9cfbeb3763aaad326c1599dcf3f71f2b2158cbcb42fe15dd03c7e9416229b09b,043cd1d041fe8e9b3888224ccf2b443216d01e0cdc088b5d5a82f5c3752b49b0,687288b0e7af32464d0550a9ab02967321ef0e2577b07d551f388f8b26dc80ea,fe230e581fbedd7d60d0e812808d474ebe5d4d4bd307cf95aa1219acc45cac23
"1001101","1","306700","81001105","0","0","1"
"1001102","1","306700","81001106","0","0","1"
"1001201","1","306800","81001205","0","0","1"
"1001202","1","306800","81001206","0","0","1"
"1001301","1","307000","81001305","0","0","1"
"1001302","1","307000","81001306","0","0","1"
"1001401","1","307500","81001405","0","0","1"
"1001402","1","307500","81001406","0","0","1"
"1001501","1","307300","81001505","0","0","1"
"1001502","1","307300","81001506","0","0","1"
"1001601","1","307700","81001605","0","0","1"
"1001602","1","307700","81001606","0","0","1"
"1001701","1","307400","81001705","0","0","1"
"1001702","1","307400","81001706","0","0","1"
"1001801","1","307900","81001805","0","0","1"
"1001802","1","307900","81001806","0","0","1"
"1001901","1","307800","81001905","0","0","1"
"1001902","1","307800","81001906","0","0","1"
"1002001","1","308100","81002005","0","0","1"
"1002002","1","308100","81002006","0","0","1"
"1002101","1","308000","81002101","0","0","1"
"1002102","1","308000","81002102","0","0","1"
"1002201","1","308300","81002205","0","0","1"
"1002202","1","308300","81002206","0","0","1"
"1002301","1","308200","81002301","0","0","1"
"1002302","1","308200","81002302","0","0","1"
"1002401","1","304705","81002405","0","0","1"
"1002402","1","304705","81002406","0","0","1"
"1002501","1","308400","81002501","0","0","1"
"1002502","1","308400","81002502","0","0","1"
"1002601","1","305004","81002605","0","0","1"
"1002602","1","305004","81002606","0","0","1"
"1002701","1","308600","81002701","0","0","1"
"1002702","1","308600","81002702","0","0","1"
"1002801","1","305205","81002805","0","0","1"
"1002802","1","305205","81002806","0","0","1"
"1002901","1","309300","81002901","0","0","1"
"1002902","1","309300","81002902","0","0","1"
"1003001","1","305500","81003005","0","0","1"
"1003002","1","305500","81003006","0","0","1"
"1003101","1","310000","81003101","0","0","1"
"1003102","1","310000","81003102","0","0","1"
"1003201","1","306000","81003205","0","0","1"
"1003202","1","306000","81003206","0","0","1"
"1003301","1","310300","81000605","0","0","1"
"1003302","1","310300","81003301","0","0","1"
"1003401","1","306700","81001105","0","0","1"
"1003402","1","306700","81001106","0","0","1"
