01ce6c51449ed54b5fcd5c9b47cbf0839941ff4fef38bf14a139afa6c89fcbca,025705255d2f37d494eb68bc243cf5313ada9270aa92b9af1d584413ad78698a,25da6d7fd0aa2d6db54210b7968d863f9f699456cc3aba2a5f3ba0f3b2865d45,179fe56ea4fcab1f8450ac259203c5797f6910be0d3b6cd0d3255d62ab33dd65,21488b4233f0d885a3a4aa954fd562a8cc23a4ce92dac21671bd6b45e3bdd2b0,dc3881a85b41b1d15b5ca9eb28a69bc3dcf96a4c69ab9f4de3a2b53e29e9b1fd,1abe142e5e8fdc4154ccb78a196df70484a1826550e09e92205783c529e3740d
"810100104","810100101","810100105","810100102","810010011","810100103","81001001"
"810100204","810100201","810100205","810100202","810010021","810100203","81001002"
"810100304","810100301","810100305","810100302","810010031","810100303","81001003"
"810100404","810100401","810100405","810100402","810010041","810100403","81001004"
"810100504","810100501","810100505","810100502","810010051","810100503","81001005"
"810100604","810100601","810100605","810100602","810010061","810100603","81001006"
"810100704","810100701","810100705","810100702","810010071","810100703","81001007"
"810100804","810100801","810100805","810100802","810010081","810100803","81001008"
"810100904","810100901","810100905","810100902","810010091","810100903","81001009"
"0","810101001","0","0","810010101","0","81001010"
"810101104","810101101","810101105","810101102","810010111","810101103","81001011"
"810101204","810101201","810101205","810101202","810010121","810101203","81001012"
"810101304","810101301","810101305","810101302","810010131","810101303","81001013"
"810101404","810101401","810101405","810101402","810010141","810101403","81001014"
"810101504","810101501","810101505","810101502","810010151","810101503","81001015"
"810101604","810101601","810101605","810101602","810010161","810101603","81001016"
"810101704","810101701","810101705","810101702","810010171","810101703","81001017"
"810101804","810101801","810101805","810101802","810010181","810101803","81001018"
"810101904","810101901","810101905","810101902","810010191","810101903","81001019"
"0","810102001","0","0","810010201","0","81001020"
"810102104","810102101","810102105","810102102","810010211","810102103","81001021"
"810102204","810102201","810102205","810102202","810010221","810102203","81001022"
"810102304","810102301","810102305","810102302","810010231","810102303","81001023"
"810102404","810102401","810102405","810102402","810010241","810102403","81001024"
"810102504","810102501","810102505","810102502","810010251","810102503","81001025"
"810102604","810102601","810102605","810102602","810010261","810102603","81001026"
"810102704","810102701","810102705","810102702","810010271","810102703","81001027"
"810102804","810102801","810102805","810102802","810010281","810102803","81001028"
"810102904","810102901","810102905","810102902","810010291","810102903","81001029"
"0","810103001","0","0","810010301","0","81001030"
"810103104","810103101","810103105","810103102","810010311","810103103","81001031"
"810103204","810103201","810103205","810103202","810010321","810103203","81001032"
"810103304","810103301","810103305","810103302","810010331","810103303","81001033"
"810103404","810103401","810103405","810103402","810010341","810103403","81001034"
"810103504","810103501","810103505","810103502","810010351","810103503","81001035"
"810103604","810103601","810103605","810103602","810010361","810103603","81001036"
"810103704","810103701","810103705","810103702","810010371","810103703","81001037"
"810103804","810103801","810103805","810103802","810010381","810103803","81001038"
"810103904","810103901","810103905","810103902","810010391","810103903","81001039"
"0","810104001","0","0","810010401","0","81001040"
"810104104","810104101","810104105","810104102","810010411","810104103","81001041"
"810104204","810104201","810104205","810104202","810010421","810104203","81001042"
"810104304","810104301","810104305","810104302","810010431","810104303","81001043"
"810104404","810104401","810104405","810104402","810010441","810104403","81001044"
"810104504","810104501","810104505","810104502","810010451","810104503","81001045"
"810104604","810104601","810104605","810104602","810010461","810104603","81001046"
