e0346dfd7f841a57419c91ef2e0b330a69b32c6a422e963a334a6efed6634529,4efe729e81eda4882bb6eafec936b9ddbf92915d76b91412f1174bc1ab1fed90,d5788954d7bd748d18e47063a2b8ee3ad45493917fc76e90ccf47b8fe410ce1d,d8389edfe385dc8caa8488787eefcda3ea6408f717fa05e60f80206e027b1838,c9e654b1c9265af28fec473921f1002d136833b717fdde11252f97333b6d2045,b3f709e0d052433168de25c0d6fe120f6227733856e271f6203ec4953dcc12f1,c7be8642ac1c39b9dac1bd4e75d1d9387dce0e77ef09029d28804bd9ba9c7b6c,824adee7612de82974b3077771461f92457feb0d6f8d135ca1d6a069edb0b0aa,404e45b340dcbf83201afe83857a764348d2cb9301c8136c96df81cb8b084d50,7505f39608cd8aa4612282b8552dd21b7c48e2426940c54775f945ac0ef8358f,e87d3a36da855db9015f5b5c9936826f08a1bcf1b70f45447ab64e8e27c6d0af,abcc9be8119c237e33c081bb86c2ea719228e51ec8ec205307208fb0cfd2eab1
"90","500000000","0","92407","1","92407120","1","92407110","1","924073101","924072101","924071100"
"90","1000000000","92407110","92407","2","92407130","2","92407120","1","924073102","924072102","924071200"
"90","1500000000","92407120","92407","3","92407140","3","92407130","1","924073103","924072103","924071300"
"90","0","92407130","92407","4","0","3","92407140","1","924073104","924072104","924071400"
"90","500000000","0","92407","1","92407220","1","92407210","1","924073201","924072201","924072100"
"90","1000000000","92407210","92407","2","92407230","2","92407220","1","924073202","924072202","924072200"
"90","1500000000","92407220","92407","3","92407240","3","92407230","1","924073203","924072203","924072300"
"90","0","92407230","92407","4","0","3","92407240","1","924073204","924072204","924072400"
"90","500000000","0","92407","1","92407320","1","92407310","1","924073301","924072301","924073100"
"90","1000000000","92407310","92407","2","92407330","2","92407320","1","924073302","924072302","924073200"
"90","1500000000","92407320","92407","3","92407340","3","92407330","1","924073303","924072303","924073300"
"90","0","92407330","92407","4","0","3","92407340","1","924073304","924072304","924073400"
"90","500000000","0","92408","1","92408120","1","92408110","1","924083101","924082101","924081100"
"90","1000000000","92408110","92408","2","92408130","2","92408120","1","924083102","924082102","924081200"
"90","1500000000","92408120","92408","3","92408140","3","92408130","1","924083103","924082103","924081300"
"90","0","92408130","92408","4","0","3","92408140","1","924083104","924082104","924081400"
"90","500000000","0","92408","1","92408220","1","92408210","1","924083201","924082201","924082100"
"90","1000000000","92408210","92408","2","92408230","2","92408220","1","924083202","924082202","924082200"
"90","1500000000","92408220","92408","3","92408240","3","92408230","1","924083203","924082203","924082300"
"90","0","92408230","92408","4","0","3","92408240","1","924083204","924082204","924082400"
"90","500000000","0","92408","1","92408320","1","92408310","1","924083301","924082301","924083100"
"90","1000000000","92408310","92408","2","92408330","2","92408320","1","924083302","924082302","924083200"
"90","1500000000","92408320","92408","3","92408340","3","92408330","1","924083303","924082303","924083300"
"90","0","92408330","92408","4","0","3","92408340","1","924083304","924082304","924083400"
"90","500000000","0","92409","1","92409120","1","92409110","1","924093101","924092101","924091100"
"90","1000000000","92409110","92409","2","92409130","2","92409120","1","924093102","924092102","924091200"
"90","1500000000","92409120","92409","3","92409140","3","92409130","1","924093103","924092103","924091300"
"90","0","92409130","92409","4","0","4","92409140","1","924093104","924092104","924091400"
"90","500000000","0","92409","1","92409220","1","92409210","1","924093201","924092201","924092100"
"90","1000000000","92409210","92409","2","92409230","2","92409220","1","924093202","924092202","924092200"
"90","1500000000","92409220","92409","3","92409240","3","92409230","1","924093203","924092203","924092300"
"90","0","92409230","92409","4","0","4","92409240","1","924093204","924092204","924092400"
"90","500000000","0","92409","1","92409320","1","92409310","1","924093301","924092301","924093100"
"90","1000000000","92409310","92409","2","92409330","2","92409320","1","924093302","924092302","924093200"
"90","1500000000","92409320","92409","3","92409340","3","92409330","1","924093303","924092303","924093300"
"90","0","92409330","92409","4","0","4","92409340","1","924093304","924092304","924093400"
"90","500000000","0","92410","1","92410120","1","92410110","1","924103101","924102101","924101100"
"90","1000000000","92410110","92410","2","92410130","2","92410120","1","924103102","924102102","924101200"
"90","1500000000","92410120","92410","3","92410140","3","92410130","1","924103103","924102103","924101300"
"90","0","92410130","92410","4","0","4","92410140","1","924103104","924102104","924101400"
"90","500000000","0","92410","1","92410220","1","92410210","1","924103201","924102201","924102100"
"90","1000000000","92410210","92410","2","92410230","2","92410220","1","924103202","924102202","924102200"
"90","1500000000","92410220","92410","3","92410240","3","92410230","1","924103203","924102203","924102300"
"90","0","92410230","92410","4","0","4","92410240","1","924103204","924102204","924102400"
"90","500000000","0","92410","1","92410320","1","92410310","1","924103301","924102301","924103100"
"90","1000000000","92410310","92410","2","92410330","2","92410320","1","924103302","924102302","924103200"
"90","1500000000","92410320","92410","3","92410340","3","92410330","1","924103303","924102303","924103300"
"90","0","92410330","92410","4","0","4","92410340","1","924103304","924102304","924103400"
"90","500000000","0","92411","1","92411120","1","92411110","1","924113101","924112101","924111100"
"90","1000000000","92411110","92411","2","92411130","2","92411120","1","924113102","924112102","924111200"
"90","1500000000","92411120","92411","3","92411140","3","92411130","1","924113103","924112103","924111300"
"90","0","92411130","92411","4","0","4","92411140","1","924113104","924112104","924111400"
