b176707973a15806487d18818718606d2050fb9304234ec60fcda982e5edac45,a31b8bdc84c5b012077fbfa8d2a828592a5730ec3555af8795a85a91ee4ad009,fb6cb2f146b5fae8313b25e8de020da4e48eca4c67d61b00214eda33cf031685,e0fca1fe8aec3e3fedd3295f7c0d17838c5c97bd78f194dc5420b4e154a2ee5e,a00ffe296e46d6bd716773462232dc9462f722a02866b8631f6103800f9b5192,93f0870783ed5ebf4d7910756ca6464e53a8fb5458b0a48eef939e8ee71e0332,e9e01aa883790c223fae8d53d04b496772a8a918955b614a0d21fc75b7882e6e,e016f306b9a5248694cb203dbca8d10c3672d88820d54bb5e982cca954f3d1a3
"1005","戰鬥開始時，我方的TP提升250。","1005","0","TP提升250","0","1005","2"
"1006","戰鬥開始時，我方的TP提升250。","1006","0","TP提升250","0","1006","2"
"1007","戰鬥開始時，我方的TP提升250。","1007","0","TP提升250","0","1007","2"
"1008","戰鬥開始時，我方的TP提升250。","1008","0","TP提升250","0","1008","2"
"100501","戰鬥開始90秒內，使敵人的物理攻擊力下降。","1005","7469000000000","降低物理攻擊90秒","36000","100501","1"
"100502","戰鬥開始90秒內，使敵人的物理攻擊力下降。","1005","7161000000000","降低物理攻擊90秒","36000","100502","1"
"100503","戰鬥開始90秒內，使敵人的物理防禦力下降。","1005","6930000000000","降低物理防禦90秒","36000","100503","1"
"100504","戰鬥開始90秒內，使敵人的魔法防禦力下降。","1005","6699000000000","降低魔法防禦90秒","36000","100504","1"
"100505","戰鬥開始90秒內，使敵人的物理攻擊力下降。","1005","6468000000000","降低物理攻擊90秒","36000","100505","1"
"100506","戰鬥開始90秒內，使敵人的物理攻擊力下降。","1005","6160000000000","降低物理攻擊90秒","36000","100506","1"
"100507","戰鬥開始90秒內，使敵人的物理防禦力下降。","1005","5929000000000","降低物理防禦90秒","36000","100507","1"
"100508","戰鬥開始90秒內，使敵人的魔法防禦力下降。","1005","5698000000000","降低魔法防禦90秒","36000","100508","1"
"100509","戰鬥開始90秒內，使敵人的物理攻擊力下降。","1005","5390000000000","降低物理攻擊90秒","36000","100509","1"
"100510","戰鬥開始90秒內，使敵人的物理攻擊力下降。","1005","5159000000000","降低物理攻擊90秒","36000","100510","1"
"100511","戰鬥開始90秒內，使敵人的物理攻擊力下降。","1005","4928000000000","降低物理攻擊90秒","36000","100511","1"
"100512","戰鬥開始90秒內，使敵人的物理攻擊力下降。","1005","4620000000000","降低物理攻擊90秒","36000","100512","1"
"100513","戰鬥開始90秒內，使敵人的物理防禦力下降。","1005","4389000000000","降低物理防禦90秒","36000","100513","1"
"100514","戰鬥開始90秒內，使敵人的魔法防禦力下降。","1005","4158000000000","降低魔法防禦90秒","36000","100514","1"
"100515","戰鬥開始90秒內，使敵人的物理攻擊力下降。","1005","3927000000000","降低物理攻擊90秒","36000","100515","1"
"100516","戰鬥開始90秒內，使敵人的物理攻擊力下降。","1005","3619000000000","降低物理攻擊90秒","36000","100516","1"
"100517","戰鬥開始90秒內，使敵人的物理防禦力下降。","1005","3388000000000","降低物理防禦90秒","36000","100517","1"
"100518","戰鬥開始90秒內，使敵人的魔法防禦力下降。","1005","3157000000000","降低魔法防禦90秒","36000","100518","1"
"100519","戰鬥開始90秒內，使敵人的物理攻擊力下降。","1005","2849000000000","降低物理攻擊90秒","36000","100519","1"
"100520","戰鬥開始90秒內，使敵人的物理攻擊力下降。","1005","2618000000000","降低物理攻擊90秒","36000","100520","1"
"100521","戰鬥開始90秒內，使敵人的物理攻擊力下降。","1005","2387000000000","降低物理攻擊90秒","36000","100521","1"
"100522","戰鬥開始90秒內，使敵人的物理攻擊力下降。","1005","2079000000000","降低物理攻擊90秒","36000","100522","1"
"100523","戰鬥開始90秒內，使敵人的物理防禦力下降。","1005","1848000000000","降低物理防禦90秒","36000","100523","1"
"100524","戰鬥開始90秒內，使敵人的魔法防禦力下降。","1005","1617000000000","降低魔法防禦90秒","36000","100524","1"
"100525","戰鬥開始90秒內，使敵人的物理攻擊力下降。","1005","1386000000000","降低物理攻擊90秒","36000","100525","1"
"100526","戰鬥開始時，我方的TP提升150。","1005","1078000000000","TP提升150","36000","100526","1"
"100527","戰鬥開始10秒內，我方進入無敵狀態。","1005","847000000000","無敵10秒","36000","100527","1"
"100528","戰鬥開始90秒內，使敵人的物理攻擊力下降。","1005","616000000000","降低物理攻擊90秒","36000","100528","1"
"100529","戰鬥開始90秒內，使敵人的物理防禦力下降。","1005","308000000000","降低物理防禦90秒","36000","100529","1"
"100530","戰鬥開始90秒內，使敵人的魔法防禦力下降。","1005","77000000000","降低魔法防禦90秒","36000","100530","1"
"100601","戰鬥開始90秒內，使我方的魔法攻擊力提升。","1006","12028000000000","提升魔法攻擊90秒","36000","100601","1"
"100602","戰鬥開始90秒內，使我方的物理攻擊力提升。","1006","11532000000000","提升物理攻擊90秒","36000","100602","1"
"100603","戰鬥開始90秒內，使敵人的物理防禦力下降。","1006","11160000000000","降低物理防禦90秒","36000","100603","1"
"100604","戰鬥開始90秒內，使敵人的魔法防禦力下降。","1006","10788000000000","降低魔法防禦90秒","36000","100604","1"
"100605","戰鬥開始90秒內，使我方的魔法攻擊力提升。","1006","10416000000000","提升魔法攻擊90秒","36000","100605","1"
