3c9a50c3287be60ef346ab27ac9f02b16b12a7bb23ba6b004acb2145aec1a173,9e1c591573e11d21e5c79a97c648f9c45fe2402321f6ec0032a21b1d42215c6f,76dd6b9e0785e336333ef9cd1471980bfd34278ee5ada4e2447f7f58ed9cdfdb,1736c8c055f13bb54bb23fa21a6f262a35a36a3c331fce2c5209ccc36f018dcf,6f689909b749bf9f4994866b99924935498f705c2e5826345500db7d8533991a,a54c31d376bb8ee8e3baf8ad7b7c9541f57a191d54a874dc188f1bbf249b3f3a,e565e4250659f3d87b62be44eacf0e76f95a793b2bf6012cb0531a17e466c415,aaf3e477703e76964c25a449c31ee9f4290ca20f2826937c203082009c94930b,54b3a3add71c29f3488f94170517c78fc548882f2658fb8fb7ae500d4df521ba
"0","1001","全難易度合計取得10000分","100101","1","10000","0","1001","100101"
"0","1001","全難易度合計取得30000分","100102","1","30000","0","1001","100102"
"0","1001","全難易度合計取得50000分","100103","1","50000","0","1001","100103"
"0","1001","全難易度合計取得70000分","100104","1","70000","0","1001","100104"
"1","1001","全難易度合計取得90000分","100105","1","90000","0","1001","100105"
"1","1001","全難易度合計取得105000分","100106","1","105000","0","1001","100106"
"1","1001","全難易度合計取得120000分","100107","1","120000","0","1001","100107"
"1","1001","全難易度合計取得135000分","100108","1","135000","0","1001","100108"
"2","1002","在NORMAL1難易度戰鬥1次","100109","1","0","1","1001","100109"
"2","1003","在NORMAL2難易度戰鬥1次","100110","1","0","1","1001","100110"
"2","1004","在NORMAL3難易度戰鬥1次","100111","1","0","1","1001","100111"
"3","1001","在NORMAL難易度取得10000分","100112","1","10000","1","1001","100112"
"3","1001","在NORMAL難易度取得20000分","100113","1","20000","1","1001","100113"
"3","1001","在NORMAL難易度取得30000分","100114","1","30000","1","1001","100114"
"4","1002","在HARD1難易度戰鬥1次","100115","1","0","2","1001","100115"
"4","1003","在HARD2難易度戰鬥1次","100116","1","0","2","1001","100116"
"4","1004","在HARD3難易度戰鬥1次","100117","1","0","2","1001","100117"
"5","1001","在HARD難易度取得15000分","100118","1","15000","2","1001","100118"
"5","1001","在HARD難易度取得30000分","100119","1","30000","2","1001","100119"
"5","1001","在HARD難易度取得45000分","100120","1","45000","2","1001","100120"
"6","1002","在EXTRA1難易度戰鬥1次","100121","1","0","3","1001","100121"
"6","1003","在EXTRA2難易度戰鬥1次","100122","1","0","3","1001","100122"
"6","1004","在EXTRA3難易度戰鬥1次","100123","1","0","3","1001","100123"
"7","1001","在EXTRA難易度取得20000分","100124","1","20000","3","1001","100124"
"7","1001","在EXTRA難易度取得40000分","100125","1","40000","3","1001","100125"
"7","1001","在EXTRA難易度取得60000分","100126","1","60000","3","1001","100126"
"0","1001","全難易度合計取得10000分","100201","1","10000","0","1002","100201"
"0","1001","全難易度合計取得30000分","100202","1","30000","0","1002","100202"
"0","1001","全難易度合計取得50000分","100203","1","50000","0","1002","100203"
"0","1001","全難易度合計取得70000分","100204","1","70000","0","1002","100204"
"1","1001","全難易度合計取得90000分","100205","1","90000","0","1002","100205"
"1","1001","全難易度合計取得105000分","100206","1","105000","0","1002","100206"
"1","1001","全難易度合計取得120000分","100207","1","120000","0","1002","100207"
"1","1001","全難易度合計取得135000分","100208","1","135000","0","1002","100208"
"2","1002","在NORMAL1難易度戰鬥1次","100209","1","0","1","1002","100209"
"2","1003","在NORMAL2難易度戰鬥1次","100210","1","0","1","1002","100210"
"2","1004","在NORMAL3難易度戰鬥1次","100211","1","0","1","1002","100211"
"3","1001","在NORMAL難易度取得10000分","100212","1","10000","1","1002","100212"
"3","1001","在NORMAL難易度取得20000分","100213","1","20000","1","1002","100213"
"3","1001","在NORMAL難易度取得30000分","100214","1","30000","1","1002","100214"
"4","1002","在HARD1難易度戰鬥1次","100215","1","0","2","1002","100215"
"4","1003","在HARD2難易度戰鬥1次","100216","1","0","2","1002","100216"
"4","1004","在HARD3難易度戰鬥1次","100217","1","0","2","1002","100217"
"5","1001","在HARD難易度取得15000分","100218","1","15000","2","1002","100218"
"5","1001","在HARD難易度取得30000分","100219","1","30000","2","1002","100219"
"5","1001","在HARD難易度取得45000分","100220","1","45000","2","1002","100220"
"6","1002","在EXTRA1難易度戰鬥1次","100221","1","0","3","1002","100221"
"6","1003","在EXTRA2難易度戰鬥1次","100222","1","0","3","1002","100222"
"6","1004","在EXTRA3難易度戰鬥1次","100223","1","0","3","1002","100223"
"7","1001","在EXTRA難易度取得20000分","100224","1","20000","3","1002","100224"
"7","1001","在EXTRA難易度取得40000分","100225","1","40000","3","1002","100225"
"7","1001","在EXTRA難易度取得60000分","100226","1","60000","3","1002","100226"
"0","1001","全難易度合計取得10000分","100301","1","10000","0","1003","100301"
"0","1001","全難易度合計取得30000分","100302","1","30000","0","1003","100302"
"0","1001","全難易度合計取得50000分","100303","1","50000","0","1003","100303"
"0","1001","全難易度合計取得70000分","100304","1","70000","0","1003","100304"
"1","1001","全難易度合計取得90000分","100305","1","90000","0","1003","100305"
"1","1001","全難易度合計取得105000分","100306","1","105000","0","1003","100306"
"1","1001","全難易度合計取得120000分","100307","1","120000","0","1003","100307"
"1","1001","全難易度合計取得135000分","100308","1","135000","0","1003","100308"
"2","1002","在NORMAL1難易度戰鬥1次","100309","1","0","1","1003","100309"
"2","1003","在NORMAL2難易度戰鬥1次","100310","1","0","1","1003","100310"
"2","1004","在NORMAL3難易度戰鬥1次","100311","1","0","1","1003","100311"
"3","1001","在NORMAL難易度取得10000分","100312","1","10000","1","1003","100312"
"3","1001","在NORMAL難易度取得20000分","100313","1","20000","1","1003","100313"
"3","1001","在NORMAL難易度取得30000分","100314","1","30000","1","1003","100314"
"4","1002","在HARD1難易度戰鬥1次","100315","1","0","2","1003","100315"
"4","1003","在HARD2難易度戰鬥1次","100316","1","0","2","1003","100316"
"4","1004","在HARD3難易度戰鬥1次","100317","1","0","2","1003","100317"
"5","1001","在HARD難易度取得15000分","100318","1","15000","2","1003","100318"
"5","1001","在HARD難易度取得30000分","100319","1","30000","2","1003","100319"
"5","1001","在HARD難易度取得45000分","100320","1","45000","2","1003","100320"
"6","1002","在EXTRA1難易度戰鬥1次","100321","1","0","3","1003","100321"
"6","1003","在EXTRA2難易度戰鬥1次","100322","1","0","3","1003","100322"
"6","1004","在EXTRA3難易度戰鬥1次","100323","1","0","3","1003","100323"
"7","1001","在EXTRA難易度取得20000分","100324","1","20000","3","1003","100324"
"7","1001","在EXTRA難易度取得40000分","100325","1","40000","3","1003","100325"
"7","1001","在EXTRA難易度取得60000分","100326","1","60000","3","1003","100326"
"0","1001","全難易度合計取得10000分","100401","1","10000","0","1004","100401"
"0","1001","全難易度合計取得30000分","100402","1","30000","0","1004","100402"
"0","1001","全難易度合計取得50000分","100403","1","50000","0","1004","100403"
"0","1001","全難易度合計取得70000分","100404","1","70000","0","1004","100404"
"1","1001","全難易度合計取得90000分","100405","1","90000","0","1004","100405"
"1","1001","全難易度合計取得105000分","100406","1","105000","0","1004","100406"
"1","1001","全難易度合計取得120000分","100407","1","120000","0","1004","100407"
"1","1001","全難易度合計取得135000分","100408","1","135000","0","1004","100408"
"2","1002","在NORMAL1難易度戰鬥1次","100409","1","0","1","1004","100409"
"2","1003","在NORMAL2難易度戰鬥1次","100410","1","0","1","1004","100410"
"2","1004","在NORMAL3難易度戰鬥1次","100411","1","0","1","1004","100411"
"3","1001","在NORMAL難易度取得10000分","100412","1","10000","1","1004","100412"
"3","1001","在NORMAL難易度取得20000分","100413","1","20000","1","1004","100413"
"3","1001","在NORMAL難易度取得30000分","100414","1","30000","1","1004","100414"
"4","1002","在HARD1難易度戰鬥1次","100415","1","0","2","1004","100415"
"4","1003","在HARD2難易度戰鬥1次","100416","1","0","2","1004","100416"
"4","1004","在HARD3難易度戰鬥1次","100417","1","0","2","1004","100417"
"5","1001","在HARD難易度取得15000分","100418","1","15000","2","1004","100418"
"5","1001","在HARD難易度取得30000分","100419","1","30000","2","1004","100419"
"5","1001","在HARD難易度取得45000分","100420","1","45000","2","1004","100420"
"6","1002","在EXTRA1難易度戰鬥1次","100421","1","0","3","1004","100421"
"6","1003","在EXTRA2難易度戰鬥1次","100422","1","0","3","1004","100422"
"6","1004","在EXTRA3難易度戰鬥1次","100423","1","0","3","1004","100423"
"7","1001","在EXTRA難易度取得20000分","100424","1","20000","3","1004","100424"
"7","1001","在EXTRA難易度取得40000分","100425","1","40000","3","1004","100425"
"7","1001","在EXTRA難易度取得60000分","100426","1","60000","3","1004","100426"
"0","1001","全難易度合計取得10000分","100501","1","10000","0","1005","100501"
"0","1001","全難易度合計取得30000分","100502","1","30000","0","1005","100502"
"0","1001","全難易度合計取得50000分","100503","1","50000","0","1005","100503"
"0","1001","全難易度合計取得70000分","100504","1","70000","0","1005","100504"
"1","1001","全難易度合計取得90000分","100505","1","90000","0","1005","100505"
"1","1001","全難易度合計取得105000分","100506","1","105000","0","1005","100506"
"1","1001","全難易度合計取得120000分","100507","1","120000","0","1005","100507"
"1","1001","全難易度合計取得135000分","100508","1","135000","0","1005","100508"
"2","1002","在NORMAL1難易度戰鬥1次","100509","1","0","1","1005","100509"
"2","1003","在NORMAL2難易度戰鬥1次","100510","1","0","1","1005","100510"
"2","1004","在NORMAL3難易度戰鬥1次","100511","1","0","1","1005","100511"
"3","1001","在NORMAL難易度取得10000分","100512","1","10000","1","1005","100512"
"3","1001","在NORMAL難易度取得20000分","100513","1","20000","1","1005","100513"
"3","1001","在NORMAL難易度取得30000分","100514","1","30000","1","1005","100514"
"4","1002","在HARD1難易度戰鬥1次","100515","1","0","2","1005","100515"
"4","1003","在HARD2難易度戰鬥1次","100516","1","0","2","1005","100516"
"4","1004","在HARD3難易度戰鬥1次","100517","1","0","2","1005","100517"
"5","1001","在HARD難易度取得15000分","100518","1","15000","2","1005","100518"
"5","1001","在HARD難易度取得30000分","100519","1","30000","2","1005","100519"
"5","1001","在HARD難易度取得45000分","100520","1","45000","2","1005","100520"
"6","1002","在EXTRA1難易度戰鬥1次","100521","1","0","3","1005","100521"
"6","1003","在EXTRA2難易度戰鬥1次","100522","1","0","3","1005","100522"
"6","1004","在EXTRA3難易度戰鬥1次","100523","1","0","3","1005","100523"
"7","1001","在EXTRA難易度取得20000分","100524","1","20000","3","1005","100524"
"7","1001","在EXTRA難易度取得40000分","100525","1","40000","3","1005","100525"
"7","1001","在EXTRA難易度取得60000分","100526","1","60000","3","1005","100526"
"0","1001","全難易度合計取得10000分","100601","1","10000","0","1006","100601"
"0","1001","全難易度合計取得30000分","100602","1","30000","0","1006","100602"
"0","1001","全難易度合計取得50000分","100603","1","50000","0","1006","100603"
"0","1001","全難易度合計取得70000分","100604","1","70000","0","1006","100604"
"1","1001","全難易度合計取得90000分","100605","1","90000","0","1006","100605"
"1","1001","全難易度合計取得105000分","100606","1","105000","0","1006","100606"
"1","1001","全難易度合計取得120000分","100607","1","120000","0","1006","100607"
"1","1001","全難易度合計取得135000分","100608","1","135000","0","1006","100608"
"2","1002","在NORMAL1難易度戰鬥1次","100609","1","0","1","1006","100609"
"2","1003","在NORMAL2難易度戰鬥1次","100610","1","0","1","1006","100610"
"2","1004","在NORMAL3難易度戰鬥1次","100611","1","0","1","1006","100611"
"3","1001","在NORMAL難易度取得10000分","100612","1","10000","1","1006","100612"
"3","1001","在NORMAL難易度取得20000分","100613","1","20000","1","1006","100613"
"3","1001","在NORMAL難易度取得30000分","100614","1","30000","1","1006","100614"
"4","1002","在HARD1難易度戰鬥1次","100615","1","0","2","1006","100615"
"4","1003","在HARD2難易度戰鬥1次","100616","1","0","2","1006","100616"
"4","1004","在HARD3難易度戰鬥1次","100617","1","0","2","1006","100617"
"5","1001","在HARD難易度取得15000分","100618","1","15000","2","1006","100618"
"5","1001","在HARD難易度取得30000分","100619","1","30000","2","1006","100619"
"5","1001","在HARD難易度取得45000分","100620","1","45000","2","1006","100620"
"6","1002","在EXTRA1難易度戰鬥1次","100621","1","0","3","1006","100621"
"6","1003","在EXTRA2難易度戰鬥1次","100622","1","0","3","1006","100622"
"6","1004","在EXTRA3難易度戰鬥1次","100623","1","0","3","1006","100623"
"7","1001","在EXTRA難易度取得20000分","100624","1","20000","3","1006","100624"
"7","1001","在EXTRA難易度取得40000分","100625","1","40000","3","1006","100625"
"7","1001","在EXTRA難易度取得60000分","100626","1","60000","3","1006","100626"
"0","1001","全難易度合計取得10000分","100701","1","10000","0","1007","100701"
"0","1001","全難易度合計取得30000分","100702","1","30000","0","1007","100702"
"0","1001","全難易度合計取得50000分","100703","1","50000","0","1007","100703"
"0","1001","全難易度合計取得70000分","100704","1","70000","0","1007","100704"
"1","1001","全難易度合計取得90000分","100705","1","90000","0","1007","100705"
"1","1001","全難易度合計取得105000分","100706","1","105000","0","1007","100706"
"1","1001","全難易度合計取得120000分","100707","1","120000","0","1007","100707"
"1","1001","全難易度合計取得135000分","100708","1","135000","0","1007","100708"
"2","1002","在NORMAL1難易度戰鬥1次","100709","1","0","1","1007","100709"
"2","1003","在NORMAL2難易度戰鬥1次","100710","1","0","1","1007","100710"
"2","1004","在NORMAL3難易度戰鬥1次","100711","1","0","1","1007","100711"
"3","1001","在NORMAL難易度取得10000分","100712","1","10000","1","1007","100712"
"3","1001","在NORMAL難易度取得20000分","100713","1","20000","1","1007","100713"
"3","1001","在NORMAL難易度取得30000分","100714","1","30000","1","1007","100714"
"4","1002","在HARD1難易度戰鬥1次","100715","1","0","2","1007","100715"
"4","1003","在HARD2難易度戰鬥1次","100716","1","0","2","1007","100716"
"4","1004","在HARD3難易度戰鬥1次","100717","1","0","2","1007","100717"
"5","1001","在HARD難易度取得15000分","100718","1","15000","2","1007","100718"
