f021f937d5f5e2eec33b297e1b254af5c28a79f1b576a0d7ff5533393e6ae988,764cc28a858df224e66b264cdd63fc7e7e4ca023a7ca2cdbbaba62b5e97385f5,537deddd86778d850bb611e662647ca45ec1657c7fc05785349738a9e79caddb,982a8080f5b7abcb31884119331ac71879211aaced4aa7a29b6e8bc69f7a9e98
"0","700","50","111"
"0","700","50","113"
"0","800","50","131"
"0","700","50","211"
"0","700","50","213"
"0","700","50","214"
"0","800","50","231"
"0","700","50","311"
"-25","460","50","312"
"0","700","50","313"
"0","700","50","314"
"0","700","50","331"
"0","700","50","411"
"0","700","50","412"
"0","700","50","413"
"0","600","0","414"
"0","460","50","415"
"0","460","50","416"
"0","700","50","417"
"0","700","50","418"
"0","700","50","419"
"0","700","50","421"
"0","700","50","422"
"30","700","50","511"
"30","700","50","512"
"100","700","50","611"
"100","700","50","711"
"0","800","50","712"
"0","800","50","713"
"0","800","50","714"
"0","800","50","715"
"0","800","50","716"
"100","700","50","717"
"100","700","50","718"
"-195","800","50","719"
"50","500","50","811"
"0","1200","50","812"
"0","800","50","813"
"0","800","60","814"
"0","800","60","815"
"50","500","50","816"
"-65","600","50","911"
"0","1200","50","912"
"0","800","50","913"
"0","800","50","914"
"-40","980","55","915"
"-40","980","55","916"
"-65","600","50","917"
"0","800","50","1011"
"0","800","50","1012"
"0","800","50","1013"
"0","800","50","1031"
"0","800","50","1111"
"0","800","50","1112"
"0","800","50","1131"
"-60","590","50","1211"
"0","460","50","1212"
"0","460","50","1213"
"0","460","50","1214"
"-15","600","50","1215"
"-60","590","50","1216"
"0","800","50","1231"
"-50","700","50","1331"
"0","800","50","1411"
"0","800","50","1412"
"0","800","50","1413"
"0","800","50","1414"
"0","800","50","1421"
"100","700","50","1511"
"100","700","50","1512"
"100","700","50","1514"
"100","700","50","1515"
"100","700","50","1516"
"100","700","50","1521"
"-50","700","150","1611"
"-50","700","150","1612"
"-50","700","150","1613"
"0","800","50","1614"
"-50","700","150","1615"
"0","800","50","1711"
"0","800","50","1811"
"0","800","50","1911"
"0","800","50","2011"
"0","800","50","2111"
"0","800","50","2211"
"0","800","50","2311"
"0","800","50","2411"
"0","800","50","2415"
"15","970","15","2511"
"0","800","50","2512"
"0","1100","20","2513"
"0","1100","20","2514"
"0","1010","15","2515"
"0","1010","15","2516"
"0","455","0","2611"
"0","800","50","2612"
"-45","525","50","2711"
"-45","525","50","2712"
"0","800","50","2713"
"-30","1190","125","2811"
"-30","1190","125","2812"
"0","460","0","2911"
"0","800","50","2912"
"0","800","50","2913"
"0","800","50","2914"
"0","800","50","2915"
"0","600","50","2931"
"0","460","0","3011"
"0","800","50","3012"
"0","800","50","3013"
"0","600","50","3031"
"0","460","0","3111"
"0","800","50","3112"
"0","800","50","3113"
"0","800","50","3114"
"0","600","50","3131"
"-20","460","0","3211"
"-40","600","50","3311"
"-40","600","50","3312"
"-40","600","50","3313"
"-30","460","50","3411"
"-60","700","50","3511"
"0","800","50","3512"
"-30","800","50","3911"
"0","800","30","4011"
"0","800","30","4111"
"0","600","50","4211"
"0","800","50","4311"
"0","800","50","4312"
"0","800","50","4411"
"10","700","60","4511"
"10","700","60","4512"
"10","700","60","4513"
"0","460","50","4611"
"-30","650","70","4711"
"0","620","70","4811"
"0","800","50","4911"
"0","800","50","5011"
"0","800","50","5012"
"0","800","50","5013"
"0","800","50","5111"
"0","800","50","5112"
"0","800","50","5211"
"0","800","50","5212"
"0","600","50","5413"
"0","800","50","5511"
"0","800","50","5512"
"0","700","50","5611"
"0","800","50","5612"
"-60","590","50","5613"
"0","460","50","5614"
"0","700","50","5615"
"0","700","50","5616"
"0","800","50","5711"
"0","800","50","5712"
"0","800","50","5811"
"0","800","50","5812"
"0","800","50","5911"
"0","800","50","5912"
"0","800","50","6011"
"0","530","75","6012"
"0","700","50","6111"
"0","790","70","6211"
"-135","750","50","6311"
"-120","750","50","6312"
"0","900","50","6411"
"-50","670","50","6511"
"0","800","70","6632"
"0","800","70","6732"
"0","800","70","6832"
"0","800","70","6932"
"0","830","50","7011"
"0","830","50","7012"
"-100","700","50","7111"
"-100","700","50","7112"
"-100","700","50","7113"
"-100","700","50","7114"
"0","790","70","7411"
"0","790","70","7412"
"0","700","50","7511"
"0","700","50","7531"
"0","800","50","7711"
"0","800","50","7811"
"0","800","50","7911"
"0","800","50","7912"
"0","700","50","8011"
"0","700","50","8031"
"0","700","50","8111"
"-35","650","50","8211"
"0","800","50","8311"
"0","800","50","8511"
"0","900","50","8611"
"0","1000","50","8711"
"0","1000","50","8712"
"0","1000","50","8811"
"0","800","50","8911"
"0","800","50","8912"
"-35","530","50","9011"
"0","800","50","9111"
"0","800","50","9211"
"0","800","50","9212"
"0","800","50","9213"
"0","460","50","9311"
"0","1500","50","9411"
"0","1500","50","9412"
"0","800","50","9511"
"0","1600","50","9513"
"-25","550","60","9514"
"0","800","50","9811"
"0","800","50","9911"
"0","800","50","9912"
"-15","730","0","11411"
"-15","730","0","11413"
"-45","715","60","13311"
"0","960","50","14313"
"0","2000","50","15011"
"0","900","50","15012"
"0","800","50","15311"
"0","800","50","15314"
"-60","750","45","15811"
"30","1200","50","15916"
"0","1300","50","16011"
"0","1300","50","16012"
"0","1000","50","16311"
"205","1000","50","16312"
"0","530","70","16711"
"0","600","70","16712"
"0","2000","0","17011"
"-45","760","45","17211"
"0","2000","0","17212"
"0","2000","50","17511"
"0","2000","50","17512"
"0","800","50","18211"
"0","1100","50","18711"
"0","800","50","18912"
"0","800","50","50611"
"-75","700","60","50711"
"0","1500","50","50811"
"0","1200","50","50812"
"0","460","50","50911"
"0","460","50","50912"
"0","800","50","51011"
"0","800","50","51111"
"0","700","50","51311"
"0","800","50","51411"
"0","800","50","51412"
"100","700","50","51511"
"0","800","50","51512"
"0","800","50","51611"
"0","800","50","51711"
"0","800","50","51712"
"0","800","50","51811"
"0","800","50","51812"
"0","800","50","51911"
"0","800","50","51912"
"0","800","50","52011"
"-115","874","35","52111"
"0","1500","50","52311"
"0","1500","50","52312"
"0","1500","50","52313"
"0","530","50","52411"
"0","530","50","52412"
"0","800","50","52611"
"0","1200","50","52612"
"0","800","50","52613"
"0","800","50","52614"
"0","900","50","52711"
"0","900","50","52712"
"-15","700","50","52731"
"0","800","50","52831"
"0","800","50","52931"
"100","820","45","53011"
"100","820","45","53012"
"100","820","45","53013"
"0","800","50","53111"
"0","800","50","53112"
"-60","750","45","100011"
"-60","750","45","100012"
"0","700","50","100015"
"-60","750","45","100016"
"-60","750","45","100017"
"-60","750","45","100018"
"-60","750","45","100099"
"1.5","615","45","100111"
"1.5","615","45","100112"
"40","700","45","100113"
"1.5","615","45","100114"
"0","700","50","100131"
"0","700","50","100132"
"0","800","50","100211"
"0","800","50","100212"
"0","800","50","100213"
"0","700","50","100231"
"0","700","50","100232"
"0","600","45","100311"
"-120","600","45","100312"
"-120","600","45","100313"
"-120","600","45","100315"
"-70","650","100","100331"
"0","700","50","100332"
"-65","650","60","100411"
"0","700","50","100431"
"0","700","50","100432"
"40","600","50","100511"
"-20","600","60","100512"
"40","600","50","100513"
"-20","600","60","100514"
"0","800","50","100531"
"-50","550","50","100611"
"0","700","50","100631"
"0","700","50","100632"
"-60","800","85","100711"
"-95","700","50","100731"
"-40","700","50","100811"
"0","700","50","100831"
"0","700","50","100832"
"-20","535","35","100911"
"0","1200","50","100912"
"0","700","30","100931"
"-50","750","100","101011"
"0","700","50","101031"
"0","700","50","101032"
"20","650","50","101111"
"-100","730","40","101112"
"0","700","50","101131"
"0","800","45","101211"
"0","700","50","101231"
"-35","630","105","101311"
"0","1200","50","101312"
"30","800","50","101331"
"0","800","50","101332"
"0","700","50","101411"
"0","700","50","101412"
"0","700","50","101421"
"0","800","50","101431"
"50","800","50","101511"
"0","800","50","101512"
"0","800","50","101531"
"0","800","50","101532"
"0","800","50","101533"
"-20","740","80","101611"
"0","700","50","101631"
"0","900","50","101632"
"-85","610","40","101711"
"0","700","50","101731"
"0","700","50","101732"
"0","700","50","101733"
"0","700","50","101811"
"-25","640","70","101812"
"0","700","50","101813"
"0","700","50","101821"
"0","700","50","101831"
"0","700","50","101832"
"0","520","50","102011"
"0","520","50","102012"
"0","700","50","102031"
"0","700","50","102032"
"0","700","50","102033"
"-50","700","100","102111"
"0","700","50","102131"
"-30","490","80","102211"
"-55","520","80","102212"
"0","700","50","102231"
"0","700","50","102232"
"-10","530","45","102311"
"-10","530","45","102312"
"-10","530","45","102313"
"0","700","50","102321"
"0","700","50","102331"
"-25","525","0","102332"
"-85","550","45","102511"
"0","700","50","102531"
"30","580","45","102611"
"0","700","50","102631"
"0","700","50","102632"
"-120","680","60","102711"
"0","1200","50","102712"
"0","700","50","102731"
"0","700","50","102732"
"0","900","50","102811"
"0","900","50","102821"
"0","900","50","102831"
"0","900","50","102832"
"-30","500","65","102911"
"-50","900","50","102912"
"0","900","50","102913"
"25","720","50","102931"
"-80","800","100","103011"
"0","700","50","103031"
"-65","600","50","103111"
"-65","600","50","103112"
"-35","655","50","103113"
"0","700","50","103131"
"0","700","50","103132"
"0","800","50","103133"
"50","800","80","103211"
"-65","675","60","103212"
"50","800","80","103213"
"0","700","50","103231"
"0","700","50","103232"
"90","700","50","103311"
"0","700","50","103331"
"0","700","50","103332"
"0","700","50","103333"
"0","700","50","103411"
"0","700","50","103412"
"0","700","50","103431"
"0","700","50","103432"
"0","700","50","103433"
"0","700","50","103611"
"0","700","50","103631"
"0","700","50","103632"
"-200","700","50","103711"
"-200","700","50","103712"
"0","700","50","103731"
"-50","550","50","103811"
"0","650","50","103812"
"-50","550","50","103813"
"0","700","50","103831"
"0","700","50","103832"
"-50","700","50","104011"
"0","700","50","104031"
"0","700","50","104032"
"0","700","50","104033"
"30","600","50","104211"
"-50","700","50","104212"
"0","700","50","104231"
"0","700","50","104232"
"0","750","35","104311"
"0","700","50","104331"
"90","900","30","104411"
"0","1200","50","104412"
"0","900","50","104431"
"50","680","50","104511"
"0","610","40","104512"
"0","700","50","104531"
"0","700","50","104532"
"-100","700","50","104611"
"-100","700","50","104612"
"0","700","50","104631"
"0","700","50","104632"
"0","900","50","104711"
"0","900","50","104712"
"0","900","50","104713"
"0","900","50","104715"
"0","800","50","104731"
"0","800","50","104732"
"-5","535","45","104811"
"0","700","50","104831"
"0","700","50","104832"
"0","700","50","104833"
"-200","900","50","104911"
"-10","545","50","104912"
"-200","900","50","104914"
"0","700","50","104931"
"0","700","50","104932"
"0","900","50","105011"
"0","700","50","105031"
"0","700","50","105032"
"0","900","50","105111"
"0","1200","50","105112"
"0","700","50","105131"
"0","700","50","105132"
"-200","700","50","105211"
"-150","650","50","105212"
"-140","700","50","105213"
"-45","600","60","105214"
"0","900","50","105231"
"-15","690","50","105232"
"0","900","50","105311"
"0","900","50","105312"
"0","900","50","105331"
"0","800","50","105332"
"0","900","50","105411"
"-50","700","50","105412"
"0","900","50","105431"
"0","900","50","105432"
"30","600","80","105511"
"0","700","50","105531"
"0","700","50","105532"
"0","1200","50","105611"
"0","700","50","105612"
"0","1200","50","105613"
