955e3695006b8494ad4decebe4f6cda831beb10051f5efd293a99bbe5e2e9537,20947478298e405aa63749c4f077f8cee8b64ada5da8733fd02b4df3360bd76c,e3ec5ceb5d0fbc7e4d7e2946d1dc67f3396bcf08f079058e7b7c3f6bb6c90914,df986e8a1a87e85ccd4ce9714f2a0c56984817dde12a86052a230789dba7cdda,8abe4985558069e1423cf8fdfe9bde5f8a9d33c9fa392e74d035d1993f2d700b,eda157aad033317d99b657696b388d7dd10cccff217fec8665a0d210f63f55a0,02268403c90bdee562cee234f4bc85428243c1bf002dda369c493ee7e9c3e72e,a879a5aa4c0e0aef327ccf0e776ce24c1cf2127e263699c56aaf44365295cea2,be73f0be39ab6729ab28765b6b3cf2d0bb2d70f264fdb08986e27f568ae55257,ad5625d661f5f18b9dfe831bb6bf94bb066cd13a752df38ca378269e4b77c08d,adefa39c0006df61280764184b3a69a032e232973bd200302f3a06d33ef06ff2,766e39da38acb4269827d054c2f4e270decf90e7d74066213ec90383c199afe0,d6cc5f5c2d172f7f30362ea675d7b83082f687557be0ab45d72b4b882886fceb,ec7b721b9c7f9ffc1a4d9d5fad284912d162bed6cb3cba271d866dd09e1db9c6,2c0c55a66d4a06192e879c2b7998a2a4b4f2fc3a48ae18f12178364ea2d7e96e,ec5780a087c8e4bf04c3ba8562e55e6d89458c0b66322d976ed7653ca4c56b4d,3775dd965e401e25a0fdca5ed528f65e071827a7142266722c7784ae096b7cfe,9cece4a325269735651dfc4b300c28e8c0481c6b18ccadd835172ac73efd7cf4,be681f3ebe790afb9e2399d76cd31cd90570e268c2567abf6e6a5baa022c82df,976a583f2ccf88b8f1f2e3a9fdbea6d7b003c6be4a5d5ef0f39d2cccd8de1027,0ac660126cb7dd877669f215c355f0da8d882119550b29b05ef010d90c048445,1419e4d160333d649320728dbef461cf6ef9cb837de2f63ae07197239bca92aa,5f929dc4fb1f5bebd632e3aac81ab560dd1336ab537976366db907958b17bc15,8d9dc96d5e5eb65b5c20e7ca370176d74a3daca3d8f4c84a5462bc7daa8080fc
"1","日和","450","100101","100101","2015/04/01 15:00:00","2030/12/31 15:00:00","0","【物理】位於前衛，壓制敵方前線，精神百倍並帶著笑容的女孩。\n擁有能大幅度攻擊前衛的必殺技，以及能加強自身攻擊力的技能的攻擊者。","0","200","0","0","7","100101","1","0","1","2.295","100101","1","日和","0","0"
"2","優衣","450","100201","100201","2015/04/01 15:00:00","2030/12/31 15:00:00","0","【魔法】位於最後列，恢復及輔助己方的魔法師。\n打擊力量微弱，但擁有高度魔法攻擊力，當 Rank 上升，其攻擊力及輔助能力將會取得平衡。","0","800","0","0","7","100201","1","0","7","2.27","100201","7","優衣","0","0"
"1","怜","450","100301","100301","2015/04/01 15:00:00","2030/12/31 15:00:00","0","【物理】位於前衛，能使出單點突破來討伐敵方，是一名孤高的劍士。\n必殺技與一般技能，皆為了打倒眼前敵人而特化，\n並驅使攻擊技能和反擊技能來壓制前線。","0","250","0","0","7","100301","1","0","4","1.965","100301","4","怜","0","0"
"1","禊","450","100401","100401","2015/04/01 15:00:00","2030/12/31 15:00:00","0","【物理】在最前線干擾敵人物理攻擊的淘氣少女。\n擁有能使眼前的敵人陷入黑暗狀態、命中率大幅下降之外，\n還能使一名敵人的物理攻擊力下降的技能。","0","205","0","0","13","100401","1","0","1","2.17","100401","1","禊","0","0"
"1","茉莉","450","100501","100501","2019/01/22 16:00:00","2030/12/31 15:00:00","0","【物理】以機敏的行動在敵陣穿梭的先鋒見習騎士。\n以必殺技衝進對手陣地中央，\n再攻擊自己周圍的技能來進攻對手。","0","185","0","0","2","100501","2","0","2","2.125","100501","2","茉莉","0","0"
"2","茜里","450","100601","100601","2015/04/01 15:00:00","2030/12/31 15:00:00","0","【魔法】位於中衛，擔任魔法隊中強化與恢復的角色，是雙胞胎中的妹妹。\n擁有能大幅降低敵人魔法防禦力的技能，以及可提升魔法攻擊力及擁有恢復效果的必殺技。","0","570","0","0","14","100601","2","0","6","2.19","100601","6","茜里","0","0"
"1","宮子","450","100701","100701","2015/04/01 15:00:00","2030/12/31 15:00:00","0","【物理】在最前線專門閃避敵人攻擊的幽靈少女。\n以技能變身成為幽靈來躲避敵人攻擊，\n必殺技則是把敵人變成布丁吃掉。","0","125","0","0","14","100701","2","0","3","1.7","100701","3","宮子","0","0"
"2","雪","450","100801","100801","2015/04/01 15:00:00","2030/12/31 15:00:00","0","【魔法】位於後衛，能輔助物理隊伍，是個活生生的藝術品。\n除了能提早發動己方必殺技的技能，還擁有能使敵人陷入黑暗狀態，藉此封鎖敵人物理攻擊的技能。","0","805","0","0","12","100801","2","0","7","2.07","100801","21","雪","0","0"
"2","杏奈","450","100901","100901","2015/04/01 15:00:00","2030/12/31 15:00:00","0","【魔法】可從中衛發動壓倒性的魔力來攻擊敵人，人稱之疾風之冥姬。\n施展必殺技能雖能給予敵軍全體大規模的傷害，\n然而卻因這份魔力過於強大，對自己也有相當的風險。","0","440","0","0","11","100901","3","0","5","2.25","100901","5","杏奈","0","0"
"2","真步","450","101001","101001","2015/04/01 15:00:00","2030/12/31 15:00:00","0","【魔法】位於後衛，負責支援己方的童話少女。\n擁有可加強己方全體，恢復ＴＰ之必殺技，\n以及可恢復ＨＰ，使敵方陷入黑暗的技能，能使戰況好轉。","0","795","0","0","4","101001","3","0","7","2.27","101001","7","真步","0","0"
