7e2391889ecbe61819be1425641757d7cef943117652331f9749ce3d5c4b5b40,87055b49117ee2b83d601d1758a4037f0b9208cb59c0e45ee59e2f715ebf1927,edd082bfdd70a4c0dc5884d1655606776423026885cfcb70ff3c08e7e86ab084,1021f036ad88dcae809ccefd916b0b6fa53e7606b7f5b7ef4ed43cce3091c2c6,a48eaede70c5a669a10b9e31a8d1586e5662e9f8425e23ee8504d1a9d7b4331f,a47720a481189adcbe781379540b441f526f5fa4b1db079520e7bfaf3d26692e,249a396bbaea0a89fd2d656eb72a3a6ce0df658f498e995125745911b354d7b4,add62c3ff36cb92004f77ff2a35d1dfb43459fa7cb540c1004c5525d5c0d4919,87072e3b274f408d4630d82dd8cec734b4e7709bb2e059f877d8c19b370a6da1,2a42c6b3e3d42cb02c69af16b6ffc53bc1cddddd26dd36d8d8ea943af2e5e153,610a611107e0435a34f6b5c0155287fa7e358bc73127de203ae75f6c96664502
"1","101","101001","-100","0","nop_idle_joy1","111831","-150","1","115","1.5"
"1","101","101002","100","1","nop_idle_normal_joy","120731","-150","1","114","1.5"
"1","101","101003","-215","0","nop_idle_arm_crossed","120831","-127","1","111","1.5"
"1","101","101004","215","1","nop_idle_normal","111931","-127","1","110","1.5"
"1","101","101005","-330","0","nop_idle_thinking","120931","-150","1","113","1.5"
"1","101","101006","330","1","nop_idle_normal","112031","-150","1","112","1.5"
"1","102","102001","-100","0","nop_idle_joy1","108731","-150","1","115","1.5"
"1","102","102002","100","1","nop_idle_joy_normal","108831","-150","1","114","1.5"
"1","102","102003","-215","0","nop_idle_normal","108931","-127","1","111","1.5"
"1","103","103001","-100","0","nop_idle_joy1","102011","-135","1","113","1.5"
"1","103","103002","-215","0","nop_idle_normal","100411","-150","1","115","1.5"
"1","103","103003","100","1","nop_idle_wish","103631","-143","1","114","1.5"
"1","104","104001","-100","0","nop_idle_normal","101231","-150","1","115","1.5"
"1","104","104002","100","1","nop_idle_normal","104011","-150","1","114","1.5"
"1","104","104003","-215","0","nop_idle_normal","101511","-127","1","111","1.5"
"1","105","105001","-100","0","nop_idle_normal","103111","-135","1","113","1.5"
"1","105","105002","100","1","nop_idle_sad","102211","-135","1","111","1.5"
"1","105","105003","-215","0","nop_05_miyako_idle_normal","100711","-150","1","115","1.5"
"1","105","105004","215","1","nop_idle_joy1","100611","-150","1","112","1.5"
"1","105","105005","-25","1","nop_skull_idle","2051","-135","5","114","1.5"
"1","106","106001","-215","0","nop_idle_arm_crossed","104731","-150","1","115","1.5"
"1","106","106002","215","1","nop_idle_arm_crossed","107131","-150","1","114","1.5"
"1","106","106003","-100","0","nop_idle_normal","103731","-135","1","111","1.5"
"1","106","106004","100","1","nop_idle_joy1","100511","-135","1","110","1.5"
"1","107","107001","-100","0","nop_idle_normal","102831","-150","1","115","1.5"
"1","107","107002","100","1","nop_idle_normal","102111","-150","1","114","1.5"
"1","107","107003","-215","0","nop_idle_normal","102511","-127","1","111","1.5"
"1","107","107004","215","1","nop_idle_normal","102311","-127","1","110","1.5"
"1","108","108001","-100","0","nop_idle_joy_normal","101011","-150","1","115","1.5"
"1","108","108002","100","1","nop_idle_arm_crossed","104331","-150","1","114","1.5"
"1","108","108003","-215","0","nop_idle_joy1","101711","-127","1","111","1.5"
"1","108","108004","215","1","nop_idle_normal","101431","-127","1","110","1.5"
"1","109","109001","-100","0","nop_idle_joy1","103311","-150","1","115","1.5"
"1","109","109002","-215","0","nop_idle_joy_normal","105211","-127","1","111","1.5"
"1","109","109003","100","1","nop_idle_sad2","102611","-150","1","114","1.5"
"1","109","109004","215","1","nop_idle_normal","103811","-127","1","110","1.5"
"1","110","110001","-100","0","nop_idle_joy1","103231","-150","1","115","1.5"
"1","110","110002","215","1","nop_10_yukari_02","103411","-127","1","110","1.5"
"1","110","110003","215","1","nop_10_yukari_02","11","-127","5","111","1.5"
"1","110","110004","100","1","nop_idle_doya","104811","-150","1","114","1.5"
"1","110","110005","-215","0","nop_idle_joy_normal","104611","-127","1","111","1.5"
"1","111","111001","-100","0","nop_11_anna_idle_arm_crossed","100911","-150","1","115","1.5"
"1","111","111002","100","1","nop_idle_joy_normal","101311","-150","1","114","1.5"
"1","111","111003","-215","0","nop_11_eriko_idle_wish","102711","-127","1","111","1.5"
"1","111","111004","215","1","nop_idle_normal","105111","-127","1","110","1.5"
"1","112","112001","100","1","nop_idle_joy1","101831","-143","1","115","1.5"
"1","112","112002","-100","0","nop_idle_joy_normal","101611","-135","1","110","1.5"
"1","112","112003","-215","0","nop_idle_joy_normal","105011","-150","1","114","1.5"
