41e7fd423e4faabb4d474ca1e1ad20853a495c3341dded93665c55f8128478cc,12b6b64082112f9756bca6dc1798858294e79556aa0645b954fbd73dcfd11dca,46e0c76d7921fb4a4bdc472863f45d537feafa17b4915380d15675752a20f54c,191e93c3a266701d5a0232858624415d21e9ad2395286150d7873cc693bbee0e,1fad219a1a93d0341a046d75f58e8d5543a3b22465f7e3a9e4f593034695c8d5
"1","3","1","10201","2"
"2","3","2","10202","2"
"3","3","3","10203","2"
"4","10","4","10301","2"
"5","10","5","10302","2"
"6","10","6","10303","2"
"7","10","7","10304","2"
"8","20","8","10401","2"
"9","20","9","10402","2"
"10","20","10","10403","2"
"11","20","11","10404","2"
"12","20","12","10405","2"
"13","20","13","10406","2"
"14","20","14","10407","2"
"15","20","15","10408","2"
"16","20","16","10409","2"
"1","3","17","10701","1"
"2","3","18","10601","1"
"3","3","19","10602","1"
"4","3","20","10603","1"
"5","3","21","10604","1"
"6","10","22","11301","1"
"7","10","23","11302","1"
"8","10","24","11303","1"
"9","20","25","11401","1"
"10","20","26","11402","1"
"11","20","27","11403","1"
"12","20","28","11601","1"
"13","20","29","11602","1"
"14","20","30","11603","1"
"15","20","31","11604","1"
"16","20","32","11605","1"
"17","20","33","11606","1"
"18","20","34","11101","1"
"19","20","35","11102","1"
"20","20","36","11103","1"
"21","20","37","11701","1"
"22","20","38","11702","1"
"23","20","39","11703","1"
"1","3","40","10501","3"
"2","3","41","10502","3"
"3","3","42","10503","3"
"4","10","43","11201","3"
"5","10","44","10801","3"
"6","10","45","10802","3"
"7","10","46","10803","3"
"8","10","47","10804","3"
"9","20","48","10901","3"
"10","20","49","10902","3"
"11","20","50","10903","3"
"12","20","51","10904","3"
"13","20","52","11001","3"
"14","20","53","11002","3"
"15","20","54","11003","3"
"16","20","55","11501","3"
"17","20","56","11502","3"
"18","20","57","11503","3"
"19","20","58","11504","3"
"20","20","59","11505","3"
"21","20","60","11506","3"
