bdd5280b2fda127f0a98cdfb8a3ed0be7e4b1ac9230efb6ed68d24c87001cf43,12cda3b652e98faba888d662c70efb9692fedff213eff69cd99d8a5667e9ad1f,84d4d8113d5ad934ffde555d8057f05a08259c7e62415f49e2896a15928a05aa,d68430f31e530b4c6783de6ca5e97e581ae258d4db1cf990d60ed3593d032c58,a906406d695f996940382b8b4bf065d444f3baffc3fae29bf5770d95ddacaacc,0a97798ed9ca0e9706a5fd3ff475afcda0bc12a3a61e7b9c1c1d3f781bc4b512,3de4ef021495f141882ed5d9ae69441e74471c888ffb50606cb5c1d2b7ea25c8,d5a53a969e928e38c83ae9086e54a11e05b68a1295aa7ddb9b98c8ecf1c3f235,587e3b2acc97ac83fd2a0f42e937919e133134fc6d92d2c9a1dd226b799aaf85,258ac719b67443b7a163055ba546a297ba4b8527d864644ad3d2e37f065caa13,f5e27528355b9e90e868de7f6f386a5d91eb49c25c82f42f635356c472a6466f
"100","119931","1","1","1","-220","0","psy_miyako_idle","-200","1.7","1001"
"100","1","5","1","1","-220","1","psy_idle_normal","1000","1.7","1002"
"105","2","5","1","1","-220","0","psy_fairy_idle","-50","1.7","1003"
"0","11","31","1","1","1","","","0","1","1004"
"1","psy_item00_run","3","1","1","","","","","0.2","1005"
"-220","285","2","1","1","0","","","2.5","","1006"
"","","93","2.5","1","","","","","","1007"
"1","psy_item00_idle","3","1","1","","","","","0.2","1008"
"","","93","0.5","1","","","","","","1009"
"1","psy_miyako_talk1","3","119931","1","","","","","0.2","1010"
"0","vo_minigame_1008_drama_0101","21","vo_minigame_1008","1","","","","0","","1011"
"5","等老奶奶買完東西回來後，\n宮子要給她看\n究極的布丁，\n讓她大吃一驚喲！","11","119931","1","0","0","0.5","1","0","1012"
"","1","93","6","1","","","","","","1013"
"0","psy_miyako_doya_in","3","119931","1","1","0.2","","psy_miyako_doya_loop","0.2","1014"
"","","91","1012","1","","","","","","1015"
"","0","22","0","1","","","","","","1016"
"1","psy_fairy_talk","3","2","1","","","","","0.2","1017"
"0","vo_minigame_1008_drama_9901","21","vo_minigame_1008","1","","","","0","","1018"
"3","啾啾！","11","2","1","0","0","0.5","1","0","1019"
"","","91","0","1","","","","","","1020"
"1","psy_fairy_idle","3","2","1","","","","","0.2","1021"
"1","psy_miyako_talk2","3","119931","1","","","","","0.2","1022"
"0","vo_minigame_1008_drama_0102","21","vo_minigame_1008","1","","","","0","","1023"
"3","你也想幫忙嗎？\n那就去真陽那邊\n帶很多蛋和牛奶回來吧！\n材料越多越好喲！","11","119931","1","0","0","0.5","1","0","1024"
"","1","93","2","1","","","","","","1025"
"1","psy_miyako_talk_joy2","3","119931","1","","","","","0.2","1026"
"","","91","1024","1","","","","","","1027"
"","0","22","0","1","","","","","","1028"
"1","psy_miyako_idle","3","119931","1","","","","","0.2","1029"
"","1","4","2","1","","","","","","1030"
"0","psy_fairy_run_in","3","2","1","1","0","","psy_fairy_run","0.2","1031"
"","","93","1.3","1","","","","","","1032"
"-220","1000","2","2","1","0","","","1","","1033"
"","","93","2","1","","","","","","1034"
"0","psy_miyako_doya_in","3","119931","1","1","0.2","","psy_miyako_doya_loop","0.2","1035"
"0","vo_minigame_1008_drama_0103","21","vo_minigame_1008","1","","","","0","","1036"
"4","你也來幫宮子的忙！\n麻煩的事情全部都\n交給你喲！","11","119931","1","0","0","0.5","1","0","1037"
"","","91","0","1","","","","","","1038"
"","0","22","0","1","","","","","","1039"
"1","11","12","1","1","0","0","0","0","0","1040"
"0","psy_item00_talk_guts","3","1","1","1","0.2","","psy_item00_idle_guts","0.2","1041"
"","","93","2","1","","","","","","1042"
"1","psy_miyako_talk_joy2","3","119931","1","","","","","0.2","1043"
"0","vo_minigame_1008_drama_0104","21","vo_minigame_1008","1","","","","0","","1044"
