567cc9384511300b814d811861650e21a316663e73be52633980bb06cdcf92cc,81dcf7232299923f83c6f17a47addda0f0938aed1b1ea583bca09196c1269d9d,a52adc9f5d0d8a478633aa4bf7ff7817ddeca6855733ccba078c1c7040ad79ee,731f70fb63a1dbdbcea1d8175f9d76fd19736b876780137b61e150a4b74aafa9,6021973bf187a00a20c055145dce264c100b29a475315fe598c74a24e7e0613d,fb436fd00ee653601f854ca8b94910e2abbf39e316731f5a087567d14b7d7212,726985d25ff1e2e613ad0fc867bd29841e7081ec1a2df265d6a3f2527728daee,1579f6850462aeb58c2b8a8e80520a6b8b02f81726f876b575046e1dba2168d3,a9dd76c060a69e4b4329d836d76d1aefdd82ebb3f1c253a9ac7b179e08399c2d,8911824633d32f43d92f368f1b14ed00823335da1999727e0ab8a736570479f2,c3f6c1058541a70a5ffb3be8869d66f039f14204d77b115b57bab5c04b823ee6,91e111eb14d7707c47e567d014050c33cc0ee6a601b71f06ef62cd288e2e7fe7,10ceef18f037068e070ae43377ca4fbdcdf0a67f38966d9bf82b1b918ac925b1,fe4f0abc271fb051f74a8ebfa5e8a453f8f2b814e9f87a9033576900184e7861,bc1e3eda6c2ca90c928f6ce7062936621b5bdc711315a402c2ed46eb607dd6dc,b28cebb3560a314e88c990b9c560dd4140eb9e9e4693def97d95a3ecf9f15631,8f17e3682639a897a7d977d84bf9a1ba4397344401b0b8f956c7c87e67ca5b6a,fa1b0f5d2031e8adbe9842b58c1b46712d5782eef02ae0f5fe614239adf06b02
"1","2","8","0","91002","150","5","20003","2","5","0","12","20","0","94002","22003","150000","1"
"6","2","8","0","91002","145","9","20003","2","2","0","12","15","0","94002","22003","100000","2"
"10","2","8","0","91002","140","19","20003","2","5","0","12","11","0","94002","22002","80000","3"
"20","2","8","0","91002","130","29","20003","2","5","0","12","10","0","94002","22002","80000","4"
"30","2","8","0","91002","120","39","20003","2","4","0","12","9","0","94002","22002","70000","5"
"40","2","8","0","91002","110","49","20003","2","4","0","12","8","0","94002","22002","70000","6"
"50","2","8","0","91002","100","99","20003","2","3","0","12","7","0","94002","22002","60000","7"
"100","2","8","0","91002","80","499","20003","2","2","0","12","2","0","94002","22002","40000","8"
"500","2","8","0","91002","50","999","20002","2","1","0","12","7","0","94002","22002","20000","9"
"1000","2","8","0","91002","20","4999","20002","2","3","0","12","4","0","94002","22001","16000","10"
"5000","2","8","0","91002","15","9999","20002","2","2","0","12","3","0","94002","22001","9000","11"
"10000","2","8","0","91002","10","11999","20001","2","1","0","12","8","0","94002","22001","4000","12"
"12000","2","8","0","91002","5","13999","20001","2","1","0","12","7","0","94002","22001","3000","13"
"14000","2","8","0","91002","4","14999","20001","2","1","0","12","6","0","94002","22001","2000","14"
"15000","2","8","0","91002","3","30000","20001","2","1","0","12","5","0","94002","22001","1800","15"
