a3f308b748b2f895ee45224c4f5885f8aea14ad2146febdc7079ee2d46b9fe33,cdc40779c8320d8899aa7cc53602a7e3eb9f4481bc34e69d37f6cfeda1c6fdbd,bf2cac36760e98c04c36919992739bc1829e488c24b10831c6e0d09d46523783,6a819c555274fc5ddd57707770811e6fce3ac3fae1735833c1168ea0d66dc926,34579728180552c3214e7df03c6cd0de667da3d13c2033f39761fbb5c9371673,cc1bf6b715805e2f7d516a62af727ebbad68d6945a5f1cf0f528df0e973a65f0,ee53d287fb2c5c4f6a4a32118dbfbe2a075db0e476107eec86344c5c2b57b636,6faeaa38bb96193c7ce5dd10a4219c182c2769fe1f5a5fe3ffd37db720f65d99,1a2eae7e2f7c29ca746ef10ea7672c41312307bac803e76cd7b69ffc9c9a31cd,28e7202d11d1291fc77eea44b544ff05c2004640bd7cb00b083fd89c784fe958,23b0517f17c505a8523ed2115ec2728057f4360a4abd19d52984adaa67323901,24477423c118885b91a26831b71ee8b2a13dbdd8688079d5c81c150cb9c178d2,c2673082fdd742eada6850d97109d015d92cde2889aa54d586463985e2d7b998,70f8e75d021611db4f473379b66df461ead5021c522e490e53ef154e9eac1187,cf39c8faf42261057cf2a2fa6391b82323c1868e81417b59fad08a11fa941215,ff71f93d8e08a9b3a71b2fdd33a18e464e969aff81ad05a48d2a98c7cc0b8cf7,04e3f90942e6c6333f576d450d8b05cba83c371d447aa70165535db890f49061,ac6b131bca7956de172a19e1aaba792f228f0b752fd8b2589f0d2be119819220,520ad71b31347ba2e9f2b9d08d3dd95d81e57a7574ee0b4d376458ad71f5aa1d,5cd4c5705ea738c543075e9d82156bf3fb24a297adbd07547de90e819cf7106f,3a7ff5153c606d20d321ae38baa7600591ebb7eca9a29498365a4ac459d6b679,5bdf2bb83ccee9eb8c6643d3535ab4aa4d6dabba5962116a16f1e6af568650b1
"250","0.8","1","0","bgm_M64","1","0.7","1","10010101","101001","-480","-30","101001","10","-30","210","1","0.6","0","1","1001","-120"
"0","1.2","2","0","bgm_M64","1","1","1","10010102","101001","-260","-30","101001","10","0","200","2","0.75","0","1","1001","-120"
"100","1.1","3","0","bgm_M64","1","1","1","10010103","101001","-40","-30","101001","0","-10","200","3","0.75","-50","1","1001","0"
"0","1","4","0","bgm_M64","1","1","1","10010104","101001","240","-30","101001","0","0","200","4","0.7","0","1","1001","-50"
"200","1.3","5","0","bgm_M55","1","1","1","10010105","101011","480","-30","101011","0","0","250","5","1.2","0","1","1001","-40"
"250","0.8","1","0","bgm_M64","1","0.7","1","10020101","101001","-480","-30","101021","10","-30","210","1","0.6","0","1","1002","-155"
"250","1.2","2","0","bgm_M64","1","1","1","10020102","101001","-265","-30","101021","10","0","200","2","0.75","0","1","1002","-120"
"100","1.4","3","-15","bgm_M64","1","1","1","10020103","101001","-30","-30","101021","0","-10","200","3","0.9","-30","1","1002","30"
"100","1.5","4","0","bgm_M64","1","1.25","1","10020104","101001","220","-30","101021","0","0","200","4","1","-30","1","1002","-90"
"200","1.8","5","0","bgm_M55","1","1.6","1","10020105","101011","440","-30","101031","0","0","250","5","1.4","0","1","1002","0"
"250","0.8","1","0","bgm_M64","1","0.7","1","10030101","101041","-470","-30","101041","10","-30","210","1","0.6","0","1","1003","-155"
"250","1.2","2","0","bgm_M64","1","1","1","10030102","101041","-210","-30","101041","10","0","200","2","0.75","0","1","1003","-95"
"100","1.1","3","0","bgm_M64","1","1","1","10030103","101041","50","-30","101041","0","-10","200","3","0.75","-50","1","1003","-120"
"100","1.5","4","0","bgm_M64","1","1.2","1","10030104","101041","195","-30","101041","0","0","200","4","0.8","-30","1","1003","35"
"150","1.8","5","0","bgm_M55","1","1.35","1","10030105","101042","450","-30","101042","0","0","210","5","1.1","-50","1","1003","-55"
"250","0.8","1","0","bgm_M64","1","0.7","1","10040101","101161","-480","-30","101161","10","-30","210","1","0.6","0","1","1004","-120"
"0","1.2","2","0","bgm_M64","1","1","1","10040102","101161","-260","-30","101161","10","0","200","2","0.75","0","1","1004","-120"
"100","1.4","3","-15","bgm_M64","1","1","1","10040103","101161","-20","-30","101161","0","-10","200","3","0.9","-30","1","1004","55"
"0","1.3","4","0","bgm_M64","1","1","1","10040104","101161","180","-30","101161","0","0","200","4","0.9","-30","1","1004","-30"
"200","1.2","5","-40","bgm_M55","1","0.9","1","10040105","101162","470","-30","101162","0","-30","250","5","0.9","-50","1","1004","-60"
"250","0.8","1","0","bgm_M64","1","0.7","1","10050101","101161","-480","-30","101171","10","-30","210","1","0.6","0","1","1005","-120"
"0","1.2","2","0","bgm_M64","1","1","1","10050102","101161","-260","-30","101171","10","0","200","2","0.75","0","1","1005","-120"
"100","1.4","3","-15","bgm_M64","1","1","1","10050103","101161","-20","-30","101171","0","-10","200","3","0.9","-30","1","1005","45"
"0","1","4","0","bgm_M64","1","1","1","10050104","101161","190","-30","101171","0","0","200","4","0.7","0","1","1005","-70"
"200","1.3","5","-40","bgm_M55","1","1","1","10050105","101162","445","-30","101172","0","0","240","5","1","-30","1","1005","-25"
"250","0.8","1","0","bgm_M64","1","0.7","1","10060101","101161","-480","-30","101191","10","-30","210","1","0.6","0","1","1006","-120"
"0","1.2","2","0","bgm_M64","1","1","1","10060102","101161","-260","-30","101191","10","0","200","2","0.75","0","1","1006","-100"
"100","1.1","3","-15","bgm_M64","1","1","1","10060103","101161","-10","-30","101191","0","-10","200","3","0.8","0","1","1006","65"
"0","1.2","4","0","bgm_M64","1","1","1","10060104","101161","190","-30","101191","0","0","200","4","0.8","0","1","1006","-110"
"270","1.15","5","0","bgm_M55","1","1","1","10060105","101162","485","-30","101192","-10","-45","280","5","0.9","-50","1","1006","-70"
"250","0.8","1","0","bgm_M64","1","0.7","1","10070101","101161","-480","-30","101201","10","-30","210","1","0.6","0","1","1007","-120"
"120","1.2","2","0","bgm_M64","1","1","1","10070102","101161","-260","-30","101201","10","0","240","2","0.9","0","1","1007","-120"
"100","1.1","3","-15","bgm_M64","1","1","1","10070103","101161","-10","-30","101201","0","-10","200","3","0.8","0","1","1007","65"
"100","1.2","4","0","bgm_M64","1","1","1","10070104","101161","190","-30","101201","0","0","200","4","0.9","0","1","1007","-110"
"270","1.45","5","-20","bgm_M55","1","1","1","10070105","101162","475","-30","101202","10","-45","250","5","1","-50","1","1007","-30"
"250","0.8","1","0","bgm_M64","1","0.7","1","10080101","101161","-480","-30","101291","10","-30","210","1","0.6","0","1","1008","-120"
"120","1.2","2","0","bgm_M64","1","1","1","10080102","101161","-260","-30","101291","10","0","240","2","0.9","0","1","1008","-120"
"100","1.1","3","-15","bgm_M64","1","1","1","10080103","101161","-40","-30","101291","0","-10","200","3","0.8","0","1","1008","65"
