03ba5900da75e9c5b2d7ca32dd3febfed73e62a4f3ef55e59e7f46423a7a9e04,98c6e53c64d7d2981b34ab9d996e9d40221840b35e73cf9ed97d0ac2afc47a88,9d5aa9238ed00b0833085bacbfbec8fd9e2a0effdcdbf335aa5e477003fdd6d7,41ab00727732ebbce9b161725dede638dcac90e3adb4a2e838c58367bccb9550
"界雷","2017","小幅度提升魔法攻擊的傷害，並造成進行物理攻擊的角色每次行動時最高HP的傷害，最大為99999。","137"
"百花繚亂","2017","經過一定的時間後，中幅度回復我方及敵人全體ＴＰ。","146"
"炎天烈日","2017","經過一定的時間後，依照其最大ＨＰ，對敵人、我方全體造成最大20萬的比例傷害。同時被施加的持續傷害將會上升。","147"
"秋高馬肥","2017","經過一定的時間後，提升敵人、我方全體的物理攻擊力、魔法攻擊力、物理防禦力、魔法防禦力。此效果的效果量會隨著敵人、我方的數量總和而增加。","148"
"寒氣凜冽","2017","小幅度降低敵人、我方全體的行動速度。此技能的效果可與其他行動速度變化技能疊加，同時在經過一定時間後，對行動速度低於初期數值的角色施加凍結狀態。","149"
"妨魔塵","2017","小幅度降低魔法攻擊的傷害。","162"
"雷雲","2017","每當經過一定時間，對敵方全體依照最大ＨＰ造成魔法比例傷害。同時，當角色的ＨＰ低於50％時，賦予麻痺狀態。此效果造成的傷害，將不會恢復TP。此效果所造成的狀態異常，即使傷害無效也會賦予狀態。","164"
"暴風","2017","經過一定的時間後，擊退全體敵人。","169"
"豪雨","2017","每當經過一定時間，小幅度降低敵方全體的行動速度直到戰鬥結束。同時，小幅度降低物理攻擊力與魔法攻擊力直到戰鬥結束。","170"
"絕冰","2017","小幅度提升物理攻擊暴擊時的傷害。","175"
"雷雲","2017","每當經過一定時間，對敵方全體依照最大ＨＰ造成魔法比例傷害。此效果造成的傷害，將不會恢復TP。","186"
"忌火","2017","延長造成持續傷害的狀態異常的傷害發生間隔與效果時間","207"
"瑪那的脈流","2017","經過一定的時間後，提升敵人、我方全體的物理攻擊力、魔法攻擊力。此效果的效果量會隨著當前目標的物理攻擊力、魔法攻擊力而增加。","228"
