7e2b59f52814421781ec1e268e1d97dca4fa6b01cecde9994e43c8d5b439e020,80ba536f9eaf3d65a1b12d10e68b13eae80a19a8e411932fd892fe0e65f6db3c,2b7fecd10fd6ad15ff3d721b247415f8d4f5f1eaade1ffe929811373090ec421,eb4b1a94db4952b0202e11015016c95b1b9005275b8913e237a8091f8b24c325,116fee4e64462a653e2b489d5345443b72f67ad0df7420d4e481d02bc449cb99,403ec776ed34daafa0a2c225e5851f095eb96c39141ca1c7a9f48a32fd739391,c2c3d25a2cea88c266f33cf71547ab9d05cd5424dc52869227ee1324927f9ce2,0756eda4413f0ac9025f08e2d4e1caa8d51deeb5b1b6cb17a9ab652a6cd29454,64c8811cf506648a6ccd8696c938bf61b9df985414cd9df94c532bcaf301df95
"100101","6","2","1","2","3","3","2","1"
"100201","5","1","3","1","2","3","1","2"
"100301","7","3","1","1","3","2","2","3"
"100401","13","2","1","2","3","2","2","3"
"100501","18","2","2","2","1","3","3","2"
"100601","25","2","1","1","2","3","3","2"
"100701","26","3","3","2","2","3","1","2"
"100801","40","3","3","2","1","2","1","3"
"100901","34","3","1","1","3","2","3","2"
"101001","8","1","3","1","2","3","1","2"
"101101","56","2","2","3","2","3","1","2"
"101201","43","2","1","3","3","1","2","2"
"101301","33","2","1","1","1","3","3","3"
"101401","11","1","3","1","1","2","2","2"
"101501","42","1","3","1","2","2","1","3"
"101601","46","2","2","3","1","3","1","3"
"101701","10","2","1","3","1","3","2","2"
"101801","45","1","3","1","1","2","2","3"
"102001","12","1","2","2","3","3","2","1"
"102101","30","1","1","1","2","3","2","3"
"102201","24","1","1","3","2","1","2","3"
"102301","31","2","1","2","3","3","3","1"
"102501","29","1","3","3","1","2","1","2"
"102601","51","1","3","2","2","3","1","1"
"102701","36","3","2","2","3","1","1","3"
"102801","28","1","2","2","1","2","1","3"
"102901","52","1","2","2","2","3","1","2"
"103001","39","2","2","1","1","3","2","3"
"103101","27","3","3","2","3","2","1","1"
"103201","19","2","3","2","3","1","1","2"
"103301","48","2","2","1","3","3","2","1"
"103401","20","1","2","2","2","1","3","2"
"103601","14","3","3","2","1","1","3","2"
"103701","17","3","1","2","1","2","3","3"
"103801","49","3","3","1","2","2","3","1"
"104001","44","1","2","3","2","1","3","1"
"104201","53","3","3","2","1","2","2","2"
"104301","9","3","1","3","3","2","1","2"
"104401","23","3","3","1","3","2","2","1"
"104501","38","1","2","1","2","2","3","2"
"104601","21","2","3","3","2","2","1","1"
"104701","15","3","1","3","1","2","3","2"
"104801","22","3","1","3","2","1","2","3"
"104901","55","1","2","2","3","2","1","2"
"105001","47","1","2","3","1","3","2","2"
"105101","35","3","3","3","1","1","2","1"
"105201","50","2","2","2","2","3","1","2"
"105301","37","3","1","2","3","2","1","3"
"105401","54","2","2","3","2","3","1","1"
"105501","41","1","2","1","3","2","3","1"
"105601","32","3","1","3","2","3","1","2"
"105701","67","1","1","2","2","3","2","2"
"105801","1","2","2","2","2","3","1","2"
"105901","2","1","3","1","2","2","2","2"
"106001","3","3","2","3","1","2","3","1"
"106101","58","2","1","2","3","3","2","2"
"106301","68","1","1","2","3","3","2","1"
"106401","4","1","1","2","2","3","3","2"
"106501","61","3","1","2","1","3","3","2"
"106601","62","2","3","2","1","3","3","1"
"106701","60","3","2","1","1","2","2","2"
"106801","57","1","1","2","1","1","3","2"
"107001","59","3","3","1","2","1","2","1"
"107101","16","3","1","2","2","1","2","3"
"109201","70","1","2","1","2","2","2","2"
"109301","72","2","2","3","2","3","1","2"
"109401","71","3","1","3","1","2","2","3"
"110801","64","1","1","3","2","2","2","2"
"110901","65","2","2","2","1","2","1","3"
"111001","63","3","3","1","1","3","2","1"
"111401","69","2","2","3","2","2","3","1"
"118001","66","2","3","3","1","1","2","2"
