316ca043546ad7284de9ebf9172b9f6eb9787b08c3c188aa734c936bc9e8611a,63553e8d19189eb6996f3bc86ad7480ed515b7424f45596c8055fde3cd355eeb,ccf12dc6c797f01abd0becb80e4e202d556dd4fc3fd24013deaf172081065bda
"2","138401","135801"
"3","138401","135801"
"4","138401","135801"
"5","138401","135801"
"6","138401","135801"
"7","138401","135801"
"8","138401","135801"
"2","138501","136001"
"3","138501","136001"
"4","138501","136001"
"5","138501","136001"
"6","138501","136001"
"7","138501","136001"
"8","138501","136001"
"2","118401","180701"
"3","118301","180701"
"4","118401","180701"
"5","118401","180701"
"6","118301","180701"
"7","118401","180701"
"8","118301","180701"
"9","170101","105701"
"10","170101","105701"
"11","170101","105701"
"12","170101","105701"
"2","120401","180801"
"3","120501","180801"
"4","120601","180801"
"5","120501","180801"
"6","120601","180801"
"7","120501","180801"
"8","120401","180801"
"2","121701","180901"
"3","121801","180901"
"4","121701","180901"
"5","121801","180901"
"6","121701","180901"
"7","121801","180901"
"8","121801","180901"
"2","124401","181001"
"3","124301","181001"
"4","124401","181001"
"5","124401","181001"
"6","124301","181001"
"7","124401","181001"
"8","124301","181001"
"2","128201","181101"
"3","128101","181101"
"4","128201","181101"
"5","128201","181101"
"6","128101","181101"
"7","128201","181101"
"8","128101","181101"
