6b3277e74437bb5da8fabd1ed5cc06ee6d06792d1e1a62e53128a832b3ef1f67,5cd9888d6f727c7e53f6b6e1917f5ae25096d26219126cb02e8c7bc7403eb157,96528b53d06fe7c80359e00e7a867ca5d8d6ba2474acec91105730e1c64ed42e,77fde8fbdc86e1b77f425d26bf3fea07883fb5418ef30c177ca3ce5676d11673,2838f582b21e5738366340176a2f3a67d038338427204e5855bcb03c4e758e9b,e931c650cb31e620b5225c5d60d40ab600fa619441598950c1d65bab0cf30af0,7648691e06108acc68f04d9da1f45fa2130838ca07dd662c6d599b7dc585c360
"2500","91002","獲得累積分數2500分","10","8","101","1"
"5000","91002","獲得累積分數5000分","10","8","102","1"
"10000","91002","獲得累積分數10000分","10","8","103","1"
"12500","91002","獲得累積分數12500分","10","8","104","1"
"15000","91002","獲得累積分數15000分","10","8","105","1"
"20000","91002","獲得累積分數20000分","10","8","106","1"
"25000","91002","獲得累積分數25000分","10","8","107","1"
"30000","91002","獲得累積分數30000分","10","8","108","1"
"35000","91002","取得累積分數35000分","10","8","109","1"
"40000","91002","取得累積分數40000分","10","8","110","1"
"45000","91002","取得累積分數45000分","10","8","111","1"
"50000","11001302","取得累積分數50000分","1","15","112","1"
"2500","91002","獲得累積分數2500分","10","8","201","2"
"5000","91002","獲得累積分數5000分","10","8","202","2"
"10000","91002","獲得累積分數10000分","10","8","203","2"
"12500","91002","獲得累積分數12500分","10","8","204","2"
"15000","91002","獲得累積分數15000分","10","8","205","2"
"20000","91002","獲得累積分數20000分","10","8","206","2"
"25000","91002","獲得累積分數25000分","10","8","207","2"
"30000","91002","獲得累積分數30000分","10","8","208","2"
"35000","91002","取得累積分數35000分","10","8","209","2"
"40000","91002","取得累積分數40000分","10","8","210","2"
"45000","91002","取得累積分數45000分","10","8","211","2"
"50000","11001303","取得累積分數50000分","1","15","212","2"
