61ad3ca96f01a4a0932c25f574b4f6e04f3b39e76429b54ea33d75fe8d8f13fb,807850de83f1bc4e18be830c4a7c185278e09f0eff83f57381b22e8f8ce416c6,436aa13d6b82ef5fb19a9d5c9dbe1e39039d967b4cd467aacfe63a58b465fcd6,644a46d77a6ddba9a28161d8a3c19fbaab05c3a27bd55fdbfa25b3bfa0795e94,c0c667867a789a8ee623addf0be2e32a6b676fce9e9521749926a32b8fb2b8cb,c3024e72cf49de396a61f4a4336751fc854dea77d8d2e29c6b6788773c44e884
"2","1","500","10","1","10"
"3","1","500","10","1","20"
"4","1","500","10","1","30"
"5","1","500","10","1","40"
"6","1","500","10","1","50"
"7","1","500","10","1","60"
"8","1","500","10","1","70"
"9","1","500","10","1","80"
"10","1","500","10","1","90"
"11","1","500","15","1","105"
"12","1","500","15","1","120"
"13","1","500","15","1","135"
"14","1","500","15","1","150"
"15","1","500","15","1","165"
"16","1","500","15","1","180"
"17","1","500","15","1","195"
"18","1","500","15","1","210"
"19","1","500","15","1","225"
"20","1","500","15","1","240"
"21","1","500","25","1","265"
"22","1","500","25","1","290"
"23","1","500","25","1","315"
"24","1","500","25","1","340"
"25","1","500","25","1","365"
"26","1","500","25","1","390"
"27","1","500","25","1","415"
"28","1","500","25","1","440"
"29","1","500","25","1","465"
"30","1","500","25","1","490"
"31","1","500","40","2","530"
"32","1","500","40","2","570"
"33","1","500","40","2","610"
"34","1","500","40","2","650"
"35","1","500","40","2","690"
"36","1","500","40","2","730"
"37","1","500","40","2","770"
"38","1","500","40","2","810"
"39","1","500","40","2","850"
"40","1","500","40","2","890"
"41","1","500","50","2","940"
"42","1","500","50","2","990"
"43","1","500","50","2","1040"
"44","1","500","50","2","1090"
"45","1","500","50","2","1140"
"46","1","500","50","2","1190"
"47","1","500","50","2","1240"
"48","1","500","50","2","1290"
"49","1","500","50","2","1340"
"50","1","500","50","2","1390"
"51","1","500","60","3","1450"
"52","1","500","60","3","1510"
"53","1","500","60","3","1570"
"54","1","500","60","3","1630"
"55","1","500","60","3","1690"
"56","1","500","60","3","1750"
"57","1","500","60","3","1810"
"58","1","500","60","3","1870"
"59","1","500","60","3","1930"
"60","1","500","60","3","1990"
"61","1","600","75","3","2065"
"62","1","600","75","3","2140"
"63","1","600","75","3","2215"
"64","1","600","75","3","2290"
"65","1","600","75","3","2365"
"66","1","600","75","3","2440"
"67","1","600","75","3","2515"
"68","1","600","75","3","2590"
"69","1","600","75","3","2665"
"70","1","600","75","3","2740"
"71","1","600","100","4","2840"
"72","1","600","100","4","2940"
"73","1","600","100","4","3040"
"74","1","600","100","4","3140"
"75","1","600","100","4","3240"
"76","1","600","100","4","3340"
"77","1","600","100","4","3440"
"78","1","600","100","4","3540"
"79","1","600","100","4","3640"
"80","1","600","100","4","3740"
"81","1","600","125","4","3865"
"82","1","600","125","4","3990"
"83","1","600","125","4","4115"
"84","1","600","125","4","4240"
"85","1","600","125","4","4365"
"86","1","600","125","4","4490"
"87","1","600","125","4","4615"
"88","1","600","125","4","4740"
"89","1","600","125","4","4865"
"90","1","600","125","4","4990"
"91","1","600","150","5","5140"
"92","1","600","150","5","5290"
"93","1","600","150","5","5440"
"94","1","600","150","5","5590"
"95","1","600","150","5","5740"
"96","1","600","150","5","5890"
"97","1","600","150","5","6040"
"98","1","600","150","5","6190"
"99","1","600","150","5","6340"
"100","1","600","150","5","6490"
"101","1","600","175","5","6665"
"102","1","600","175","5","6840"
"103","1","600","175","5","7015"
"104","1","600","175","5","7190"
"105","1","600","175","5","7365"
"106","1","600","175","5","7540"
"107","1","600","175","5","7715"
"108","1","600","175","5","7890"
"109","1","600","175","5","8065"
"110","1","600","175","5","8240"
"111","1","600","200","6","8440"
"112","1","600","200","6","8640"
"113","1","600","200","6","8840"
"114","1","600","200","6","9040"
"115","1","600","200","6","9240"
"116","1","600","200","6","9440"
"117","1","600","200","6","9640"
"118","1","600","200","6","9840"
"119","1","600","200","6","10040"
"120","1","600","200","6","10240"
"121","1","600","225","6","10465"
"122","1","600","225","6","10690"
"123","1","600","225","6","10915"
"124","1","600","225","6","11140"
"125","1","600","225","6","11365"
"126","1","600","225","6","11590"
"127","1","600","225","6","11815"
"128","1","600","225","6","12040"
"129","1","600","225","6","12265"
"130","1","600","225","6","12490"
"131","1","600","250","7","12740"
"132","1","600","250","7","12990"
"133","1","600","250","7","13240"
"134","1","600","250","7","13490"
"135","1","600","250","7","13740"
"136","1","600","250","7","13990"
"137","1","600","250","7","14240"
"138","1","600","250","7","14490"
"139","1","600","250","7","14740"
"140","1","600","250","7","14990"
"141","1","600","250","8","15240"
"142","1","600","250","8","15490"
"143","1","600","250","8","15740"
"144","1","600","250","8","15990"
"145","1","600","250","8","16240"
"146","1","600","250","8","16490"
"147","1","600","250","8","16740"
"148","1","600","250","8","16990"
"149","1","600","250","8","17240"
"150","1","600","250","8","17490"
"151","1","600","250","9","17740"
"152","1","600","250","9","17990"
"153","1","600","250","9","18240"
"154","1","600","250","9","18490"
"155","1","600","250","9","18740"
"156","1","600","250","9","18990"
"157","1","600","250","9","19240"
"158","1","600","250","9","19490"
"159","1","600","250","9","19740"
"160","1","600","250","9","19990"
"161","1","600","250","10","20240"
"162","1","600","250","10","20490"
"163","1","600","250","10","20740"
"164","1","600","250","10","20990"
"165","1","600","250","10","21240"
"166","1","600","250","10","21490"
"167","1","600","250","10","21740"
"168","1","600","250","10","21990"
"169","1","600","250","10","22240"
"170","1","600","250","10","22490"
"171","1","600","250","11","22740"
"172","1","600","250","11","22990"
"173","1","600","250","11","23240"
"174","1","600","250","11","23490"
"175","1","600","250","11","23740"
"176","1","600","250","11","23990"
"177","1","600","250","11","24240"
"178","1","600","250","11","24490"
"179","1","600","250","11","24740"
"180","1","600","250","11","24990"
"181","1","600","250","12","25240"
"182","1","600","250","12","25490"
"183","1","600","250","12","25740"
"184","1","600","250","12","25990"
"185","1","600","250","12","26240"
"186","1","600","250","12","26490"
"187","1","600","250","12","26740"
"188","1","600","250","12","26990"
"189","1","600","250","12","27240"
"190","1","600","250","12","27490"
"191","1","600","250","13","27740"
"192","1","600","250","13","27990"
"193","1","600","250","13","28240"
"194","1","600","250","13","28490"
"195","1","600","250","13","28740"
"196","1","600","250","13","28990"
"197","1","600","250","13","29240"
"198","1","600","250","13","29490"
"199","1","600","250","13","29740"
"200","1","600","250","13","29990"
"201","1","600","250","14","30240"
"202","1","600","250","14","30490"
"203","1","600","250","14","30740"
"204","1","600","250","14","30990"
"205","1","600","250","14","31240"
"206","1","600","250","14","31490"
"207","1","600","250","14","31740"
"208","1","600","250","14","31990"
"209","1","600","250","14","32240"
"210","1","600","250","14","32490"
"211","1","680","250","15","32740"
"212","1","680","250","15","32990"
"213","1","680","250","15","33240"
"214","1","680","250","15","33490"
"215","1","680","250","15","33740"
"216","1","680","250","15","33990"
"217","1","680","250","15","34240"
"218","1","680","250","15","34490"
"219","1","680","250","15","34740"
"220","1","680","250","15","34990"
"221","1","680","250","16","35240"
"222","1","680","250","16","35490"
"223","1","680","250","16","35740"
"224","1","680","250","16","35990"
"225","1","680","250","16","36240"
"226","1","680","250","16","36490"
"227","1","680","250","16","36740"
"228","1","680","250","16","36990"
"229","1","680","250","16","37240"
"230","1","680","250","16","37490"
"231","1","680","250","17","37740"
"232","1","680","250","17","37990"
"233","1","680","250","17","38240"
