af05a06a1d70baa443ea29af97ca9d0d7673001dac528437de4c325951c77ceb,3284db32015a314f516dbe6591a09300ede203845356dda71128754b57ff082b,8f944ac53b2893ac2741880affe46fd1e0ee2cff9ccbc772b07d4649afab3170,52d6a3394adeca681617f25009b98d53e26e99acae972b75a6929bda46e72c48,8e366473f988a461087b9353d019c74f12742e37d8a95ae47ebc9035afcbd3c8,59bd9fbcbf3c2909e90c31051a29087f0567bb7b0b47738d1412133c17041238,24c9212f021603f217db9c648a19b0cd7132996d7523bc66bf71b1851437270e,120c0672f0772a8c17f6997a81cc7daf43514a802c0a371ac26dd86b52bf5e30,8055d33517ee99ead809a67f883a80183f00af93c9caeeebb39c96771dfaf893,c1abaa6ce45d85da314573232111b87ac5ef12f6040e42e35dac270988dd6087,a22828b337c9521339fa2762f066b0c4fdfa24222c1c357e85c649bef3919c6e,452469415c44e2dce7b892423cbab701d9a5c91a0e087b9d147dead20381c270,911aad28f7125307c1002b68a1aa9d52cf2af2f72774777dd259d21c5e22cc5b,de61cc844e369fea950667a6d1b7719595b0478299f559d71aec59786842c813,aea907adfef5ed28e4e7dcd426f1b8854b76b81b750e45b9c72eaecf71e05320,05dc64b138a387ff86795a681288fce94197469c99bab2fc08a0bc39c84ae0ce,91541bbade22b6498f7d08d39505c1eaae67abe5fa3f68afa0beaa8a321feecb
"貪吃佩可的吃飽飽雙倍飯糰","2","51001","52001","500","獲得500里程。","1","2","0","下次投擲的骰子增加為2個。擲出來的數字加總為前進格數。","10","貪吃佩可的\n吃飽飽雙倍飯糰","1","1","0","1","貪吃佩可用心捏製的特大飯糰。\n米飯似乎體現了生命的能量。\n在一般人能吃飽的兩倍量的米飯裡，包進了最高級的內餡，\n是一道很有【美食殿堂】風格的料理。"
"可可蘿的好好休息沙拉","30001","51002","52002","500","獲得500里程。","2","2","0","下次投擲的骰子一定會丟出「1」。並且跳過下次的回合數計算。","10","可可蘿的\n好好休息沙拉","3","1","0","1","可可蘿為大家用心製作的沙拉。\n營養均衡且飽足感十足，\n除了味道外也很注重外觀。\n能夠提供冒險所需活力，一道充滿愛的料理。"
"凱留的絕妙五星漢堡","20004","51003","52003","500","獲得1個未鑑定的平凡寶物。","1","1","0","下次投擲的骰子一定會丟出「5」。","10","凱留的\n絕妙五星漢堡","2","1","0","1","夾入凱留自己想吃的食材的漢堡。\n麵包與肉類的香氣令人食指大動。\n由非魔物的素材製作，凱留相信這是一道\n在冒險途中吃會有點太豪華的料理。"
"莉莉的踏實邁進柏餅","20001","51004","52004","500","獲得800里程。","3","4","0","在投擲3次骰子之前，投擲的骰子一定會丟出「4」。","10","莉莉的踏實\n邁進柏餅","2","1","0","3","在莉莉製作的柏餅中……做成功的、\n經過新挑選的柏餅。除了使用最高級的素材，\n還因為做失敗的柏餅被莉莉自己吃掉了，\n所以光看單價變成了非常貴的高級品。"
"可璃亞的多彩多姿便當","1","51005","52005","500","下次擲骰的時候，多前進1格。","3","1","0","讓隨機活動出現。","11","可璃亞的\n多彩多姿便當","4","3","0","0","可璃亞一大早就起床準備好的冒險用的便當。\n雖然裡面的配菜都非常好吃，但是因為\n她不告訴大家裡面裝了什麼，所以那變成\n打開蓋子時的驚喜了。"
"普蕾西亞的貪吃鬼噗噗肉包","20002","51006","52006","500","獲得800里程。","1","4","0","下次投擲的骰子只會丟出「4、5、6」。","10","普蕾西亞的貪吃鬼\n噗噗肉包","2","1","0","1","塞滿了普蕾西亞精心挑選的內餡的肉包。\n根據她的希望，這肉包的尺寸變成\n一般肉包的數倍大。味道跟量都滿分，一定會讓人\n很幸福喔♪以上是負責料理的可璃亞說的話。"
"嘉夜與祈梨的食慾加倍沙威瑪","1","51007","52007","500","獲得1張抽獎券。","1","3","0","下次投擲的骰子一定會丟出「3」，再下一次投擲的骰子一定會丟出「6」。","10","嘉夜與祈梨的\n食慾加倍沙威瑪","7","1","0","2","嘉夜跟祈梨讓人拿來當便當的沙威瑪。\n有著祈梨常去的店的強悍風味，可以讓\n身為幫派成員的幹勁變成三倍，組成搭檔會變成六倍，\n似乎會湧現出可以實現下剋上的力量……的樣子。"
"珠希的彩虹招財鯛魚燒","200","51008","52008","500","獲得500里程。","2","2","0","下次於里程格停下來之際，\n所獲得的里程將提升200%。","10","珠希的彩虹\n招財鯛魚燒","5","2","1","0","珠希他們帶進「吉歐‧提格尼亞」的鯛魚燒得概念，\n跟當地的文化融合之後誕生的經過大幅度改造的甜點。\n它那發出彩虹光輝的甜味，\n據說比蘭德索爾的鯛魚燒還甜好幾倍。"
"克蘿茜的全力馬鈴薯沙拉","1","51009","52009","500","獲得1個未鑑定的平凡寶物。","2","1","1","[FF7C4E,D62146]【不可被覆蓋】[-]下次投擲的骰子一定會丟出「8」，再下一次投擲的骰子一定會丟出「1」。","10","克蘿茜的\n全力馬鈴薯沙拉","7","1","0","2","克蘿茜用全力製作的馬鈴薯沙拉。\n她本來是要做鹹味薄餅，但是因為不小心\n把材料捏扁了，經過修正軌道後完成的料理。\n先不論製作的經緯，它吃起來非常美味。"
"綾音與胡桃的戶外野餐組","1","51010","52010","500","獲得500里程。","3","2","0","地圖上的「里程格」、「寶物格」、「商店格」的\nRANK提升1。\n效果將持續到停在對象格上2次之後為止。","10","綾音與胡桃的\n戶外野餐組","6","2","2","0","綾音跟胡桃準備的特別的野餐籃。\n裡面的塞滿了跟夥伴們一起冒險的希望的美味料理們，\n能讓人覺得路上發生的各種事情，\n都像是高了1個Rank的活動一樣。"
