35be4e2f10d6ddbb788e6a898c5b43540f920fbf58764e1de323fd74617931dc,05172864f4dbfcac2f5ea58619a40ed1ea99ca55f07c176decb40f7e61a1929e,7d21b0a84cca1882783de13d1c5bb410658455cab9ceace8655275494b7cb27f,b7d4464857cae5fd297ee44b6be1015a253022b8eb09279be9cf521697e22f89,34c6ddc6276c70deb37e4e92d5ba8d5e0c182a794b6b7bddb8c74190ad5e3b81,604152312f56c4e4b75fb1b428e65e1bdb5108d5dedda03f21624ce2800120e9,b9a73a9564370a8c548665f0ceec4c9f96342c1eb2aa0c4a7f05477ccee1f95b,10e16b35b463d45f38f68a83b3c65c2ca8feb4bfdbe552e2ac92ef1ad00d2fd8,47645ed2aa403705bdd9484729f656a851c368f461eafad4f3178c79a4d8cb81,b51fb9762f1de6cecb3cbeb085ed731bd04bfc8da97ff4d1763f3dbe603e4491,8dfd9dd36a1354d4400f7c097619a80abf987fb4083b3c246d47c6de6edd4987,4b1b1b38636dbcbf50ce137b86751daf6ca166750e701a808f581adf3a87d2c9
"20000","2","0","0","0","0","可獲得隨機的 EXP 藥水。","隨機 EXP 藥水BOX","6","2015/12/17 15:00:00","1","2030/08/01 14:59:59"
"20001","1","0","0","80","60","用來強化角色的 Lv，使用後增加 60 的 EXP。","小型 EXP 藥水","1","2015/12/17 15:00:00","999999","2030/08/01 14:59:59"
"20002","2","0","0","400","300","用來強化角色的 Lv，使用後增加 300 的 EXP。","普通 EXP 藥水","1","2015/12/17 15:00:00","999999","2030/08/01 14:59:59"
"20003","3","0","0","2000","1500","用來強化角色的 Lv，使用後增加 1500 的 EXP。","高劑量 EXP 藥水","1","2015/12/17 15:00:00","999999","2030/08/01 14:59:59"
"20004","4","0","0","10000","7500","用來強化角色的 Lv，使用後增加 7500 的 EXP。","特級 EXP 藥水","1","2015/12/17 15:00:00","999999","2030/08/01 14:59:59"
"20005","5","0","0","50000","37500","用來強化角色的 Lv，使用後增加 37500 的 EXP。","究極EXP藥水","1","2015/12/17 15:00:00","999999","2030/08/01 14:59:59"
"21001","1","0","0","0","1","優花梨（聖誕節）專用的輝光水晶球。可將角色的能力值強化至Lv180/RANK19。","優花梨（聖誕節）專用水晶球 / Lv180","21","2021/04/01 16:00:00","999","2030/08/01 14:59:59"
"21002","1","0","0","0","2","矛依未（新年）專用的輝光水晶球。可將角色的能力值強化至Lv180/RANK19。","矛依未（新年）專用水晶球 / Lv180","21","2021/05/04 16:00:00","999","2030/08/01 14:59:59"
"21003","1","0","0","0","3","優衣（祭服）專用的輝光水晶球。可將角色的能力值強化至Lv180/RANK19。","優衣（祭服）專用水晶球 / Lv180","21","2021/06/02 16:00:00","999","2030/08/01 14:59:59"
"21004","1","0","0","0","5","莉瑪（灰姑娘）專用的輝光水晶球。可將角色的能力值強化至Lv180/RANK19。","莉瑪（灰姑娘）專用水晶球 / Lv180","21","2021/07/05 16:00:00","999","2030/08/01 14:59:59"
"21005","1","0","0","0","6","珠希（工作服）專用的輝光水晶球。可將角色的能力值強化至Lv180/RANK19。","珠希（工作服）專用水晶球 / Lv180","21","2021/05/31 12:00:00","999","2030/08/01 14:59:59"
"21006","1","0","0","0","7","紡希（夏日）專用的輝光水晶球。可將角色的能力值強化至Lv180/RANK19。","紡希（夏日）專用水晶球 / Lv180","21","2021/07/31 12:00:00","999","2030/08/01 14:59:59"
"21007","1","0","0","0","8","妮諾（萬聖節）專用的輝光水晶球。可將角色的能力值強化至Lv180/RANK19。","妮諾（萬聖節）專用水晶球 / Lv180","21","2021/09/30 12:00:00","999","2030/08/01 14:59:59"
"21008","1","0","0","0","9","真陽（聖誕節）專用的輝光水晶球。可將角色的能力值強化至Lv215/RANK23。","真陽（聖誕節）專用水晶球 / Lv215","21","2022/04/01 16:00:00","999","2030/08/01 14:59:59"
"21009","1","0","0","0","10","流夏（新年）專用的輝光水晶球。可將角色的能力值強化至Lv215/RANK23。","流夏（新年）專用水晶球 / Lv215","21","2022/05/02 16:00:00","999","2030/08/01 14:59:59"
"21010","1","0","0","0","12","拉比林斯達（超載）專用的輝光水晶球。可將角色的能力值強化至Lv215/RANK23。","拉比林斯達（超載）專用水晶球 / Lv215","21","2022/06/08 16:00:00","999","2030/08/01 14:59:59"
"21011","1","0","0","0","13","碧（露營）專用的輝光水晶球。可將角色的能力值強化至Lv215/RANK23。","碧（露營）專用水晶球 / Lv215","21","2022/10/02 16:00:00","999","2030/08/01 14:59:59"
"21012","1","0","0","0","14","日和（夏日）專用的輝光水晶球。可將角色的能力值強化至Lv215/RANK23。","日和（夏日）專用水晶球 / Lv215","21","2022/11/01 16:00:00","999","2030/08/01 14:59:59"
"21013","1","0","0","0","15","禊（夏日）專用的輝光水晶球。可將角色的能力值強化至Lv215/RANK23。","禊（夏日）專用水晶球 / Lv215","21","2022/12/01 16:00:00","999","2030/08/01 14:59:59"
"21014","1","0","0","0","16","鈴（萬聖節）專用的輝光水晶球。可將角色的能力值強化至Lv215/RANK23。","鈴（萬聖節）專用水晶球 / Lv215","21","2023/02/01 16:00:00","999","2030/08/01 14:59:59"
"21015","1","0","0","0","17","依里（聖誕節）專用的輝光水晶球。可將角色的能力值強化至Lv250/RANK26。","依里（聖誕節）專用水晶球 / Lv250","21","2023/04/01 16:00:00","999","2030/08/01 14:59:59"
"21016","1","0","0","0","20","深月（新年）專用的輝光水晶球。可將角色的能力值強化至Lv250/RANK26。","深月（新年）專用水晶球 / Lv250","21","2023/05/01 16:00:00","999","2030/08/01 14:59:59"
"21017","1","0","0","0","21","嘉夜（解放者）專用的輝光水晶球。可將角色的能力值強化至Lv250/RANK26。","嘉夜（解放者）專用水晶球 / Lv250","21","2023/01/31 12:00:00","999","2030/08/01 14:59:59"
"21018","1","0","0","0","22","花凜（煉金術士）專用的輝光水晶球。可將角色的能力值強化至Lv250/RANK26。","花凜（煉金術士）專用水晶球 / Lv250","21","2023/09/01 16:00:00","999","2030/08/01 14:59:59"
"21019","1","0","0","0","24","秋乃（夏日）專用的輝光水晶球。可將角色的能力值強化至Lv250/RANK26。","秋乃（夏日）專用水晶球 / Lv250","21","2023/11/01 16:00:00","999","2030/08/01 14:59:59"
"21020","1","0","0","0","25","空花（夏日）專用的輝光水晶球。可將角色的能力值強化至Lv250/RANK26。","空花（夏日）專用水晶球 / Lv250","21","2023/12/01 16:00:00","999","2030/08/01 14:59:59"
"21021","1","0","0","0","27","祈梨（新年）專用的輝光水晶球。可將角色的能力值強化至Lv280/RANK29。","祈梨（新年）專用水晶球 / Lv280","21","2024/05/01 16:00:00","999","2030/08/01 14:59:59"
"21022","1","0","0","0","28","怜（星素）專用的輝光水晶球。可將角色的能力值強化至Lv280/RANK29。","怜（星素）專用水晶球 / Lv280","21","2024/06/01 16:00:00","999","2030/08/01 14:59:59"
"21023","1","0","0","0","29","貪吃佩可專用的輝光水晶球。可將角色的能力值強化至Lv280/RANK29。","貪吃佩可專用水晶球 / Lv280","21","2025/12/15 16:00:00","999","2030/08/01 14:59:59"
"21024","1","0","0","0","30","可可蘿專用的輝光水晶球。可將角色的能力值強化至Lv280/RANK29。","可可蘿專用水晶球 / Lv280","21","2025/12/15 16:00:00","999","2030/08/01 14:59:59"
"21025","1","0","0","0","31","凱留專用的輝光水晶球。可將角色的能力值強化至Lv280/RANK29。","凱留專用水晶球 / Lv280","21","2025/12/15 16:00:00","999","2030/08/01 14:59:59"
"21026","1","0","0","0","32","雪菲專用的輝光水晶球。可將角色的能力值強化至Lv280/RANK29。","雪菲專用水晶球 / Lv280","21","2025/12/15 16:00:00","999","2030/08/01 14:59:59"
"21900","1","0","0","0","4","所有角色皆可使用的輝光水晶球。可將角色的能力值直接強化至Lv180/RANK19。","輝光水晶球 / Lv180","21","2021/08/02 16:00:00","999","2030/08/01 14:59:59"
"21901","1","0","0","0","11","所有角色皆可使用的輝光水晶球。可將角色的能力值直接強化至Lv215/RANK23。","輝光水晶球 / Lv215","21","2022/06/01 16:00:00","999","2030/08/01 14:59:59"
"21902","1","0","0","0","18","所有角色皆可使用的輝光水晶球。可將角色的能力值直接強化至Lv250/RANK26。","輝光水晶球 / Lv250","21","2023/04/01 16:00:00","999","2030/08/01 14:59:59"
"21903","1","0","0","0","19","所有角色皆可使用的輝光水晶球。可將角色的能力值直接強化至Lv100/RANK12。","輝光水晶球 / Lv100","21","2022/12/15 12:00:00","999","2030/08/01 14:59:59"
"21904","1","0","0","0","23","所有角色皆可使用的輝光水晶球。可將角色的能力值直接強化至Lv260/RANK28。","輝光水晶球 / Lv260","21","2023/09/01 16:00:00","999","2030/08/01 14:59:59"
"21905","1","0","0","0","26","所有角色皆可使用的輝光水晶球。可將角色的能力值直接強化至Lv280/RANK29。","輝光水晶球 / Lv280","21","2024/03/01 16:00:00","999","2030/08/01 14:59:59"
"21951","1","0","0","0","10001","所有角色皆可使用的專用裝備1輝光水晶球。可製作專用裝備1並強化至Lv240。","專用裝備1輝光水晶球 / Lv240","23","2022/10/14 16:00:00","999","2030/08/01 14:59:59"
"21952","1","0","0","0","10002","所有角色皆可使用的專用裝備1輝光水晶球。可製作專用裝備1並強化至Lv270。","專用裝備1輝光水晶球 / Lv270","23","2023/09/16 16:00:00","999","2030/08/01 14:59:59"
"21953","1","0","0","0","10003","所有角色皆可使用的專用裝備1輝光水晶球。可製作專用裝備1並強化至Lv290。","專用裝備1輝光水晶球 / Lv290","23","2024/07/15 16:00:00","999","2030/08/01 14:59:59"
"21954","1","0","0","0","10004","所有角色皆可使用的專用裝備１輝光水晶球。可製作專用裝備１並強化至Lv340。","專用裝備１輝光水晶球 / Lv340","23","2026/02/01 00:00:00","999","2030/08/01 14:59:59"
"22001","1","0","0","120","10","用來強化角色裝備，使用後增加 10 點裝備強化值。","精煉石","3","2015/12/17 15:00:00","999999","2030/08/01 14:59:59"
"22002","2","0","0","720","60","用來強化角色裝備，使用後增加 60 點裝備強化值。","上級精煉石","3","2015/12/17 15:00:00","999999","2030/08/01 14:59:59"
"22003","3","0","0","2400","200","用來強化角色裝備，使用後增加 200 點裝備強化值。","精練結晶","3","2015/12/17 15:00:00","999999","2030/08/01 14:59:59"
