362e053cbbbba1cf58b1fe31ea1fdd87304a0b2bab41b3fddb302045569a31d0,7cda50c131b5b1d4250aa2b2b7f4985cb2628810a9842f71bc0879a3fc02060d,3ed3ea94247125c9d681dbba8f1a982ad874d2873523a8a293544e8baa7309ef,9b093090cc698b89457c5ab7a2f89636b3b642c65a71c2d93f5fce8be525445b,952a192d06258cef9eb58bc9e3f6cf71558c9a3f33b71d61422afc6bf052c54f
"53001","10001001","1","22","10001"
"53004","10001002","1","22","10001"
"53007","10001003","1","22","10001"
"53010","10001004","1","22","10001"
"53013","10001005","1","22","10001"
"53016","10001006","1","22","10001"
"53019","10001007","1","22","10001"
"53022","10001008","1","22","10001"
"53002","10001009","1","22","10001"
"53005","10001010","1","22","10001"
"53008","10001011","1","22","10001"
"53011","10001012","1","22","10001"
"53014","10001013","1","22","10001"
"53017","10001014","1","22","10001"
"53020","10001015","1","22","10001"
"53023","10001016","1","22","10001"
"53001","10002001","1","22","10002"
"53002","10002002","1","22","10002"
"53005","10002003","1","22","10002"
"53008","10002004","1","22","10002"
"53011","10002005","1","22","10002"
"53014","10002006","1","22","10002"
"53017","10002007","1","22","10002"
"53020","10002008","1","22","10002"
"53023","10002009","1","22","10002"
"53003","10002010","1","22","10002"
"53006","10002011","1","22","10002"
"53009","10002012","1","22","10002"
"53012","10002013","1","22","10002"
"53015","10002014","1","22","10002"
"53018","10002015","1","22","10002"
"53021","10002016","1","22","10002"
"53024","10002017","1","22","10002"
"53002","10003001","1","22","10003"
"53002","10003002","2","22","10003"
"53003","10003003","1","22","10003"
"53003","10003004","2","22","10003"
"53003","10003005","3","22","10003"
"53006","10003006","1","22","10003"
"53009","10003007","1","22","10003"
"53012","10003008","1","22","10003"
"53015","10003009","1","22","10003"
"53018","10003010","1","22","10003"
"53021","10003011","1","22","10003"
"53024","10003012","1","22","10003"
"53006","10003013","2","22","10003"
"53009","10003014","2","22","10003"
"53012","10003015","2","22","10003"
"53015","10003016","2","22","10003"
"53018","10003017","2","22","10003"
"53021","10003018","2","22","10003"
"53024","10003019","2","22","10003"
"53006","10003020","3","22","10003"
"53009","10003021","3","22","10003"
"53012","10003022","3","22","10003"
"53015","10003023","3","22","10003"
"53018","10003024","3","22","10003"
"53021","10003025","3","22","10003"
"53024","10003026","3","22","10003"
