10c5eed242f0322a254cfe82373f2c24abad8b071fb9821ed776881d1c7b292a,02a405ecd5ddb288d2eb0b775eae4e3267ce2532d51daf072bcd1f428d52bde1,0ad2e1ed778ee73362c4b62e9cd58873cd9d299e5f80bd4a8f6b785fa70140a1,b9988150da408dcaf745fa7b45fe8ea0ccafb7114d5f3e647bcb653124ec285f,770ad3c00a00bb9dd3799c0b5b07e9195a60859c744bc186e813e8c037633e58
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","傷害值衰減","10101","damage_limit","1"
"中幅度提升所有怪物的物理/魔法防禦力。此效果不會受到物理/魔法防禦力下降的影響。","防禦力（不可降低）提升","10102","def_lower_limit","1"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","傷害值衰減","10201","damage_limit","2"
"中幅度提升所有怪物的物理/魔法防禦力。此效果不會受到物理/魔法防禦力下降的影響。","防禦力（不可降低）提升","10202","def_lower_limit","2"
"將所有怪物承受的傷害減少一定數值。","全傷害降低","10203","damage_cut","2"
"提升所有怪物所造成的傷害。","造成傷害提升","10204","damage_up","2"
"提升所有怪物的物理/魔法防禦力。","防禦力提升","10205","def_up","2"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","傷害值衰減","10301","damage_limit","3"
"中幅度提升所有怪物的物理/魔法防禦力。此效果不會受到物理/魔法防禦力下降的影響。","防禦力（不可降低）提升","10302","def_lower_limit","3"
"將所有怪物承受的傷害減少一定數值。","全傷害降低","10303","damage_cut","3"
"提升所有怪物所造成的傷害。","造成傷害提升","10304","damage_up","3"
"提升所有怪物的物理/魔法防禦力。","防禦力提升","10305","def_up","3"
"降低所有角色的物理/魔法暴擊率。","降低暴擊","10306","critical_down","3"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","傷害值衰減","10401","damage_limit","4"
"中幅度提升所有怪物的物理/魔法防禦力。此效果不會受到物理/魔法防禦力下降的影響。","防禦力（不可降低）提升","10402","def_lower_limit","4"
"將所有怪物承受的傷害減少一定數值。","全傷害降低","10403","damage_cut","4"
"提升所有怪物所造成的傷害。","造成傷害提升","10404","damage_up","4"
"提升所有怪物的物理/魔法防禦力。","防禦力提升","10405","def_up","4"
"降低所有角色的物理/魔法暴擊率。","降低暴擊","10406","critical_down","4"
"降低所有角色的ＨＰ吸收。","降低ＨＰ吸收","10407","life_steal_down","4"
"EXTREME戰鬥時，有一定的機率會出現強敵。","強敵出現","10501","add_monster","5"
"使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","傷害值衰減","10502","damage_limit","5"
"中幅度提升所有怪物的物理/魔法防禦力。此效果不會受到物理/魔法防禦力下降的影響。","防禦力（不可降低）提升","10503","def_lower_limit","5"
"將所有怪物承受的傷害減少一定數值。","全傷害降低","10504","damage_cut","5"
"提升所有怪物所造成的傷害。","造成傷害提升","10505","damage_up","5"
"提升所有怪物的物理/魔法防禦力。","防禦力提升","10506","def_up","5"
"降低所有角色的物理/魔法暴擊率。","降低暴擊","10507","critical_down","5"
"降低所有角色的ＨＰ吸收。","降低ＨＰ吸收","10508","life_steal_down","5"
"所有怪物為減少降低ＴＰ的狀態。","減少降低ＴＰ","10509","tp_down_cut","5"
"降低所有角色的ＨＰ恢復量。","降低ＨＰ恢復量","10510","hp_recovery_down","5"
