a364d014055fd64275c2653bcbe872e0079e4cfdfe2da7f0008a658966bce793,153926bf5a7feee61cfdd842fcc9135d53285cdc009db009af4a7ef07b54a9b9,3c59ba37ab70426d81f9c9a39db97339a045df32a3d2acead6eccb52b2fbaeec,08dfbd1efa710472d9a20262e52e9dcb4929566866918ce8fb20eaa63871565e,63a2d4d477b166b64e227b0f3122c0926f9cc29da5b0403b22239ebd8da4f5d5,ddd9bfec3f6241867d41ce1bbe5b16eabb1292d1a858c4c53994af50536e0b16,be36fec0ff3d9c573e63d50470a045cbfa7ab014a1e8fe427ab93a3a1b25716f,9883dcae7a0c686dd2483320939579bdd6603a910b7a1898a3c37a151907205f,dd1b49d792cc0b779dfc9232b304192f58e87801ae0cb65f25bc4525aa3f07c4,cc79efee09c43c446b1146ce4059aa3648b7b33210d8767dee973375e7d1cfca,f576fc658b5f13bf6a290f5cf5deafad7633a3b493b8d9648c9779583be4fbe7,565227a5cff04be22031c696b5d7fda3b5f115598a01afe7a1088faa7cde0632,b0fd2c7e6d5a9b456a8b21f2196e622ed2fb7c6d5fc7407d913205392f98fcb9,62ec31e0ed85060009b8b0c41852771a7c6bf6b155af0670928c3c9897020ef6,8b2e5124ef056ba1a4f3d34e88112daea9bc172d63925e2b5fcf49b713cb5721,a362b83557515f0bf95492dc608e186dc613058298f96ba23b185c62a8de0e45,bb465e18dc4dd38d84abca8ad52faa9c6557fc993e90a59a0ffb7bf33f0a81e6
"-470","108","100000","43200","克梅利亞洞窟","11001","4101401","1","1","11001001","4101351","10","4201401","4104351","7200","4104401","11001001"
"-235","90","100000","43200","盧可拉諾大瀑布","11001","4106401","1","2","11001002","4106351","10","4203401","4110351","7200","4110401","11001002"
"0","108","100000","43200","艾里巨木","11001","4102401","1","3","11001003","4102351","10","4201401","4105351","7200","4105401","11001003"
"235","90","100000","43200","伊雷亞溪谷","11001","4108401","1","4","11001004","4108351","10","4203401","4109351","7200","4109401","11001004"
"470","108","100000","43200","史達爾斷崖","11001","4103401","1","5","11001005","4103351","10","4201401","4107351","7200","4107401","11001005"
"-470","108","100000","43200","阿爾巴岸堤","11002","4104401","1","6","11002003","4301351","10","4301401","4101401","7200","4201401","11002001"
"-235","90","100000","43200","撒達爾史朵\n沙灘","11002","4110401","1","7","11002002","4305351","10","4305401","4106401","7200","4203401","11002002"
"0","108","100000","43200","達爾里克\n巨岩","11002","4105401","1","8","11002001","4302351","10","4302401","4102401","7200","4201401","11002003"
"235","90","100000","43200","安卡爾川","11002","4109401","1","9","11001005","4304351","10","4304401","4108401","7200","4203401","11002004"
"470","108","100000","43200","達克比亞\n森林","11002","4107401","1","10","11001001","4303351","10","4303401","4103401","7200","4201401","11002005"
"-470","108","100000","43200","密瑪斯\n洞穴","11003","4101401","1","11","11003001","4201351","10","4109401","4201401","7200","4104401","11003001"
"-155","90","100000","43200","雷安特河","11003","4108401","1","11","11003002","4202351","10","4110401","4202401","7200","4102401","11003002"
"160","108","100000","43200","刻蘭德\n廢墟","11003","4103401","1","11","11003003","4203351","10","4109401","4203401","7200","4105401","11003003"
"470","90","100000","43200","迪歐涅加\n冰海","11003","4106401","1","11","11003004","4204351","10","4110401","4204401","7200","4107401","11003004"
