a0489552d098f1244ef98490bd13b3a718fe58c5efac968e2b574d4cfef43356,64e826f00732459f03cf742be2e51c355769aa75936695f3dfe5548aa0581a4e,99c047a04767823acfb743f36a44fc9b1a1cbd262d0a51589a4a70d3ec1f0307,4637141c0fce8ba5a9d5079e69af4fc6d938aa7f1ce3c37a42a97b3dc8d5f0ba
"101401","1005","100","200"
"101601","1005","100","200"
"101801","1005","100","200"
"103201","1005","100","200"
"105001","1005","100","200"
"105201","1005","100","200"
"106101","1005","100","200"
"106401","1005","100","200"
"106801","1005","100","200"
"108301","1005","100","200"
"110001","1005","100","200"
"110101","1005","100","200"
"112201","1005","100","200"
"114401","1005","100","200"
"114701","1005","100","200"
"115701","1005","100","200"
"115801","1005","100","200"
"100201","1006","100","200"
"102901","1006","100","200"
"104201","1006","100","200"
"105401","1006","100","200"
"105901","1006","100","200"
"107601","1006","100","200"
"108401","1006","100","200"
"108801","1006","100","200"
"111601","1006","100","200"
"111901","1006","100","200"
"113901","1006","100","200"
"115501","1006","100","200"
"115601","1006","100","200"
"117201","1006","100","200"
"117301","1006","100","200"
"117401","1006","100","200"
"180201","1006","100","200"
"180501","1006","100","200"
"100301","1007","100","200"
"100501","1007","100","200"
"103701","1007","100","200"
"104701","1007","100","200"
"105801","1007","100","200"
"106501","1007","100","200"
"106601","1007","100","200"
"107501","1007","100","200"
"108901","1007","100","200"
"111801","1007","100","200"
"113601","1007","100","200"
"114001","1007","100","200"
"114101","1007","100","200"
"114301","1007","100","200"
"116501","1007","100","200"
"116601","1007","100","200"
"180301","1007","100","200"
"180401","1007","100","200"
"100101","1008","100","200"
"100401","1008","100","200"
"102001","1008","100","200"
"102101","1008","100","200"
"102301","1008","100","200"
"102501","1008","100","200"
"102801","1008","100","200"
"103601","1008","100","200"
"106001","1008","100","200"
"107701","1008","100","200"
"107801","1008","100","200"
"108501","1008","100","200"
"108601","1008","100","200"
"108701","1008","100","200"
"110301","1008","100","200"
"111101","1008","100","200"
"111201","1008","100","200"
"111301","1008","100","200"
"112001","1008","100","200"
"112101","1008","100","200"
"114501","1008","100","200"
"180101","1008","100","200"
"180601","1008","100","200"
