8e4f9a78753cd90d1a804cfc01593c9bd60be4144da780d4e1e586cbf630771a,9bcef28905eb261aecc7168967c5f2a0dfdb49dc30fde613b1de21e96e827c9f,6b7ea7f4e8cf009ba873974a322855ea65769c4e8bcc7f00e1c0865340cab70a,aa64d399eba788d445c5040124ca18a47f977559affe93ff8f0993cad94bfe8f,b4122a68c49486c7f60e5712c7cc5ab6a18fdc8519ff187ca093259235fd2e7e,f1c4c3210490ec32c8727d5ed6e3c97d6723c41030339613644f0c4397bef19c,c6244d8dc8e4aa7fa802363775e4d310c2586db9de4a88bcf1c8014617a4a5b1,80751c3b3230ae5e50f395f87c1bd5002250ccbd784349e85cecec268ca04d2a,29ee57b1145f8b25bc5584b7caa93f8d2aafe1dd9dbfe2a816dbbc33ce0f335a,0f17dfcbfa4805898cec2c2b09890026048737ffac4c3eeff336b87e9b993b63,cf96b3ad2f01e59f17c88759eb6e9e977ecfc09d15882fa1f112de1c5c2c3e61
"10","0","1","1","加速玉飾","在迷宮內發現的耳環。\n會賦予裝備者活力加速的效果。","1800","1","ＴＰ上升+5","11001","11001"
"10","0","1","1","水蓮之盾","在迷宮內發現的圓盾。\n能將受到的攻擊轉換為能量。","1800","1","每受到傷害時恢復ＴＰ100（最多１次）","11002","11002"
"10","0","1","1","青輝之環","在迷宮內發現的手環。\n當戰鬥開始，會同時給予\n裝備者能量。","1800","1","戰鬥開始時恢復ＴＰ100","11003","11003"
"10","0","1","1","冷玉法杖","在迷宮內發現的法杖。\n會賦予裝備者保存力量的效果。","1800","1","ＴＰ消耗減輕＋2","11004","11004"
"10","0","1","1","踏風之鞋","在迷宮內發現的鞋。\n能讓裝備者迅速行動。","1800","1","可重複的行動速度＋10％","11005","11005"
"10","0","1","1","紫晶比薩利歐","在迷宮內發現的首飾。\n能更容易對敵人造成異常狀態。","1800","2","狀態異常命中＋20","12001","12001"
"10","0","1","1","魔杖梅吉那耶","在迷宮內發現的法杖。光持有\n就能詛咒敵人。","1800","2","對敵方全體施加詛咒（每秒【弱化】數×500傷害）","12002","12002"
"10","0","1","1","暗劍劇毒","在迷宮內發現的短劍。\n光持有就能令敵人中毒。","1800","2","對敵方全體施加中毒（每秒【弱化】數×500傷害）","12003","12003"
"10","0","1","1","破防帽消解","在迷宮內發現的帽子。\n一旦裝備，就能弱化敵人的攻擊。","1800","2","敵人的物理/魔法攻擊力－10％","12004","12004"
"10","0","1","1","崩刀山崎","在迷宮內發現的刀。\n擁有瓦解敵人防禦的力量。","1800","2","敵人的物理/魔法防禦力－10％","12005","12005"
"10","0","1","1","殺手長矛","在迷宮內發現的槍。能以犀利\n的一擊對敵人造成重傷。","1800","3","敵人的物理/魔法被暴擊傷害＋10％","13001","13001"
"10","0","1","1","賞花之刀","在迷宮內發現的刀。可提高\n賦予致命攻擊時的威力。","1800","3","物理/魔法暴擊傷害＋10％","13002","13002"
"10","0","1","1","劈裂拳套","在迷宮內發現的法杖。\n能施展出經過強化的一擊。","1800","3","普通攻擊強化＋30","13003","13003"
"10","0","1","1","暴擊之弓","在迷宮內發現的弓。一旦裝備，\n能更容易給予致命一射。","1800","3","物理/魔法暴擊率＋10％","13004","13004"
"10","0","1","1","吸收手斧","在迷宮內發現的斧頭。在攻擊\n的同時，能吸取敵人的體力。","1800","3","ＨＰ吸收＋10","13005","13005"
"10","0","1","1","強化寶石","在迷宮內發現的耳飾。可提高\n裝備者的強化效果。","1800","4","增益強化＋30","14001","14001"
"10","0","1","1","抗鐵板甲","在迷宮內發現的鎧甲。能將\n夥伴的強韌轉換為自身的攻擊。","1800","4","提升物理/魔法攻擊力\n（前方角色的物理防禦力×5）","14002","14002"
"10","0","1","1","抗魔禮服","在迷宮內發現的禮服。能將\n裝備者的抗魔天賦替換成攻擊力。","1800","4","提升物理/魔法攻擊力\n（前方角色的魔法防禦力×5）","14003","14003"
"10","0","1","1","蛇紋之劍","在迷宮內發現的大劍。能強化\n裝備者的攻擊力。","1800","4","物理/魔法攻擊力＋20％","14004","14004"
"10","0","1","1","防守護甲","在迷宮內發現的鎧甲。能提高\n裝備者的防禦力。","1800","4","物理/魔法防禦力＋10％","14005","14005"
"10","0","1","1","回生杖","在迷宮內發現的法杖。\n能提高治癒力。","1800","5","恢復強化＋10","15001","15001"
"10","0","1","1","豐命輪","在迷宮內發現的戒指。\n能強化裝備者的生命力。","1800","5","ＨＰ＋10％","15002","15002"
"10","0","1","1","鐵防甲","在迷宮內發現的鎧甲。\n能保護裝備者免受物理攻擊。","1800","5","每20秒展開物理無效護盾（【守備】數×500無效）","15003","15003"
"10","0","1","1","魔封衣","在迷宮內發現的長袍。\n能保護裝備者免受魔法攻擊。","1800","5","每20秒展開魔法無效護盾（【守備】數×500無效）","15004","15004"
"10","0","1","1","再生手鐲","在迷宮內發現的手環。\n會賦予裝備者再生的力量。","1800","5","持續恢復ＨＰ（每秒【守備】數×500恢復）","15005","15005"
"10","0","2","2","流烈耳飾","在迷宮內發現的耳飾形遺物。\n能如同流水的猛烈般，\n增幅活力加速。","2800","1","ＴＰ上升+10","21001","21001"
"10","0","2","2","星淚之輝盾","在迷宮內發現的圓盾形遺物。\n能賦予裝備者星星的治癒，\n將攻擊轉換為能量。","2800","1","每受到傷害時恢復ＴＰ100（最多２次）","21002","21002"
"10","0","2","2","蒼珠手鐲","在迷宮內發現的手環遺物。\n鑲嵌的蒼珠能感應到敵人，\n並賦予力量。","2800","1","戰鬥開始時恢復ＴＰ200","21003","21003"
"10","0","2","2","星光儀杖","在迷宮內發現的法杖遺物。\n封印其中的眾星神祕，\n會代替裝備者承受力量的消耗。","2800","1","ＴＰ消耗減輕＋4","21004","21004"
