2a45baebca66b9cbbf7726d5b98326feddfae35c3f768ff9f4199cd9a6013e27,39ac638671625c5ab7825c51fd9ea3b4ffdfac6539f8f318dc8cb7f319d631b9,600b7352e736b7f76236454dc5fc97e4655d76a9f5cc2eddd2c9029729b89775,ef0ea4e3f816aaac021376d66b8fa5911e250d39391fcead8c2159fc40ddf2c9,61f7837a5b85cd764facaf920e8d9e89771eb5cc27343e18bbb9c71a061ac171,a3e143001d60e0aa161010f2bbc64842edf4dabe04f14f00963c53093f182f04,34169784fca9b409dc5818412628a79ed4eb5bb494a40e59215fe3d6c131f474,af7212e4464e9683a44bccbeb4ab4297d73e55ccec3a3da4720a17a013f72be1,bbf3ab3b5b209ce5c77da22f4f4fcb0b769bad62405474990d7e35578c23b9bc,d5ea3a2a99f777cbf523e42ede6cc278cdce06b4f99dcda2ede4664da03e03b7,af78555530b5efdea13cd60dc181891221c68589aa2439a103757b509384707e,81aa0f70e9a30127f4d765c609d065068f79b1933b5e4362af03b46475b19a9f,b834bd239cc63b4fae619f98167c5e68b029b6dfe5e0b18dc533f2f16a8fd103,6743218dc001c4d8c3ba3204689c419cf2214c139310f6aead2d6c48da00930e
"160","0","1","0","在海邊與夥伴享受夏日的夏海魔法師。以想改變自己的堅定決心，將障礙物無效化並持續奔跑。","101","122601","1","1","1","1.5","0.029","105","110"
"120","1","0","0","比太陽還耀眼的夏海活力女孩。能以與生俱來的身體能力，靈活地應對、跑過各種路線。","102","122401","2","2","3","2.5","0.014","111","105"
"350","0","0","1","在海灘上閃耀的夏海劍士。有著日復一日鍛鍊出來的雙腿，即使長距離也能速度不減地跑到最後。","103","122501","3","3","2","2.5","0.017","105","110"
"130","1","0","0","最喜歡美味海產的海岸公主。能解放「皇家裝備」的力量，不把障礙物放在眼裡地往前邁進。","104","107501","4","4","3","1.5","0.016","105","110"
"160","0","1","0","在海邊也要照顧主人的白色沙灘巫女。以精靈之力使自身加速，用比任何人都快的速度朝終點前進。","105","107601","5","5","1","2.5","0.014","105","110"
"255","0","0","1","對穿泳裝感到害羞的傲嬌貓女。以擅長的魔法妨礙對戰對手跑步，使自己處在有利的情況。","106","107801","6","6","2","3.5","0.029","103","120"
"160","0","1","0","優雅地在沙灘上奔馳，盛夏的真步公主。優雅優雅地以高雅的身姿跳過障礙物。","107","110601","7","7","1","3.5","0.013","103","120"
"350","0","0","1","守護沙灘和平的盛夏狼女。以獸人強健的體力在競賽後半進行衝刺。","108","110401","8","8","2","2.5","0.014","103","110"
"130","1","0","0","在海灘上賣力舞動的盛夏南國少女。即使在競賽的喧囂中精神也不會受擾亂，能展現驚人的中後段加速。","109","110501","9","9","3","1.5","0.012","100","105"
"200","0","1","0","察覺海灘事件徵兆的盛夏名偵探。以高度的推理力與魔法，確實地擾亂對戰對手奔跑。","110","115701","10","10","1","2.5","0.014","103","105"
"350","0","0","1","再次脫下鎧甲的灼熱騎士團長。以實戰中培養出的判斷力，能在一瞬間展開護盾使障礙物無效。","111","113601","11","11","2","2.5","0.071","103","105"
"130","1","0","0","在海邊隨心所欲的怕水貓女。在海灘上現身的美少女義賊，將奪取對戰對手的速度。","112","107901","12","12","3","1.5","0.014","103","120"
"200","0","1","0","即使度假還是效率第一的海之傭兵。就算是競賽也尋求最高效率，無論什麼狀況都能毫無破綻地奔跑。","113","108001","13","13","2","1.5","0.022","105","110"
"160","0","1","0","非常適合盛夏太陽，海邊的咲戀媽媽。多才又靈巧，無論什麼障礙物都能優雅地越過。","114","110301","14","14","1","2.5","0.031","108","110"
"130","1","0","0","於海邊喚來暴風雨的夏日女僕。平時已習慣多災多難，因此即使遇到一點困境也不會動搖。","115","107701","15","15","1","0.5","0.036","105","110"
"350","0","0","1","享受風雅夏日的若夏大姐頭。運用瀟灑的身姿，將始、繼、終的刀法與UB融合，一口氣加速。","116","113101","16","16","2","3.5","0.048","95","110"
"130","1","0","0","接觸到夏日悸動的宅宅魔法少女。操縱多彩的魔法，持續使其他跑者的速度逐漸變慢。","117","113301","17","17","3","1.5","0.043","105","105"
"130","1","0","0","降臨於海獄的盛夏冥姬。在競賽後半解放所有魔力，化為蒼藍疾風奔馳於沙灘。","118","113201","18","18","2","1.5","0.018","95","105"
"160","0","1","0","以煙火為夏日傍晚增添色彩，海岸邊的破壞者。以「破壞者」稱號與過剩的情感，朝對戰對手施加壓力。","119","117001","19","19","2","2.5","0.021","108","110"
"255","0","0","1","引導青春少年少女的夏日老師。在朝夢想邁進的聖母加護下，守護其身所遇到的所有困難。","120","113501","20","20","1","2.5","0.036","105","110"
"350","0","0","1","擁有耀眼的聲援笑容，夏日的超能力女孩。運用超能力，無論什麼障礙物都一飛就能越過。","121","113401","21","21","3","2.5","0.02","105","105"
"130","1","0","0","在海邊釋放大人的魅力，夏日的性感老師。受其魅力俘虜的對戰對手，奔跑步調將被打亂。","122","110101","22","22","1","2.5","0.018","105","110"
"160","0","1","0","泳裝也命中紅心，夏日的超級名模。跑步的情緒超嗨，速度讚到不行。","123","110001","23","23","3","3.5","0.03","111","105"
"130","1","0","0","讓南島也嗨起來的盛夏偶像。即使天氣惡劣依然能保持著笑容，在後半加快節奏跑完全程。","124","117201","24","24","1","1.5","0.027","103","110"
