891cdfad27f1d6592468d5a4c77025dc90f5ecb40262d0d4450f58063ff81c86,e5bb7b4f17006c8d56d39a0cea5117ecc540899c92e640b9cf78987884555af2,173f0c59da19e70d31495151c0fabebb3c00401fcad693180a69f5520d5a16f5,00425eecd8b70f3efe2b11f8c1625cc6b6f7d650b8d488ba3e9931a9948cde58,96e644d86b60aa22896aea22133de304b89e9df237d0207ab5a51f88b5d5ed2f,cb62269e5b62d2e10890945e4b8cb01d85275b96256dc60ed938dd7eba7a0ea0,50f16e79d92d34a35ed61091c5a0d77c2359c8e17ec584766375f3e2c38a87d2,3a0aa9cbac61b41c5e0d27254203396f5210bda5dc08edff829832c90ad3b6ad,2bf3ce5336a984a880b7003330f6bd14fee6b6177ae44a197a3e815e1aad8d42,163856355e7003e7180e753adbcb66005cea6f6313fdc7296425e27d6e0d5dfe,acb8a6a8c1b6f2d41a728fdf8bc7b12513d66011d1c4c16622ee9a2487a90480,0d9cf2272cf4975059e963c90ac29ce8dc2f88d14591024176c179683c86814f,5cd692b4bd67f58377135f49bb048fb56b1f6802abb03e4b35c67ad8c0648be4,04029d98091d325c7cf66c7917c57d0d9bfffc5269c3723a3e138a9e8190de46,ae9b627456984cd961d083c7480dc94d58e97f1b99244359665a59dd72110ab5,f353b2fedd232650d9156239bb6fc9a25fc49b1cc99548743bbbeeeb85e1190f,2131077c04fbc0d8017034b6dd3c4b7977b92c0055177d12cca8e935acc2db5c,403c5adf34bd81e234162c5c248716d524c0cb9ebf5752b9ac646f6646932e53,e74c22bf6ce8e4ffbfef2e2d96d94e3c7f384caa42310629831ebadea6018cfa,a9a17037019171d890acab1a6cbbed8a4e5a17e82c58a443ba5ad5f9a3d5410b,b14cada65935a1c7ba0a1116ced72453e7031dc25ab60b1265566d1bd2ff6c90,7862149be1eae3f7b6f004a5220c409ac5290588755dc2919cbe634f9238f8a5,9b5b5f7356a9062b3498901c0adfa2c6704843198abbb2063e8675e0d4a1717b,251c15ac98b76309d021aee6e56eb8a906c3da5a11f9c496d4abef427bb088f5
"0","【暮光流星群】出動！","2","8","91002","5","0","31056","5","300010","30","-120","2015/12/17 15:00:00","0","31009","-356","11063","15063001","2","5","在戰鬥中獲得勝利。","1","31013","2"
"0","背面世界的戰鬥訓練","2","8","91002","5","0","31053","5","300010","30","-168","2015/12/17 15:00:00","0","31043","-214","11063","15063002","2","5","在戰鬥中獲得勝利。","1","31005","2"
"0","前往背面世界的畢業旅行？","2","8","91002","5","0","31018","5","300010","30","-65","2015/12/17 15:00:00","0","31016","-84","11063","15063003","2","5","在戰鬥中獲得勝利。","1","31050","2"
"0","《EX》成群的危險暗影","0","8","91002","0","0","0","0","300020","150","109","2015/12/17 15:00:00","0","0","-116","11063","15063004","0","0","在戰鬥中獲得勝利。","2","0","0"
"0","小小反轉大冒險","2","8","91002","5","0","31004","5","300010","30","-120","2015/12/17 15:00:00","0","31020","614","11063","15063005","2","5","在戰鬥中獲得勝利。","1","31036","2"
"0","目標，出征背面世界？","2","8","91002","5","0","31044","5","300010","30","51","2015/12/17 15:00:00","0","31006","655","11063","15063006","2","5","在戰鬥中獲得勝利。","1","31022","2"
"0","《EX》成群的危險暗影","0","8","91002","0","0","0","0","300020","150","30","2015/12/17 15:00:00","0","0","881","11063","15063007","0","0","在戰鬥中獲得勝利。","2","0","0"
"0","代替招呼的背面世界火拼！","2","8","91002","5","0","31065","5","300010","30","-179","2015/12/17 15:00:00","0","31066","-247","11064","15064001","2","0","在戰鬥中獲得勝利。","1","0","0"
"0","新生意的甜～美香氣","2","8","91002","5","0","31032","5","300010","30","-105","2015/12/17 15:00:00","0","31048","0","11064","15064002","2","5","在戰鬥中獲得勝利。","1","31034","2"
"0","《EX》危險的魔物‧胡狼與眼蔓","0","8","91002","0","0","0","0","300020","150","-90","2015/12/17 15:00:00","0","0","159","11064","15064003","0","0","在戰鬥中獲得勝利。","2","0","0"
"0","用火箭拳擊退魔物！","0","8","91002","0","0","90005","10","300010","30","-79","2015/12/17 15:00:00","0","0","453","11064","15064004","2","0","在戰鬥中獲得勝利。","1","0","0"
