050cd5c20e37613987ca3853dcf1fd91e626a94cd49a49eea2c23014fca6327a,24661497dbeca6ef1a3d3b0c594b2ce6375576074faa3fc3f8fe76ed41572909,e4abc44a4699cfc95e254d3b34e9a0a336cde12b35c9b300dc02bd302431ed7d,fcfc90e45556fed56943feab435970f7fab8834a2785041e3c4d6340e56f03f1,81cb773fb1da6b324870c63ed1c6cb933497489fddde3c2fc8b0350e1b7d06a2,c9b6fa05d40ff3b41dc7e7b5979f8b5bae8db860e33d2b4267173bee775a2b4e,ab3884375d6820c352661f8fef9475133ee18950c98aedbf277b9b5ea2f87673,9361c7c583896191f28fae7205dc53a047d7c16af8f03b90006c5ea2c2c82a38,4a0f85ff7327728e6269c9e24954da484699315905cee53d70afac60e0fc5e1a,1dcb4921d6ec4c9c8a5fbf3a2e557cf64e0d890a70cfc1673d4d2d74fbb63d36,78db209633764d525f536a6d587175aeb09ef41e436aec48896d966cae989b1d,5bba52b4465ce6377457bb5857cf25b9f85487c5bc0950f381afd7051f4ba546,a43ff0cf9ed8f5624bf0943f31355644d80a650ef00e3642f51f973a9a2a6111,5477559a4d4dc2744d9ab484bfb1aec36111b90465be0b4552b0be07d585585f,e8b9b043b156f543dbfbdcaa448c23bb61ac9187866d1ccd9fc88f1102bf6eb2,00544d7836bb84ddb458dacce426b93ed3b426a522fb1378b783646a6001012b
"2","400","25011","10","91002","500000","2","200","2","90008","12","50","25021","8","94002","1001001"
"2","400","25012","10","91002","500000","2","200","2","90008","12","50","25021","8","94002","1001002"
"2","400","25013","10","91002","500000","2","200","2","90008","12","50","25021","8","94002","1001003"
"2","400","25014","10","91002","500000","2","200","2","90008","12","50","25021","8","94002","1001004"
"2","400","25015","10","91002","500000","2","200","2","90008","12","50","25021","8","94002","1001005"
"2","400","25011","10","91002","500000","2","200","2","90008","12","50","25021","8","94002","1001006"
"2","400","25012","10","91002","500000","2","200","2","90008","12","50","25021","8","94002","1001007"
"2","400","25013","10","91002","500000","2","200","2","90008","12","50","25021","8","94002","1001008"
"2","400","25014","10","91002","500000","2","200","2","90008","12","50","25021","8","94002","1001009"
"2","400","25015","10","91002","500000","2","200","2","90008","12","10","25001","8","94002","1001010"
"2","400","25011","10","91002","500000","2","200","2","90008","12","50","25021","8","94002","1001011"
"2","400","25012","10","91002","500000","2","200","2","90008","12","50","25021","8","94002","1001012"
"2","400","25013","10","91002","500000","2","200","2","90008","12","50","25021","8","94002","1001013"
"2","400","25014","10","91002","500000","2","200","2","90008","12","50","25021","8","94002","1001014"
"2","400","25015","10","91002","500000","2","200","2","90008","12","50","25021","8","94002","1001015"
"2","0","0","10","91002","500000","0","200","2","90008","12","50","25021","8","94002","1001016"
"2","0","0","10","91002","500000","0","200","2","90008","12","50","25021","8","94002","1001017"
"2","0","0","10","91002","500000","0","200","2","90008","12","50","25021","8","94002","1001018"
"2","400","25011","10","91002","500000","2","200","2","90008","12","50","25021","8","94002","1002001"
"2","400","25012","10","91002","500000","2","200","2","90008","12","50","25021","8","94002","1002002"
"2","400","25013","10","91002","500000","2","200","2","90008","12","50","25021","8","94002","1002003"
"2","400","25014","10","91002","500000","2","200","2","90008","12","50","25021","8","94002","1002004"
"2","400","25015","10","91002","500000","2","200","2","90008","12","50","25021","8","94002","1002005"
"2","400","25011","10","91002","500000","2","200","2","90008","12","50","25021","8","94002","1002006"
"2","400","25012","10","91002","500000","2","200","2","90008","12","50","25021","8","94002","1002007"
"2","400","25013","10","91002","500000","2","200","2","90008","12","50","25021","8","94002","1002008"
"2","400","25014","10","91002","500000","2","200","2","90008","12","50","25021","8","94002","1002009"
"2","400","25015","10","91002","500000","2","200","2","90008","12","10","25001","8","94002","1002010"
"2","400","25011","10","91002","500000","2","200","2","90008","12","50","25021","8","94002","1002011"
"2","400","25012","10","91002","500000","2","200","2","90008","12","50","25021","8","94002","1002012"
"2","400","25013","10","91002","500000","2","200","2","90008","12","50","25021","8","94002","1002013"
"2","400","25014","10","91002","500000","2","200","2","90008","12","50","25021","8","94002","1002014"
"2","400","25015","10","91002","500000","2","200","2","90008","12","50","25021","8","94002","1002015"
"2","0","0","10","91002","500000","0","200","2","90008","12","50","25021","8","94002","1002016"
"2","0","0","10","91002","500000","0","200","2","90008","12","50","25021","8","94002","1002017"
"2","0","0","10","91002","500000","0","200","2","90008","12","50","25021","8","94002","1002018"
"2","400","25011","10","91002","500000","2","200","2","90008","12","50","25021","8","94002","1003001"
"2","400","25012","10","91002","500000","2","200","2","90008","12","50","25021","8","94002","1003002"
"2","400","25013","10","91002","500000","2","200","2","90008","12","50","25021","8","94002","1003003"
"2","400","25014","10","91002","500000","2","200","2","90008","12","50","25021","8","94002","1003004"
"2","400","25015","10","91002","500000","2","200","2","90008","12","50","25021","8","94002","1003005"
"2","400","25011","10","91002","500000","2","200","2","90008","12","50","25021","8","94002","1003006"
"2","400","25012","10","91002","500000","2","200","2","90008","12","50","25021","8","94002","1003007"
"2","400","25013","10","91002","500000","2","200","2","90008","12","50","25021","8","94002","1003008"
"2","400","25014","10","91002","500000","2","200","2","90008","12","50","25021","8","94002","1003009"
"2","400","25015","10","91002","500000","2","200","2","90008","12","10","25001","8","94002","1003010"
"2","400","25011","10","91002","500000","2","200","2","90008","12","50","25021","8","94002","1003011"
"2","400","25012","10","91002","500000","2","200","2","90008","12","50","25021","8","94002","1003012"
"2","400","25013","10","91002","500000","2","200","2","90008","12","50","25021","8","94002","1003013"
"2","400","25014","10","91002","500000","2","200","2","90008","12","50","25021","8","94002","1003014"
"2","400","25015","10","91002","500000","2","200","2","90008","12","50","25021","8","94002","1003015"
"2","0","0","10","91002","500000","0","200","2","90008","12","50","25021","8","94002","1003016"
"2","0","0","10","91002","500000","0","200","2","90008","12","50","25021","8","94002","1003017"
"2","0","0","10","91002","500000","0","200","2","90008","12","50","25021","8","94002","1003018"
