cee0f65589d3ba841c137daa3f3b9ca7d3148da6faa5135529ab351562e9338d,23296cd6f141c663ad85cb9acd979178a27c06edbe2afaa16e6e0b0600d6d554,58d8033d0f85bcb8320f6e414e2dc903b5ff3cf6dacb30bd7e11cbc3d711dc25,59f8a6df19c825c664b808f0e80c1d4f43a6c550ac8d5400f68bc63ef34484f4,e9fca58f890d17ec905adbb3c0e1c5d72d7dae7184d9b6fa617b3face4a3435a,70ae3b441ef35b15d73ca2f5fc613909c3ee66b51576b35dc14ed2a036d2719a
"0","10","1","150","1","150"
"0","10","1","250","2","400"
"0","10","1","400","3","800"
"0","20","2","150","1","150"
"0","20","2","250","2","400"
"0","20","2","400","3","800"
"1","20","2","500","4","1300"
"0","30","3","800","1","800"
"0","30","3","1000","2","1800"
"0","30","3","1200","3","3000"
"1","30","3","1400","4","4400"
"2","30","3","1600","5","6000"
"0","40","4","800","1","800"
"0","40","4","1000","2","1800"
"0","40","4","1200","3","3000"
"1","40","4","1400","4","4400"
"2","40","4","1600","5","6000"
"0","0","5","0","0","0"
