d05031439e51442fec59c84de4249b198cdae51d6abef5b36026f43bc6102559,228e4b260781dfa068c08aced998d6936743cc5e2e41bf8aed76c0571520a191,3ae2def3dbca98c93650f61e49dc89c785fa68175931cd2c9b98385367e2ff5b,b27e1ac68ab699ab51743ce56dcd7b1dc95a9dc69ecdf970bfb0bf92ca1074d0,7167dfd603d4e27e47aabcddd9c8ec36462cad3e2c5ebcfe75bd0cdc4be885e4,4379f35533fea5e7f434b95221546b23f0d17f7e4f4887540f176f00e6874298,4887118ce2d093060adead3428c9e6a4aa0f8d5fa49195d5a9966f878d7c5b22
"2","105","1","105","105","1","3"
"2","120","1","120","105","2","3"
"2","120","1","100","100","3","3"
"2","120","1","120","105","4","3"
"2","120","1","105","105","5","3"
"2","105","1","100","100","6","3"
"2","105","1","100","120","7","3"
"2","105","1","100","100","8","3"
"2","120","1","120","105","9","3"
"2","105","1","100","120","10","3"
"2","100","1","105","100","11","3"
"2","120","1","120","105","12","3"
"2","105","1","105","105","13","3"
"2","105","1","120","105","14","3"
"2","120","1","120","120","15","3"
"2","100","1","100","100","16","3"
"2","120","1","105","120","17","3"
"2","105","1","120","120","18","3"
"2","100","1","105","105","19","3"
"2","105","1","105","100","20","3"
"2","100","1","105","100","21","3"
"2","120","1","120","120","22","3"
"2","100","1","100","105","23","3"
"2","120","1","120","120","24","3"
"2","120","1","105","105","25","3"
"2","100","1","100","100","26","3"
"2","100","1","100","100","27","3"
"2","100","1","100","100","28","3"
"2","120","1","120","120","29","3"
"2","105","1","120","105","30","3"
