c77ed62d0b32a2536a666700f60c11c8f531bfb3d744ed637f493e6ca84d4735,b2d40c33fd43a00d11d6be4b4d9d89487795c7377cd7fae48f1efd9595e9c5c4,c739e4b03ebd34e01c550e7ab0ecfc7ee52cd96e641a12c21f2bfdf4e99e1c1a,46ea5fc4e4d7eee32d246a02e6a31df708d7edd7360f482e48ec99daa310f187,1eb3d2058f0ed9e1a8e4dd19906d4c612e328d5dc979860a628730970631e73d
"12","1001","1","94002","8000000"
"2","1001","2","90005","40"
"12","1002","3","94002","8000000"
"2","1002","4","90005","50"
"12","1003","5","94002","8000000"
"2","1003","6","90005","60"
"12","1004","7","94002","8000000"
"2","1004","8","90005","70"
"8","1005","9","91002","150"
"12","1005","10","94002","8000000"
"2","1005","11","90005","80"
"12","1006","12","94002","8000000"
"2","1006","13","90005","90"
"8","1007","14","91002","300"
"12","1007","15","94002","8000000"
"2","1007","16","90005","100"
"12","2001","17","94002","8000000"
"12","2002","18","94002","8000000"
"12","2003","19","94002","8000000"
"12","2004","20","94002","8000000"
"12","2005","21","94002","8000000"
"12","2006","22","94002","8000000"
"12","2007","23","94002","8000000"
"12","2008","24","94002","8000000"
"12","2009","25","94002","8000000"
"12","2010","26","94002","8000000"
"12","2011","27","94002","8000000"
"12","2012","28","94002","8000000"
"12","2013","29","94002","8000000"
"12","2014","30","94002","8000000"
"12","2015","31","94002","8000000"
"12","7001","32","94002","8000000"
"2","7001","33","90005","5"
"12","7002","34","94002","8000000"
"2","7002","35","90005","5"
"12","7003","36","94002","8000000"
"2","7003","37","90005","5"
"12","7004","38","94002","8000000"
"2","7004","39","90005","10"
"12","7005","40","94002","8000000"
"2","7005","41","90005","10"
"12","7006","42","94002","8000000"
"2","7006","43","90005","10"
"12","7007","44","94002","8000000"
"2","7007","45","90005","15"
"12","7008","46","94002","8000000"
"2","7008","47","90005","15"
"12","7009","48","94002","8000000"
"2","7009","49","90005","15"
"12","7010","50","94002","8000000"
"2","7010","51","90005","20"
"12","7011","52","94002","8000000"
"2","7011","53","90005","20"
"12","7012","54","94002","8000000"
"2","7012","55","90005","20"
"12","7013","56","94002","8000000"
"2","7013","57","90005","25"
"12","7014","58","94002","8000000"
"2","7014","59","90005","25"
"12","7015","60","94002","8000000"
"2","7015","61","90005","25"
"12","7016","62","94002","8000000"
"2","7016","63","90005","30"
"12","7017","64","94002","8000000"
"2","7017","65","90005","30"
"12","7018","66","94002","8000000"
"2","7018","67","90005","30"
"12","7019","68","94002","8000000"
"2","7019","69","90005","35"
"12","7020","70","94002","8000000"
"2","7020","71","90005","35"
"12","7021","72","94002","8000000"
"2","7021","73","90005","35"
"12","7022","74","94002","8000000"
"2","7022","75","90005","40"
"12","8001","76","94002","8000000"
"2","8001","77","90008","1000"
"12","8002","78","94002","8000000"
"2","8002","79","90008","1250"
"12","8003","80","94002","8000000"
"2","8003","81","90008","1500"
"12","8004","82","94002","8000000"
"2","8004","83","90008","1750"
"12","8005","84","94002","8000000"
"2","8005","85","90008","2000"
"12","8006","86","94002","8000000"
"2","8006","87","90008","2250"
"12","8007","88","94002","8000000"
"2","8007","89","90008","2500"
