5a14daf0b6cf925161f6074cbb0046de5a39f02c17160f23b519ccf2e665f9f1,896dcc5adece5a3ad2dffc9cc8fc400ff092e6fdd6469e03f240f0addee5b39b,c9eb050072d1437f02772abbfd4a2a29ec556612d65e9440538760a81612abc3,300988d2690c7a41c82a0c2d09cecd7a63e779c08dfb847f3960a692ca5c4c73,69a1fadd37e1d74738f59dee42b29d6ce5a63b28ec637f86420449ec4501ac3f,be97eafa61809c8e7c0448acf3c8ac5adf59584719e5024a77640139ec44e651,938d3563a7d510131312043bcc750d64eeea69eb7795a661e45b8fb9aac35260
"1007001","10070","圖畫日記之1","0","20039101","0","0"
"1007002","10070","圖畫日記之2","0","20039101","0","1007001"
"1007003","10070","圖畫日記之3","0","20039103","0","1007002"
"1007004","10070","圖畫日記之4","0","20039106","0","1007003"
"1007005","10070","圖畫日記之5","0","20039107","0","1007004"
"1007006","10070","圖畫日記之6","0","20039110","0","1007005"
"1007007","10070","圖畫日記之7","0","20039112","0","1007006"
"1007008","10070","圖畫日記之8","0","0","2003901","1007007"
"1007009","10070","惠理子的圖畫日記","0","0","2003901","1007007"
"1007010","10070","靜流的圖畫日記","0","0","2003901","1007007"
"1007011","10070","圖畫日記之1(批閱)","2021/11/15 16:00:00","20039101","0","0"
"1007012","10070","圖畫日記之2(批閱)","2021/11/15 16:00:00","20039101","0","0"
"1007013","10070","圖畫日記之3(批閱)","2021/11/15 16:00:00","20039103","0","0"
"1007014","10070","圖畫日記之4(批閱)","2021/11/15 16:00:00","20039106","0","0"
"1007015","10070","圖畫日記之5(批閱)","2021/11/15 16:00:00","20039107","0","0"
"1007016","10070","圖畫日記之6(批閱)","2021/11/15 16:00:00","20039110","0","0"
"1007017","10070","圖畫日記之7(批閱)","2021/11/15 16:00:00","20039112","0","0"
"1007018","10070","圖畫日記之8(批閱)","2021/11/15 16:00:00","0","2003901","0"
"1007019","10070","惠理子的圖畫日記(批閱)","2021/11/15 16:00:00","0","2003901","0"
"1007020","10070","靜流的圖畫日記(批閱)","2021/11/15 16:00:00","0","2003901","0"
