5e36092bb6789815203c10a4b372d189d74ec661c95d2741356bcf173af9abb0,c970717791f382d27a7eb3fc61fc4b21b1f7dba76357d53d3f612bf550db9683,a33a7a9136298170775f86cffb1e3b618e1d6fcffe33f0d65584e3b1a281c1db,8e440dcafe5457a92424335912674e0924a965db4b39b28a690aac4f0378fe03,4c7a5c97346c1e8fbfdf79e76cb86a8c41586858c91a5e1127d71cf625ac21a7,89e35c91068bf8de55b099ef29990b4767c17ee19eecda68c106f476fbc6a946,350195fcc87e4f1fa320b04457215687e6e5025cd3a4162fb57fa5b637a53668,696f6c2357b28d58e20357f796b9c73cf83da5c43d7dd07cbbc4859050340c2d,63382cb1e7934f9901307ced19ccf2d7ee8419c0fa0e1aed1aa9f68775435e95
"53003","8","-1","7","6","10001","22","1","5"
"53002","4","-1","7","6","10002","22","1","5"
"53003","6","5","6","5","10101","22","1","4"
"53002","5","5","6","5","10102","22","1","4"
"53003","5","4","5","4","10201","22","1","3"
"53002","5","4","5","4","10202","22","1","3"
"53003","4","3","4","3","10301","22","1","3"
"53002","3","3","4","3","10302","22","1","3"
"53003","3","2","3","2","10401","22","1","2"
"53002","2","2","3","2","10402","22","1","2"
"53003","2","1","2","1","10501","22","1","1"
"53002","1","1","2","1","10502","22","1","1"
"53002","2","0","1","0","10601","22","1","1"
"53003","8","-1","7","6","10701","22","2","5"
"53002","4","-1","7","6","10702","22","2","5"
"53003","6","5","6","5","10801","22","2","4"
"53002","5","5","6","5","10802","22","2","4"
"53003","5","4","5","4","10901","22","2","3"
"53002","5","4","5","4","10902","22","2","3"
"53003","4","3","4","3","11001","22","2","3"
"53002","3","3","4","3","11002","22","2","3"
"53003","3","2","3","2","11101","22","2","2"
"53002","2","2","3","2","11102","22","2","2"
"53003","2","1","2","1","11201","22","2","1"
"53002","1","1","2","1","11202","22","2","1"
"53002","2","0","1","0","11301","22","2","1"
"53003","8","-1","7","6","11401","22","3","5"
"53002","4","-1","7","6","11402","22","3","5"
"53003","6","5","6","5","11501","22","3","4"
"53002","5","5","6","5","11502","22","3","4"
"53003","5","4","5","4","11601","22","3","3"
"53002","5","4","5","4","11602","22","3","3"
"53003","4","3","4","3","11701","22","3","3"
"53002","3","3","4","3","11702","22","3","3"
"53003","3","2","3","2","11801","22","3","2"
"53002","2","2","3","2","11802","22","3","2"
"53003","2","1","2","1","11901","22","3","1"
"53002","1","1","2","1","11902","22","3","1"
"53002","2","0","1","0","12001","22","3","1"
"53003","8","-1","7","6","12101","22","4","5"
"53002","4","-1","7","6","12102","22","4","5"
"53003","6","5","6","5","12201","22","4","4"
"53002","5","5","6","5","12202","22","4","4"
"53003","5","4","5","4","12301","22","4","3"
"53002","5","4","5","4","12302","22","4","3"
"53003","4","3","4","3","12401","22","4","3"
"53002","3","3","4","3","12402","22","4","3"
"53003","3","2","3","2","12501","22","4","2"
"53002","2","2","3","2","12502","22","4","2"
"53003","2","1","2","1","12601","22","4","1"
"53002","1","1","2","1","12602","22","4","1"
"53002","2","0","1","0","12701","22","4","1"
"53003","8","-1","7","6","12801","22","5","5"
"53002","4","-1","7","6","12802","22","5","5"
"53003","6","5","6","5","12901","22","5","4"
"53002","5","5","6","5","12902","22","5","4"
"53003","5","4","5","4","13001","22","5","3"
"53002","5","4","5","4","13002","22","5","3"
"53003","4","3","4","3","13101","22","5","3"
"53002","3","3","4","3","13102","22","5","3"
"53003","3","2","3","2","13201","22","5","2"
"53002","2","2","3","2","13202","22","5","2"
"53003","2","1","2","1","13301","22","5","1"
"53002","1","1","2","1","13302","22","5","1"
"53002","2","0","1","0","13401","22","5","1"
"53003","8","-1","7","6","13501","22","6","5"
"53002","4","-1","7","6","13502","22","6","5"
"53003","6","5","6","5","13601","22","6","4"
"53002","5","5","6","5","13702","22","6","4"
"53003","5","4","5","4","13801","22","6","3"
